Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,445.082,222.7,71.5357%,71.5357%,0,2,ModifyGraphWithDelegate/0
AllocateTensors,177.226,177.226,28.4643%,100%,13968,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,445.082,222.7,71.5357%,71.5357%,0,2,ModifyGraphWithDelegate/0
AllocateTensors,177.226,177.226,28.4643%,100%,13968,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,445.4,71.5357%,71.5357%,0,2
AllocateTensors,1,177.226,28.4643%,100%,13968,1

Timings (microseconds): count=1 curr=622626
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",4.411,4.39732,0.479843%,0.479843%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
Static Reshape (NC),0.311,0.31822,0.0347247%,0.514568%,0,1,Delegate/Static Reshape (NC):1
Mean (ND) Reduce,0.155,0.16796,0.0183281%,0.532896%,0,1,Delegate/Mean (ND) Reduce:2
Static Reshape (NC),0.006,0.00774,0.000844603%,0.533741%,0,1,Delegate/Static Reshape (NC):3
Squared Difference (ND),0.196,0.20238,0.0220841%,0.555825%,0,1,Delegate/Squared Difference (ND):4
Mean (ND) Reduce,0.216,0.23972,0.0261587%,0.581984%,0,1,Delegate/Mean (ND) Reduce:5
Add (ND),0.006,0.01426,0.00155608%,0.58354%,0,1,Delegate/Add (ND):6
Reciprocal Square Root (NC),0.02,0.02272,0.00247925%,0.586019%,0,1,Delegate/Reciprocal Square Root (NC):7
Multiply (ND),0.064,0.05068,0.00553029%,0.591549%,0,1,Delegate/Multiply (ND):8
Subtract (ND),0.019,0.0173,0.00188781%,0.593437%,0,1,Delegate/Subtract (ND):9
Static Reshape (NC),0.004,0.00494,0.000539062%,0.593976%,0,1,Delegate/Static Reshape (NC):10
Multiply (ND),0.245,0.24712,0.0269662%,0.620942%,0,1,Delegate/Multiply (ND):11
Static Reshape (NC),0.001,0.00106,0.000115669%,0.621058%,0,1,Delegate/Static Reshape (NC):12
Add (ND),0.108,0.11882,0.0129658%,0.634024%,0,1,Delegate/Add (ND):13
Multiply (ND),0.199,0.20492,0.0223612%,0.656385%,0,1,Delegate/Multiply (ND):14
Static Reshape (NC),0.47,0.23504,0.051296%,0.707681%,0,2,Delegate/Static Reshape (NC):15
Mean (ND) Reduce,0.25,0.24088,0.0262853%,0.733966%,0,1,Delegate/Mean (ND) Reduce:16
Static Reshape (NC),0.008,0.01772,0.00193364%,0.7359%,0,1,Delegate/Static Reshape (NC):17
Squared Difference (ND),0.275,0.28122,0.0306872%,0.766587%,0,1,Delegate/Squared Difference (ND):18
Mean (ND) Reduce,0.236,0.10627,0.0231927%,0.78978%,0,2,Delegate/Mean (ND) Reduce:19
Add (ND),0.006,0.00744,0.000811866%,0.790592%,0,1,Delegate/Add (ND):20
Reciprocal Square Root (NC),0.02,0.02034,0.00221954%,0.792811%,0,1,Delegate/Reciprocal Square Root (NC):21
Multiply (ND),0.044,0.04108,0.00448272%,0.797294%,0,1,Delegate/Multiply (ND):22
Subtract (ND),0.017,0.02068,0.00225664%,0.799551%,0,1,Delegate/Subtract (ND):23
Static Reshape (NC),0.004,0.00628,0.000685285%,0.800236%,0,1,Delegate/Static Reshape (NC):24
Multiply (ND),0.283,0.14554,0.0317632%,0.831999%,0,2,Delegate/Multiply (ND):25
Static Reshape (NC),0.001,0.00114,0.000124399%,0.832123%,0,1,Delegate/Static Reshape (NC):26
Add (ND),0.164,0.18152,0.0198078%,0.851931%,0,1,Delegate/Add (ND):27
Multiply (ND),0.111,0.06716,0.0146572%,0.866588%,0,2,Delegate/Multiply (ND):28
Static Reshape (NC),0,0.0006,0.000130946%,0.866719%,0,2,Delegate/Static Reshape (NC):29
"Fully Connected (NC, F32) GEMM",2.293,2.28214,0.249031%,1.11575%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:30
Multiply (ND),0.736,0.37854,0.0826139%,1.19836%,0,2,Delegate/Multiply (ND):31
Multiply (ND),0.762,0.76746,0.0837466%,1.28211%,0,1,Delegate/Multiply (ND):32
Add (ND),0.719,0.75382,0.0822582%,1.36437%,0,1,Delegate/Add (ND):33
