Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,520.1,260.223,68.3013%,68.3013%,0,2,ModifyGraphWithDelegate/0
AllocateTensors,241.54,241.54,31.6987%,100%,13968,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,520.1,260.223,68.3013%,68.3013%,0,2,ModifyGraphWithDelegate/0
AllocateTensors,241.54,241.54,31.6987%,100%,13968,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,520.446,68.3013%,68.3013%,0,2
AllocateTensors,1,241.54,31.6987%,100%,13968,1

Timings (microseconds): count=1 curr=761986
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",4.463,4.4105,0.48118%,0.48118%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
Static Reshape (NC),0.317,0.3151,0.034377%,0.515557%,0,1,Delegate/Static Reshape (NC):1
Mean (ND) Reduce,0.172,0.17694,0.0193039%,0.534861%,0,1,Delegate/Mean (ND) Reduce:2
Static Reshape (NC),0.007,0.00742,0.000809513%,0.535671%,0,1,Delegate/Static Reshape (NC):3
Squared Difference (ND),0.2,0.2019,0.0220271%,0.557698%,0,1,Delegate/Squared Difference (ND):4
Mean (ND) Reduce,0.247,0.2466,0.0269038%,0.584602%,0,1,Delegate/Mean (ND) Reduce:5
Add (ND),0.083,0.0146,0.00159284%,0.586194%,0,1,Delegate/Add (ND):6
Reciprocal Square Root (NC),0.047,0.02592,0.00282784%,0.589022%,0,1,Delegate/Reciprocal Square Root (NC):7
Multiply (ND),0.018,0.04384,0.00478289%,0.593805%,0,1,Delegate/Multiply (ND):8
Subtract (ND),0.005,0.0194,0.00211652%,0.595922%,0,1,Delegate/Subtract (ND):9
Static Reshape (NC),0.004,0.00558,0.000608771%,0.59653%,0,1,Delegate/Static Reshape (NC):10
Multiply (ND),0.256,0.2486,0.027122%,0.623652%,0,1,Delegate/Multiply (ND):11
Static Reshape (NC),0.001,0.00098,0.000106917%,0.623759%,0,1,Delegate/Static Reshape (NC):12
Add (ND),0.112,0.11806,0.0128802%,0.63664%,0,1,Delegate/Add (ND):13
Multiply (ND),0.205,0.19996,0.0218154%,0.658455%,0,1,Delegate/Multiply (ND):14
Static Reshape (NC),0.546,0.27082,0.0590923%,0.717547%,0,2,Delegate/Static Reshape (NC):15
Mean (ND) Reduce,0.253,0.2485,0.0271111%,0.744658%,0,1,Delegate/Mean (ND) Reduce:16
Static Reshape (NC),0.01,0.01314,0.00143356%,0.746092%,0,1,Delegate/Static Reshape (NC):17
Squared Difference (ND),0.303,0.29276,0.0319398%,0.778032%,0,1,Delegate/Squared Difference (ND):18
Mean (ND) Reduce,0.211,0.10677,0.023297%,0.801329%,0,2,Delegate/Mean (ND) Reduce:19
Add (ND),0.006,0.0091,0.000992799%,0.802321%,0,1,Delegate/Add (ND):20
Reciprocal Square Root (NC),0.022,0.02134,0.00232817%,0.80465%,0,1,Delegate/Reciprocal Square Root (NC):21
Multiply (ND),0.066,0.04422,0.00482435%,0.809474%,0,1,Delegate/Multiply (ND):22
Subtract (ND),0.02,0.01962,0.00214052%,0.811614%,0,1,Delegate/Subtract (ND):23
Static Reshape (NC),0.004,0.00632,0.000689505%,0.812304%,0,1,Delegate/Static Reshape (NC):24
Multiply (ND),0.287,0.14859,0.032422%,0.844726%,0,2,Delegate/Multiply (ND):25
Static Reshape (NC),0.001,0.00124,0.000135283%,0.844861%,0,1,Delegate/Static Reshape (NC):26
Add (ND),0.176,0.18214,0.0198713%,0.864733%,0,1,Delegate/Add (ND):27
Multiply (ND),0.178,0.07214,0.0157408%,0.880473%,0,2,Delegate/Multiply (ND):28
Static Reshape (NC),0.001,0.00053,0.000115645%,0.880589%,0,2,Delegate/Static Reshape (NC):29
"Fully Connected (NC, F32) GEMM",2.26,2.27604,0.248313%,1.1289%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:30
Multiply (ND),0.814,0.38649,0.0843312%,1.21323%,0,2,Delegate/Multiply (ND):31
Multiply (ND),0.902,0.83438,0.0910299%,1.30426%,0,1,Delegate/Multiply (ND):32
Add (ND),0.769,0.81386,0.0887912%,1.39305%,0,1,Delegate/Add (ND):33
"Convolution (NHWC, F32) IGEMM",83.653,83.0164,9.05699%,10.45%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:34
"Fully Connected (NC, F32) GEMM",2.385,2.4458,0.266834%,10.7169%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:35
Add (ND),0.599,0.63108,0.0688501%,10.7857%,0,1,Delegate/Add (ND):36
Static Reshape (NC),0.29,0.29562,0.0322518%,10.818%,0,1,Delegate/Static Reshape (NC):37
Mean (ND) Reduce,0.211,0.20154,0.0219878%,10.84%,0,1,Delegate/Mean (ND) Reduce:38
Static Reshape (NC),0.045,0.01432,0.0015623%,10.8415%,0,1,Delegate/Static Reshape (NC):39
Squared Difference (ND),0.284,0.25728,0.0280689%,10.8696%,0,1,Delegate/Squared Difference (ND):40
Mean (ND) Reduce,0.217,0.21576,0.0235392%,10.8931%,0,1,Delegate/Mean (ND) Reduce:41
Add (ND),0.007,0.0124,0.00135283%,10.8945%,0,1,Delegate/Add (ND):42
Reciprocal Square Root (NC),0.021,0.02276,0.00248309%,10.897%,0,1,Delegate/Reciprocal Square Root (NC):43
Multiply (ND),0.011,0.03828,0.0041763%,10.9011%,0,1,Delegate/Multiply (ND):44
Subtract (ND),0.004,0.01958,0.00213615%,10.9033%,0,1,Delegate/Subtract (ND):45
Static Reshape (NC),0.004,0.00684,0.000746236%,10.904%,0,1,Delegate/Static Reshape (NC):46
Multiply (ND),0.306,0.34998,0.0381824%,10.9422%,0,1,Delegate/Multiply (ND):47
Static Reshape (NC),0.001,0.0013,0.000141828%,10.9424%,0,1,Delegate/Static Reshape (NC):48
Add (ND),0.162,0.17842,0.0194654%,10.9618%,0,1,Delegate/Add (ND):49
Multiply (ND),0.132,0.14222,0.015516%,10.9773%,0,1,Delegate/Multiply (ND):50
Static Reshape (NC),0,0.00068,7.41872e-05%,10.9774%,0,1,Delegate/Static Reshape (NC):51
"Fully Connected (NC, F32) GEMM",4.714,4.7106,0.513921%,11.4913%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:52
Multiply (ND),1.493,1.4257,0.155542%,11.6469%,0,1,Delegate/Multiply (ND):53
"Fully Connected (NC, F32) GEMM",5.933,5.8836,0.641894%,12.2888%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:54
Add (ND),0.645,0.64838,0.0707375%,12.3595%,0,1,Delegate/Add (ND):55
Static Reshape (NC),0.282,0.28736,0.0313506%,12.3909%,0,1,Delegate/Static Reshape (NC):56
Mean (ND) Reduce,0.196,0.20764,0.0226533%,12.4135%,0,1,Delegate/Mean (ND) Reduce:57
Static Reshape (NC),0.008,0.01608,0.00175431%,12.4153%,0,1,Delegate/Static Reshape (NC):58
Squared Difference (ND),0.257,0.2701,0.0294676%,12.4447%,0,1,Delegate/Squared Difference (ND):59
Mean (ND) Reduce,0.216,0.22586,0.0246411%,12.4694%,0,1,Delegate/Mean (ND) Reduce:60
Add (ND),0.006,0.01128,0.00123063%,12.4706%,0,1,Delegate/Add (ND):61
Reciprocal Square Root (NC),0.02,0.02106,0.00229762%,12.4729%,0,1,Delegate/Reciprocal Square Root (NC):62
Multiply (ND),0.068,0.0421,0.00459306%,12.4775%,0,1,Delegate/Multiply (ND):63
Subtract (ND),0.021,0.02198,0.00239799%,12.4799%,0,1,Delegate/Subtract (ND):64
Static Reshape (NC),0.005,0.00764,0.000833515%,12.4807%,0,1,Delegate/Static Reshape (NC):65
Multiply (ND),0.324,0.33124,0.0361379%,12.5169%,0,1,Delegate/Multiply (ND):66
Static Reshape (NC),0.001,0.00138,0.000150556%,12.517%,0,1,Delegate/Static Reshape (NC):67
Add (ND),0.17,0.18074,0.0197185%,12.5367%,0,1,Delegate/Add (ND):68
Multiply (ND),0.134,0.14668,0.0160026%,12.5527%,0,1,Delegate/Multiply (ND):69
Static Reshape (NC),0.001,0.00048,5.23674e-05%,12.5528%,0,1,Delegate/Static Reshape (NC):70
"Fully Connected (NC, F32) GEMM",2.377,2.30162,0.251104%,12.8039%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:71
Multiply (ND),1.012,0.77572,0.0846301%,12.8885%,0,1,Delegate/Multiply (ND):72
Multiply (ND),0.735,0.8329,0.0908684%,12.9794%,0,1,Delegate/Multiply (ND):73
Add (ND),0.878,0.80236,0.0875365%,13.0669%,0,1,Delegate/Add (ND):74
"Convolution (NHWC, F32) IGEMM",82.294,82.9905,9.05417%,22.1211%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:75
"Fully Connected (NC, F32) GEMM",2.458,2.4165,0.263637%,22.3847%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:76
Add (ND),0.619,0.63362,0.0691272%,22.4539%,0,1,Delegate/Add (ND):77
Static Reshape (NC),0.287,0.2926,0.0319223%,22.4858%,0,1,Delegate/Static Reshape (NC):78
Mean (ND) Reduce,0.217,0.20418,0.0222758%,22.5081%,0,1,Delegate/Mean (ND) Reduce:79
Static Reshape (NC),0.008,0.0164,0.00178922%,22.5098%,0,1,Delegate/Static Reshape (NC):80
Squared Difference (ND),0.248,0.25382,0.0276915%,22.5375%,0,1,Delegate/Squared Difference (ND):81
Mean (ND) Reduce,0.194,0.22836,0.0249138%,22.5625%,0,1,Delegate/Mean (ND) Reduce:82
Add (ND),0.006,0.0088,0.00096007%,22.5634%,0,1,Delegate/Add (ND):83
Reciprocal Square Root (NC),0.021,0.02174,0.00237181%,22.5658%,0,1,Delegate/Reciprocal Square Root (NC):84
Multiply (ND),0.05,0.03788,0.00413266%,22.5699%,0,1,Delegate/Multiply (ND):85
Subtract (ND),0.02,0.0203,0.00221471%,22.5721%,0,1,Delegate/Subtract (ND):86
Static Reshape (NC),0.006,0.0077,0.000840061%,22.573%,0,1,Delegate/Static Reshape (NC):87
Multiply (ND),0.326,0.32624,0.0355924%,22.6086%,0,1,Delegate/Multiply (ND):88
Static Reshape (NC),0.001,0.001,0.000109099%,22.6087%,0,1,Delegate/Static Reshape (NC):89
Add (ND),0.149,0.17288,0.018861%,22.6275%,0,1,Delegate/Add (ND):90
Multiply (ND),0.12,0.132,0.014401%,22.6419%,0,1,Delegate/Multiply (ND):91
Static Reshape (NC),0,0.00086,9.3825e-05%,22.642%,0,1,Delegate/Static Reshape (NC):92
"Fully Connected (NC, F32) GEMM",4.714,4.70548,0.513362%,23.1554%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:93
Multiply (ND),1.39,1.42152,0.155086%,23.3105%,0,1,Delegate/Multiply (ND):94
"Fully Connected (NC, F32) GEMM",6.247,5.92496,0.646406%,23.9569%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:95
Add (ND),0.622,0.6424,0.0700851%,24.027%,0,1,Delegate/Add (ND):96
Static Reshape (NC),0.281,0.28146,0.030707%,24.0577%,0,1,Delegate/Static Reshape (NC):97
Mean (ND) Reduce,0.171,0.19772,0.021571%,24.0792%,0,1,Delegate/Mean (ND) Reduce:98
