Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,414.489,207.341,86.8761%,86.8761%,0,2,ModifyGraphWithDelegate/0
AllocateTensors,62.644,62.644,13.1239%,100%,16224,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,414.489,207.341,86.8761%,86.8761%,0,2,ModifyGraphWithDelegate/0
AllocateTensors,62.644,62.644,13.1239%,100%,16224,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,414.682,86.8761%,86.8761%,0,2
AllocateTensors,1,62.644,13.1239%,100%,16224,1

Timings (microseconds): count=1 curr=477326
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",3.253,2.27506,0.293377%,0.293377%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
Static Reshape (NC),0.54,0.51644,0.0665967%,0.359973%,0,1,Delegate/Static Reshape (NC):1
Mean (ND) Reduce,0.292,0.24944,0.0321661%,0.392139%,0,1,Delegate/Mean (ND) Reduce:2
Static Reshape (NC),0.008,0.0163,0.00210194%,0.394241%,0,1,Delegate/Static Reshape (NC):3
Squared Difference (ND),0.368,0.39466,0.0508927%,0.445134%,0,1,Delegate/Squared Difference (ND):4
Mean (ND) Reduce,0.382,0.36376,0.0469081%,0.492042%,0,1,Delegate/Mean (ND) Reduce:5
Add (ND),0.008,0.01864,0.00240369%,0.494446%,0,1,Delegate/Add (ND):6
Reciprocal Square Root (NC),0.02,0.02624,0.00338374%,0.49783%,0,1,Delegate/Reciprocal Square Root (NC):7
Multiply (ND),0.041,0.03616,0.00466295%,0.502493%,0,1,Delegate/Multiply (ND):8
Subtract (ND),0.015,0.01512,0.00194977%,0.504442%,0,1,Delegate/Subtract (ND):9
Static Reshape (NC),0.005,0.00622,0.00080209%,0.505244%,0,1,Delegate/Static Reshape (NC):10
Multiply (ND),0.416,0.43638,0.0562727%,0.561517%,0,1,Delegate/Multiply (ND):11
Static Reshape (NC),0.001,0.00104,0.000134112%,0.561651%,0,1,Delegate/Static Reshape (NC):12
Add (ND),0.245,0.2826,0.0364422%,0.598094%,0,1,Delegate/Add (ND):13
Multiply (ND),0.257,0.32378,0.0417525%,0.639846%,0,1,Delegate/Multiply (ND):14
Add (ND),0.214,0.27668,0.0356788%,0.675525%,0,1,Delegate/Add (ND):15
Static Reshape (NC),0.528,0.49902,0.0643503%,0.739875%,0,1,Delegate/Static Reshape (NC):16
"Convolution (NHWC, F32) IGEMM",57.461,57.7143,7.44245%,8.18233%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:17
Static Reshape (NC),0.468,0.45054,0.0580987%,8.24043%,0,1,Delegate/Static Reshape (NC):18
Mean (ND) Reduce,0.231,0.25012,0.0322538%,8.27268%,0,1,Delegate/Mean (ND) Reduce:19
Static Reshape (NC),0.008,0.01342,0.00173055%,8.27441%,0,1,Delegate/Static Reshape (NC):20
Squared Difference (ND),0.369,0.38626,0.0498095%,8.32422%,0,1,Delegate/Squared Difference (ND):21
Mean (ND) Reduce,0.383,0.36488,0.0470525%,8.37127%,0,1,Delegate/Mean (ND) Reduce:22
Add (ND),0.008,0.0145,0.00186982%,8.37314%,0,1,Delegate/Add (ND):23
Reciprocal Square Root (NC),0.019,0.0247,0.00318515%,8.37633%,0,1,Delegate/Reciprocal Square Root (NC):24
Multiply (ND),0.052,0.04088,0.00527161%,8.3816%,0,1,Delegate/Multiply (ND):25
Subtract (ND),0.019,0.01566,0.00201941%,8.38362%,0,1,Delegate/Subtract (ND):26
Static Reshape (NC),0.004,0.00494,0.00063703%,8.38426%,0,1,Delegate/Static Reshape (NC):27
Multiply (ND),0.424,0.43492,0.0560844%,8.44034%,0,1,Delegate/Multiply (ND):28
Static Reshape (NC),0.001,0.00118,0.000152165%,8.44049%,0,1,Delegate/Static Reshape (NC):29
Add (ND),0.325,0.29152,0.0375925%,8.47809%,0,1,Delegate/Add (ND):30
"Fully Connected (NC, F32) GEMM",10.309,10.3706,1.33733%,9.81542%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:31
Static Reshape (NC),0.003,0.0035,0.000451337%,9.81587%,0,1,Delegate/Static Reshape (NC):32
GELU (NC),3.731,3.4213,0.441188%,10.2571%,0,1,Delegate/GELU (NC):33
"Fully Connected (NC, F32) GEMM",10.043,9.95642,1.28391%,11.541%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:34
