Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,38.911,38.911,60.3327%,60.3327%,17040,1,ModifyGraphWithDelegate/0
AllocateTensors,25.583,25.583,39.6673%,100%,6988,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,38.911,38.911,60.3327%,60.3327%,17040,1,ModifyGraphWithDelegate/0
AllocateTensors,25.583,25.583,39.6673%,100%,6988,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,38.911,60.3327%,60.3327%,17040,1
AllocateTensors,1,25.583,39.6673%,100%,6988,1

Timings (microseconds): count=1 curr=64494
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",0.932,0.9249,1.01251%,1.01251%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
Sum (ND) Reduce,0.128,0.14332,0.156895%,1.1694%,0,1,Delegate/Sum (ND) Reduce:1
Multiply (ND),0.006,0.00892,0.00976492%,1.17917%,0,1,Delegate/Multiply (ND):2
Static Reshape (NC),0,0.00032,0.000350311%,1.17952%,0,1,Delegate/Static Reshape (NC):3
Subtract (ND),0.097,0.10112,0.110698%,1.29022%,0,1,Delegate/Subtract (ND):4
Multiply (ND),0.1,0.1041,0.113961%,1.40418%,0,1,Delegate/Multiply (ND):5
Sum (ND) Reduce,0.117,0.11598,0.126966%,1.53114%,0,1,Delegate/Sum (ND) Reduce:6
Multiply (ND),0.005,0.00506,0.00553929%,1.53668%,0,1,Delegate/Multiply (ND):7
Add (ND),0.004,0.00418,0.00457594%,1.54126%,0,1,Delegate/Add (ND):8
Static Reshape (NC),0,0.0003,0.000328416%,1.54159%,0,1,Delegate/Static Reshape (NC):9
Reciprocal Square Root (NC),0.019,0.01904,0.0208435%,1.56243%,0,1,Delegate/Reciprocal Square Root (NC):10
Multiply (ND),0.112,0.1277,0.139796%,1.70223%,0,1,Delegate/Multiply (ND):11
Multiply (ND),0.159,0.12714,0.139183%,1.84141%,0,1,Delegate/Multiply (ND):12
"Convolution (NHWC, F32) IGEMM",14.112,14.2468,15.5963%,17.4377%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:13
Sum (ND) Reduce,0.171,0.15776,0.172703%,17.6104%,0,1,Delegate/Sum (ND) Reduce:14
Multiply (ND),0.009,0.01242,0.0135964%,17.624%,0,1,Delegate/Multiply (ND):15
Static Reshape (NC),0,0.0006,0.000656833%,17.6246%,0,1,Delegate/Static Reshape (NC):16
Subtract (ND),0.099,0.10194,0.111596%,17.7362%,0,1,Delegate/Subtract (ND):17
Multiply (ND),0.07,0.07672,0.083987%,17.8202%,0,1,Delegate/Multiply (ND):18
Sum (ND) Reduce,0.1,0.10476,0.114683%,17.9349%,0,1,Delegate/Sum (ND) Reduce:19
Multiply (ND),0.004,0.004,0.00437889%,17.9393%,0,1,Delegate/Multiply (ND):20
Add (ND),0.004,0.00406,0.00444457%,17.9437%,0,1,Delegate/Add (ND):21
Static Reshape (NC),0.001,0.00104,0.00113851%,17.9448%,0,1,Delegate/Static Reshape (NC):22
Reciprocal Square Root (NC),0.019,0.01924,0.0210624%,17.9659%,0,1,Delegate/Reciprocal Square Root (NC):23
Multiply (ND),0.08,0.09032,0.0988752%,18.0648%,0,1,Delegate/Multiply (ND):24
Multiply (ND),0.068,0.07374,0.0807248%,18.1455%,0,1,Delegate/Multiply (ND):25
"Fully Connected (NC, F32) GEMM",2.709,1.18408,1.29624%,19.4417%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:26
GELU (NC),1.106,1.1461,1.25466%,20.6964%,0,1,Delegate/GELU (NC):27
"Fully Connected (NC, F32) GEMM",1.2,1.20214,1.31601%,22.0124%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:28
Add (ND),0.338,0.30014,0.32857%,22.341%,0,1,Delegate/Add (ND):29
"Convolution (NHWC, F32) IGEMM",14.064,14.217,15.5636%,37.9046%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:30
