Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,269.347,269.347,78.5055%,78.5055%,170624,1,ModifyGraphWithDelegate/0
AllocateTensors,73.746,73.746,21.4945%,100%,3008,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,269.347,269.347,78.5055%,78.5055%,170624,1,ModifyGraphWithDelegate/0
AllocateTensors,73.746,73.746,21.4945%,100%,3008,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,269.347,78.5055%,78.5055%,170624,1
AllocateTensors,1,73.746,21.4945%,100%,3008,1

Timings (microseconds): count=1 curr=343093
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",13.18,13.286,2.7234%,2.7234%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
"Transpose (ND, X32) Transpose",0.378,0.38156,0.078213%,2.80161%,0,1,Delegate/Transpose (ND	 X32) Transpose:1
Static Reshape (NC),0.002,0.00148,0.000303374%,2.80191%,0,1,Delegate/Static Reshape (NC):2
Add (ND),0.127,0.12998,0.0266436%,2.82856%,0,1,Delegate/Add (ND):3
"Transpose (ND, X32) Transpose",0.206,0.20086,0.0411727%,2.86973%,0,1,Delegate/Transpose (ND	 X32) Transpose:4
"Copy (NC, X32)",0.083,0.08608,0.0176449%,2.88738%,0,1,Delegate/Copy (NC	 X32):5
Mean (ND) Reduce,0.05,0.05614,0.0115077%,2.89888%,0,1,Delegate/Mean (ND) Reduce:6
Static Reshape (NC),0.002,0.00206,0.000422263%,2.89931%,0,1,Delegate/Static Reshape (NC):7
Squared Difference (ND),0.075,0.07672,0.0157262%,2.91503%,0,1,Delegate/Squared Difference (ND):8
Mean (ND) Reduce,0.068,0.06802,0.0139429%,2.92898%,0,1,Delegate/Mean (ND) Reduce:9
Add (ND),0.006,0.00912,0.00186944%,2.93084%,0,1,Delegate/Add (ND):10
Reciprocal Square Root (NC),0.005,0.00538,0.0011028%,2.93195%,0,1,Delegate/Reciprocal Square Root (NC):11
Multiply (ND),0.042,0.04334,0.00888393%,2.94083%,0,1,Delegate/Multiply (ND):12
Subtract (ND),0.015,0.01554,0.00318542%,2.94402%,0,1,Delegate/Subtract (ND):13
Static Reshape (NC),0.002,0.002,0.000409965%,2.94443%,0,1,Delegate/Static Reshape (NC):14
Multiply (ND),0.084,0.0851,0.017444%,2.96187%,0,1,Delegate/Multiply (ND):15
Static Reshape (NC),0.001,0.00108,0.000221381%,2.96209%,0,1,Delegate/Static Reshape (NC):16
Add (ND),0.065,0.07566,0.015509%,2.9776%,0,1,Delegate/Add (ND):17
"Fully Connected (NC, F32) GEMM",7.416,7.42552,1.5221%,4.4997%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:18
Static Reshape (NC),0.003,0.0027,0.000553452%,4.50025%,0,1,Delegate/Static Reshape (NC):19
"Transpose (ND, X32) Transpose",0.543,0.55516,0.113798%,4.61405%,0,1,Delegate/Transpose (ND	 X32) Transpose:20
"Slice (ND, X32)",0.177,0.17766,0.0364172%,4.65047%,0,1,Delegate/Slice (ND	 X32):21
"Slice (ND, X32)",0.139,0.14402,0.0295215%,4.67999%,0,1,Delegate/Slice (ND	 X32):22
"Slice (ND, X32)",0.158,0.15634,0.0320469%,4.71204%,0,1,Delegate/Slice (ND	 X32):23
Static Reshape (NC),0.001,0.00102,0.000209082%,4.71225%,0,1,Delegate/Static Reshape (NC):24
Static Reshape (NC),0.001,0.001,0.000204982%,4.71245%,0,1,Delegate/Static Reshape (NC):25
Multiply (ND),0.093,0.097,0.0198833%,4.73234%,0,1,Delegate/Multiply (ND):26
