Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,270.838,270.838,78.0236%,78.0236%,173608,1,ModifyGraphWithDelegate/0
AllocateTensors,76.285,76.285,21.9764%,100%,3004,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,270.838,270.838,78.0236%,78.0236%,173608,1,ModifyGraphWithDelegate/0
AllocateTensors,76.285,76.285,21.9764%,100%,3004,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,270.838,78.0236%,78.0236%,173608,1
AllocateTensors,1,76.285,21.9764%,100%,3004,1

Timings (microseconds): count=1 curr=347123
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",12.675,12.7391,2.61917%,2.61917%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
"Transpose (ND, X32) Transpose",0.365,0.37676,0.0774624%,2.69664%,0,1,Delegate/Transpose (ND	 X32) Transpose:1
Static Reshape (NC),0.001,0.00114,0.000234386%,2.69687%,0,1,Delegate/Static Reshape (NC):2
"Transpose (ND, X32) Transpose",0.25,0.26808,0.0551176%,2.75199%,0,1,Delegate/Transpose (ND	 X32) Transpose:3
"Copy (NC, X32)",0.066,0.09712,0.019968%,2.77196%,0,1,Delegate/Copy (NC	 X32):4
Add (ND),0.165,0.16552,0.0340312%,2.80599%,0,1,Delegate/Add (ND):5
Mean (ND) Reduce,0.059,0.07354,0.0151199%,2.82111%,0,1,Delegate/Mean (ND) Reduce:6
Static Reshape (NC),0.002,0.00252,0.000518116%,2.82163%,0,1,Delegate/Static Reshape (NC):7
Squared Difference (ND),0.081,0.08764,0.0180189%,2.83964%,0,1,Delegate/Squared Difference (ND):8
Mean (ND) Reduce,0.076,0.07312,0.0150336%,2.85468%,0,1,Delegate/Mean (ND) Reduce:9
Add (ND),0.004,0.0063,0.00129529%,2.85597%,0,1,Delegate/Add (ND):10
Reciprocal Square Root (NC),0.006,0.00616,0.00126651%,2.85724%,0,1,Delegate/Reciprocal Square Root (NC):11
Multiply (ND),0.07,0.03394,0.00697811%,2.86422%,0,1,Delegate/Multiply (ND):12
Subtract (ND),0.016,0.01334,0.00274272%,2.86696%,0,1,Delegate/Subtract (ND):13
Static Reshape (NC),0.003,0.00206,0.000423539%,2.86738%,0,1,Delegate/Static Reshape (NC):14
Multiply (ND),0.11,0.07756,0.0159465%,2.88333%,0,1,Delegate/Multiply (ND):15
Static Reshape (NC),0.001,0.001,0.000205601%,2.88354%,0,1,Delegate/Static Reshape (NC):16
Add (ND),0.082,0.07288,0.0149842%,2.89852%,0,1,Delegate/Add (ND):17
"Fully Connected (NC, F32) GEMM",7.37,7.3974,1.52092%,4.41944%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:18
