Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,81.314,81.314,52.1986%,52.1986%,44924,1,ModifyGraphWithDelegate/0
AllocateTensors,74.464,74.464,47.8014%,100%,1400,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,81.314,81.314,52.1986%,52.1986%,44924,1,ModifyGraphWithDelegate/0
AllocateTensors,74.464,74.464,47.8014%,100%,1400,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,81.314,52.1986%,52.1986%,44924,1
AllocateTensors,1,74.464,47.8014%,100%,1400,1

Timings (microseconds): count=1 curr=155778
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",6.187,6.24352,4.46645%,4.46645%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
"Transpose (ND, X32) Transpose",0.173,0.21108,0.151001%,4.61745%,0,1,Delegate/Transpose (ND	 X32) Transpose:1
Static Reshape (NC),0.001,0.0011,0.000786912%,4.61824%,0,1,Delegate/Static Reshape (NC):2
"Transpose (ND, X32) Transpose",0.105,0.1116,0.0798358%,4.69808%,0,1,Delegate/Transpose (ND	 X32) Transpose:3
"Copy (NC, X32)",0.042,0.04146,0.0296594%,4.72774%,0,1,Delegate/Copy (NC	 X32):4
Add (ND),0.063,0.06566,0.0469715%,4.77471%,0,1,Delegate/Add (ND):5
Mean (ND) Reduce,0.023,0.02852,0.0204025%,4.79511%,0,1,Delegate/Mean (ND) Reduce:6
Static Reshape (NC),0.002,0.00198,0.00141644%,4.79653%,0,1,Delegate/Static Reshape (NC):7
Squared Difference (ND),0.037,0.03868,0.0276707%,4.8242%,0,1,Delegate/Squared Difference (ND):8
Mean (ND) Reduce,0.024,0.02312,0.0165394%,4.84074%,0,1,Delegate/Mean (ND) Reduce:9
Add (ND),0.003,0.00402,0.0028758%,4.84361%,0,1,Delegate/Add (ND):10
Reciprocal Square Root (NC),0.005,0.0051,0.00364841%,4.84726%,0,1,Delegate/Reciprocal Square Root (NC):11
Multiply (ND),0.038,0.03408,0.0243799%,4.87164%,0,1,Delegate/Multiply (ND):12
Subtract (ND),0.015,0.0149,0.0106591%,4.8823%,0,1,Delegate/Subtract (ND):13
Static Reshape (NC),0.002,0.00244,0.00174551%,4.88405%,0,1,Delegate/Static Reshape (NC):14
Multiply (ND),0.038,0.03924,0.0280713%,4.91212%,0,1,Delegate/Multiply (ND):15
Static Reshape (NC),0.001,0.001,0.000715374%,4.91283%,0,1,Delegate/Static Reshape (NC):16
Add (ND),0.03,0.02462,0.0176125%,4.93044%,0,1,Delegate/Add (ND):17
"Fully Connected (NC, F32) GEMM",1.72,1.74872,1.25099%,6.18143%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:18
Static Reshape (NC),0.001,0.00192,0.00137352%,6.18281%,0,1,Delegate/Static Reshape (NC):19
"Transpose (ND, X32) Transpose",0.213,0.19426,0.138969%,6.32178%,0,1,Delegate/Transpose (ND	 X32) Transpose:20
"Slice (ND, X32)",0.04,0.04216,0.0301602%,6.35194%,0,1,Delegate/Slice (ND	 X32):21
"Slice (ND, X32)",0.045,0.04384,0.031362%,6.3833%,0,1,Delegate/Slice (ND	 X32):22
"Slice (ND, X32)",0.042,0.0435,0.0311188%,6.41442%,0,1,Delegate/Slice (ND	 X32):23
Static Reshape (NC),0.001,0.00116,0.000829834%,6.41525%,0,1,Delegate/Static Reshape (NC):24
Static Reshape (NC),0.001,0.00104,0.000743989%,6.41599%,0,1,Delegate/Static Reshape (NC):25
Multiply (ND),0.064,0.06784,0.048531%,6.46452%,0,1,Delegate/Multiply (ND):26
Multiply (ND),0.058,0.0668,0.047787%,6.51231%,0,1,Delegate/Multiply (ND):27
"Transpose (ND, X32) Transpose",0.059,0.06078,0.0434804%,6.55579%,0,1,Delegate/Transpose (ND	 X32) Transpose:28
Static Reshape (NC),0.001,0.00108,0.000772604%,6.55656%,0,1,Delegate/Static Reshape (NC):29
Static Reshape (NC),0,0.00072,0.000515069%,6.55708%,0,1,Delegate/Static Reshape (NC):30
"Batch Matrix Multiply (NC, F32) GEMM",0.679,0.6524,0.46671%,7.02379%,0,1,Delegate/Batch Matrix Multiply (NC	 F32) GEMM:31
Static Reshape (NC),0.002,0.00212,0.00151659%,7.0253%,0,1,Delegate/Static Reshape (NC):32
"Softmax (NC, F32)",0.314,0.31698,0.226759%,7.25206%,0,1,Delegate/Softmax (NC	 F32):33
Static Reshape (NC),0.001,0.00102,0.000729682%,7.25279%,0,1,Delegate/Static Reshape (NC):34
Static Reshape (NC),0.001,0.001,0.000715374%,7.25351%,0,1,Delegate/Static Reshape (NC):35
"Batch Matrix Multiply (NC, F32) GEMM",0.724,0.74362,0.531966%,7.78547%,0,1,Delegate/Batch Matrix Multiply (NC	 F32) GEMM:36
Static Reshape (NC),0.001,0.00122,0.000872756%,7.78635%,0,1,Delegate/Static Reshape (NC):37
"Transpose (ND, X32) Transpose",0.042,0.04922,0.0352107%,7.82156%,0,1,Delegate/Transpose (ND	 X32) Transpose:38
Static Reshape (NC),0.001,0.00106,0.000758297%,7.82232%,0,1,Delegate/Static Reshape (NC):39
"Fully Connected (NC, F32) GEMM",0.631,0.65752,0.470373%,8.29269%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:40
Add (ND),0.061,0.06608,0.0472719%,8.33996%,0,1,Delegate/Add (ND):41
Mean (ND) Reduce,0.024,0.03708,0.0265261%,8.36649%,0,1,Delegate/Mean (ND) Reduce:42
Static Reshape (NC),0.003,0.00312,0.00223197%,8.36872%,0,1,Delegate/Static Reshape (NC):43
Squared Difference (ND),0.052,0.04012,0.0287008%,8.39742%,0,1,Delegate/Squared Difference (ND):44
Mean (ND) Reduce,0.019,0.01994,0.0142646%,8.41168%,0,1,Delegate/Mean (ND) Reduce:45
Add (ND),0.003,0.0031,0.00221766%,8.4139%,0,1,Delegate/Add (ND):46
Reciprocal Square Root (NC),0.005,0.00498,0.00356256%,8.41746%,0,1,Delegate/Reciprocal Square Root (NC):47
Multiply (ND),0.015,0.03076,0.0220049%,8.43947%,0,1,Delegate/Multiply (ND):48
Subtract (ND),0.004,0.01766,0.0126335%,8.4521%,0,1,Delegate/Subtract (ND):49
Static Reshape (NC),0.002,0.00176,0.00125906%,8.45336%,0,1,Delegate/Static Reshape (NC):50
Multiply (ND),0.029,0.03398,0.0243084%,8.47767%,0,1,Delegate/Multiply (ND):51
Static Reshape (NC),0.003,0.00134,0.000958601%,8.47863%,0,1,Delegate/Static Reshape (NC):52
Add (ND),0.024,0.02212,0.0158241%,8.49445%,0,1,Delegate/Add (ND):53
"Fully Connected (NC, F32) GEMM",2.34,2.33338,1.66924%,10.1637%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:54
GELU (NC),0.412,0.42702,0.305479%,10.4692%,0,1,Delegate/GELU (NC):55
Static Reshape (NC),0.001,0.00124,0.000887064%,10.4701%,0,1,Delegate/Static Reshape (NC):56
"Fully Connected (NC, F32) GEMM",2.583,2.64618,1.89301%,12.3631%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:57
Add (ND),0.146,0.11806,0.0844571%,12.4475%,0,1,Delegate/Add (ND):58
Mean (ND) Reduce,0.032,0.0354,0.0253242%,12.4728%,0,1,Delegate/Mean (ND) Reduce:59
Static Reshape (NC),0.004,0.0031,0.00221766%,12.4751%,0,1,Delegate/Static Reshape (NC):60
Squared Difference (ND),0.036,0.0313,0.0223912%,12.4975%,0,1,Delegate/Squared Difference (ND):61
Mean (ND) Reduce,0.018,0.02938,0.0210177%,12.5185%,0,1,Delegate/Mean (ND) Reduce:62
Add (ND),0.003,0.00354,0.00253242%,12.521%,0,1,Delegate/Add (ND):63
Reciprocal Square Root (NC),0.005,0.00508,0.0036341%,12.5246%,0,1,Delegate/Reciprocal Square Root (NC):64
Multiply (ND),0.027,0.03024,0.0216329%,12.5463%,0,1,Delegate/Multiply (ND):65
Subtract (ND),0.013,0.0162,0.0115891%,12.5579%,0,1,Delegate/Subtract (ND):66
