Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,45.068,22.651,67.5847%,67.5847%,0,2,ModifyGraphWithDelegate/0
AllocateTensors,21.728,21.728,32.4153%,100%,3996,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,45.068,22.651,67.5847%,67.5847%,0,2,ModifyGraphWithDelegate/0
AllocateTensors,21.728,21.728,32.4153%,100%,3996,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,45.302,67.5847%,67.5847%,0,2
AllocateTensors,1,21.728,32.4153%,100%,3996,1

Timings (microseconds): count=1 curr=67030
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",0.925,0.8954,3.55756%,3.55756%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
HardSwish (NC),0.154,0.15868,0.63046%,4.18802%,0,1,Delegate/HardSwish (NC):1
"Convolution (NHWC, F32) DWConv",0.571,0.5622,2.23371%,6.42173%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:2
HardSwish (NC),0.084,0.08768,0.348366%,6.7701%,0,1,Delegate/HardSwish (NC):3
"Fully Connected (NC, F32) GEMM",0.137,0.14,0.556242%,7.32634%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:4
Add (ND),0.235,0.19194,0.762607%,8.08894%,0,1,Delegate/Add (ND):5
"Fully Connected (NC, F32) GEMM",0.783,0.78024,3.10001%,11.189%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:6
HardSwish (NC),0.67,0.685,2.72161%,13.9106%,0,1,Delegate/HardSwish (NC):7
"Convolution (NHWC, F32) DWConv",1.26,1.28702,5.11353%,19.0241%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:8
HardSwish (NC),0.131,0.13182,0.523741%,19.5478%,0,1,Delegate/HardSwish (NC):9
