Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,49.869,25.187,42.6815%,42.6815%,0,2,ModifyGraphWithDelegate/0
AllocateTensors,67.649,67.649,57.3185%,100%,3464,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
AllocateTensors,67.649,67.649,57.3185%,57.3185%,3464,1,AllocateTensors/0
ModifyGraphWithDelegate,49.869,25.187,42.6815%,100%,0,2,ModifyGraphWithDelegate/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
AllocateTensors,1,67.649,57.3185%,57.3185%,3464,1
ModifyGraphWithDelegate,1,50.374,42.6815%,100%,0,2

Timings (microseconds): count=1 curr=118023
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",2.084,1.46792,6.21957%,6.21957%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
"Convolution (NHWC, F32) IGEMM",1.496,1.55428,6.58548%,12.8051%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:1
"Convolution (NHWC, F32) IGEMM",1.304,1.32532,5.61538%,18.4204%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:2
"Convolution (NHWC, F32) IGEMM",1.294,1.29042,5.46751%,23.8879%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:3
"Convolution (NHWC, F32) DWConv",0.114,0.13596,0.576062%,24.464%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:4
Add (ND),0.039,0.01653,0.420225%,24.8842%,0,6,Delegate/Add (ND):5
"Fully Connected (NC, F32) GEMM",0.506,0.51536,2.18358%,27.0678%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:6
"Fully Connected (NC, F32) GEMM",0.53,0.54494,2.30891%,29.3767%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:7
Add (ND),0.033,0.05116,0.216765%,29.5935%,0,1,Delegate/Add (ND):8
Static Reshape (NC),0.021,0.02398,0.101603%,29.6951%,0,1,Delegate/Static Reshape (NC):9
