Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,116.954,116.954,63.8754%,63.8754%,75060,1,ModifyGraphWithDelegate/0
AllocateTensors,66.143,66.143,36.1246%,100%,5148,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,116.954,116.954,63.8754%,63.8754%,75060,1,ModifyGraphWithDelegate/0
AllocateTensors,66.143,66.143,36.1246%,100%,5148,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,116.954,63.8754%,63.8754%,75060,1
AllocateTensors,1,66.143,36.1246%,100%,5148,1

Timings (microseconds): count=1 curr=183097
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",2.237,2.24404,2.12343%,2.12343%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
"Convolution (NHWC, F32) IGEMM",9.483,9.48488,8.97512%,11.0986%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:1
"Fully Connected (NC, F32) GEMM",1.631,1.6454,1.55697%,12.6555%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:2
"Convolution (NHWC, F32) DWConv",0.718,0.70762,0.669589%,13.3251%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:3
"Fully Connected (NC, F32) GEMM",2.66,2.66866,2.52523%,15.8503%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:4
"Convolution (NHWC, F32) DWConv",5.497,5.513,5.2167%,21.067%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:5
"Fully Connected (NC, F32) GEMM",1.09,1.06902,1.01157%,22.0786%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:6
"Convolution (NHWC, F32) DWConv",0.269,0.2591,0.245175%,22.3238%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:7
"Fully Connected (NC, F32) GEMM",0.776,0.78178,0.739763%,23.0636%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:8
"Convolution (NHWC, F32) DWConv",0.562,0.53412,0.505414%,23.569%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:9
"Fully Connected (NC, F32) GEMM",0.802,0.80576,0.762455%,24.3314%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:10
Add (ND),0.11,0.11622,0.109974%,24.4414%,0,1,Delegate/Add (ND):11
"Convolution (NHWC, F32) DWConv",0.247,0.24864,0.235277%,24.6767%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:12
"Fully Connected (NC, F32) GEMM",2.414,2.44196,2.31072%,26.9874%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:13
"Convolution (NHWC, F32) DWConv",3.906,3.90652,3.69656%,30.684%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:14
"Fully Connected (NC, F32) GEMM",1.228,1.25028,1.18308%,31.867%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:15
"Convolution (NHWC, F32) DWConv",0.147,0.17956,0.16991%,32.0369%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:16
"Fully Connected (NC, F32) GEMM",1.607,1.6028,1.51666%,33.5536%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:17
"Convolution (NHWC, F32) DWConv",0.733,0.7521,0.711679%,34.2653%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:18
"Fully Connected (NC, F32) GEMM",1.688,1.72174,1.62921%,35.8945%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:19
Add (ND),0.102,0.0981,0.0928276%,35.9873%,0,1,Delegate/Add (ND):20
"Convolution (NHWC, F32) DWConv",0.135,0.15378,0.145515%,36.1328%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:21
"Fully Connected (NC, F32) GEMM",1.606,1.59686,1.51104%,37.6439%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:22
"Convolution (NHWC, F32) DWConv",0.727,0.74544,0.705376%,38.3492%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:23
"Fully Connected (NC, F32) GEMM",1.748,1.77466,1.67928%,40.0285%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:24
Add (ND),0.101,0.09912,0.0937928%,40.1223%,0,1,Delegate/Add (ND):25
