Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,45.872,45.872,59.7759%,59.7759%,28028,1,ModifyGraphWithDelegate/0
AllocateTensors,30.868,30.868,40.2241%,100%,4344,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,45.872,45.872,59.7759%,59.7759%,28028,1,ModifyGraphWithDelegate/0
AllocateTensors,30.868,30.868,40.2241%,100%,4344,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,45.872,59.7759%,59.7759%,28028,1
AllocateTensors,1,30.868,40.2241%,100%,4344,1

Timings (microseconds): count=1 curr=76740
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",2.284,2.27604,9.60124%,9.60124%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
"Convolution (NHWC, F32) IGEMM",2.736,2.84764,12.0125%,21.6137%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:1
"Fully Connected (NC, F32) GEMM",0.376,0.34288,1.4464%,23.0601%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:2
"Convolution (NHWC, F32) IGEMM",1.879,1.90286,8.02701%,31.0871%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:3
"Fully Connected (NC, F32) GEMM",0.399,0.398,1.67892%,32.766%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:4
"Convolution (NHWC, F32) DWConv",0.608,0.61626,2.59963%,35.3657%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:5
"Fully Connected (NC, F32) GEMM",0.781,0.81648,3.44423%,38.8099%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:6
"Convolution (NHWC, F32) DWConv",0.93,0.88794,3.74568%,42.5556%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:7
"Fully Connected (NC, F32) GEMM",0.311,0.3115,1.31403%,43.8696%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:8
"Fully Connected (NC, F32) GEMM",0.281,0.28286,1.19322%,45.0628%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:9
"Convolution (NHWC, F32) DWConv",0.144,0.18776,0.792046%,45.8549%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:10
"Fully Connected (NC, F32) GEMM",0.303,0.30526,1.28771%,47.1426%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:11
Add (ND),0.026,0.02792,0.117778%,47.2604%,0,1,Delegate/Add (ND):12
"Fully Connected (NC, F32) GEMM",0.28,0.2838,1.19718%,48.4575%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:13
"Convolution (NHWC, F32) DWConv",0.144,0.14798,0.624238%,49.0818%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:14
"Fully Connected (NC, F32) GEMM",0.297,0.3001,1.26594%,50.3477%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:15
Add (ND),0.02,0.02058,0.0868146%,50.4345%,0,1,Delegate/Add (ND):16
