Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,142.454,71.4475,62.5211%,62.5211%,0,2,ModifyGraphWithDelegate/0
AllocateTensors,85.66,85.66,37.4789%,100%,5264,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
AllocateTensors,85.66,85.66,37.4789%,37.4789%,5264,1,AllocateTensors/0
ModifyGraphWithDelegate,142.454,71.4475,62.5211%,100%,0,2,ModifyGraphWithDelegate/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,142.895,62.5211%,62.5211%,0,2
AllocateTensors,1,85.66,37.4789%,100%,5264,1

Timings (microseconds): count=1 curr=228555
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",2.42,2.25432,1.69121%,1.69121%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
"Convolution (NHWC, F32) IGEMM",9.489,9.53958,7.15665%,8.84786%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:1
"Fully Connected (NC, F32) GEMM",1.632,0.641322,4.33012%,13.178%,0,9,Delegate/Fully Connected (NC	 F32) GEMM:2
"Convolution (NHWC, F32) DWConv",0.745,0.75706,0.567951%,13.7459%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:3
"Fully Connected (NC, F32) GEMM",2.668,2.65424,1.99123%,15.7372%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:4
"Convolution (NHWC, F32) DWConv",5.565,5.60766,4.2069%,19.9441%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:5
"Fully Connected (NC, F32) GEMM",1.048,1.62758,7.32614%,27.2702%,0,6,Delegate/Fully Connected (NC	 F32) GEMM:6
"Convolution (NHWC, F32) DWConv",0.3,0.26274,0.197109%,27.4673%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:7
"Fully Connected (NC, F32) GEMM",0.832,1.09548,1.64367%,29.111%,0,2,Delegate/Fully Connected (NC	 F32) GEMM:8
"Convolution (NHWC, F32) DWConv",0.56,0.57196,0.429088%,29.5401%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:9
"Fully Connected (NC, F32) GEMM",0.8,0.80668,0.605176%,30.1452%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:10
Add (ND),0.106,0.039945,0.119868%,30.2651%,0,4,Delegate/Add (ND):11
"Convolution (NHWC, F32) DWConv",0.205,0.25738,0.386176%,30.6513%,0,2,Delegate/Convolution (NHWC	 F32) DWConv:12
"Fully Connected (NC, F32) GEMM",3.239,1.23513,2.77981%,33.4311%,0,3,Delegate/Fully Connected (NC	 F32) GEMM:13
"Convolution (NHWC, F32) DWConv",3.927,1.32645,3.98046%,37.4116%,0,4,Delegate/Convolution (NHWC	 F32) DWConv:14
"Fully Connected (NC, F32) GEMM",1.219,0.621008,2.32942%,39.741%,0,5,Delegate/Fully Connected (NC	 F32) GEMM:15
"Fully Connected (NC, F32) GEMM",0.795,0.480447,1.0813%,40.8223%,0,3,Delegate/Fully Connected (NC	 F32) GEMM:16
"Fully Connected (NC, F32) GEMM",0.936,0.41288,0.929236%,41.7515%,0,3,Delegate/Fully Connected (NC	 F32) GEMM:17
Add (ND),0.064,0.06076,0.0455825%,41.7971%,0,1,Delegate/Add (ND):18
"Convolution (NHWC, F32) DWConv",0.129,0.67493,1.01267%,42.8098%,0,2,Delegate/Convolution (NHWC	 F32) DWConv:19
"Fully Connected (NC, F32) GEMM",1.567,1.12983,3.39042%,46.2002%,0,4,Delegate/Fully Connected (NC	 F32) GEMM:20
"Convolution (NHWC, F32) DWConv",0.735,0.76024,0.570337%,46.7705%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:21
"Fully Connected (NC, F32) GEMM",1.737,1.718,1.28885%,48.0594%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:22
Add (ND),0.105,0.11704,0.0878042%,48.1472%,0,1,Delegate/Add (ND):23
"Convolution (NHWC, F32) DWConv",0.143,0.68469,1.02732%,49.1745%,0,2,Delegate/Convolution (NHWC	 F32) DWConv:24
"Fully Connected (NC, F32) GEMM",1.579,1.62844,2.44333%,51.6178%,0,2,Delegate/Fully Connected (NC	 F32) GEMM:25
