Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,206.168,206.168,66.384%,66.384%,113608,1,ModifyGraphWithDelegate/0
AllocateTensors,104.401,104.401,33.616%,100%,22028,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,206.168,206.168,66.384%,66.384%,113608,1,ModifyGraphWithDelegate/0
AllocateTensors,104.401,104.401,33.616%,100%,22028,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,206.168,66.384%,66.384%,113608,1
AllocateTensors,1,104.401,33.616%,100%,22028,1

Timings (microseconds): count=1 curr=310569
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",4.284,3.97964,1.15384%,1.15384%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
"Convolution (NHWC, F32) DWConv",3.535,3.486,1.01071%,2.16455%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:1
"Fully Connected (NC, F32) GEMM",3.247,3.3331,0.966383%,3.13094%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:2
"Convolution (NHWC, F32) DWConv",3.347,3.35948,0.974032%,4.10497%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:3
"Fully Connected (NC, F32) GEMM",14.036,14.3588,4.16314%,8.2681%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:4
"Convolution (NHWC, F32) DWConv",2.853,2.90126,0.841178%,9.10928%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:5
"Fully Connected (NC, F32) GEMM",5.801,6.01526,1.74404%,10.8533%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:6
"Convolution (NHWC, F32) DWConv",3.417,3.43694,0.99649%,11.8498%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:7
"Fully Connected (NC, F32) GEMM",12.071,12.3177,3.57134%,15.4212%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:8
"Convolution (NHWC, F32) DWConv",3.32,3.37434,0.97834%,16.3995%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:9
"Fully Connected (NC, F32) GEMM",12.09,12.0511,3.49403%,19.8935%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:10
"Convolution (NHWC, F32) DWConv",3.377,3.3688,0.976734%,20.8703%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:11
"Fully Connected (NC, F32) GEMM",11.982,12.0448,3.49221%,24.3625%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:12
"Convolution (NHWC, F32) DWConv",3.395,3.39652,0.984771%,25.3472%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:13
