Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,130.847,130.847,51.8859%,51.8859%,41828,1,ModifyGraphWithDelegate/0
AllocateTensors,121.335,121.335,48.1141%,100%,22320,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,130.847,130.847,51.8859%,51.8859%,41828,1,ModifyGraphWithDelegate/0
AllocateTensors,121.335,121.335,48.1141%,100%,22320,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,130.847,51.8859%,51.8859%,41828,1
AllocateTensors,1,121.335,48.1141%,100%,22320,1

Timings (microseconds): count=1 curr=252182
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",1.897,1.92056,0.558212%,0.558212%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
Sigmoid (NC),0.672,0.69368,0.201618%,0.75983%,0,1,Delegate/Sigmoid (NC):1
Multiply (ND),0.669,0.69212,0.201165%,0.960995%,0,1,Delegate/Multiply (ND):2
"Fully Connected (NC, F32) GEMM",2.515,2.45994,0.714983%,1.67598%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:3
Sigmoid (NC),2.61,2.65168,0.770712%,2.44669%,0,1,Delegate/Sigmoid (NC):4
Multiply (ND),3.356,3.29958,0.959025%,3.40572%,0,1,Delegate/Multiply (ND):5
"Convolution (NHWC, F32) DWConv",7.926,8.04562,2.33846%,5.74418%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:6
Sigmoid (NC),2.581,2.68832,0.781362%,6.52554%,0,1,Delegate/Sigmoid (NC):7
Multiply (ND),3.244,3.27448,0.95173%,7.47727%,0,1,Delegate/Multiply (ND):8
"Fully Connected (NC, F32) GEMM",3.057,3.04572,0.88524%,8.36251%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:9
"Fully Connected (NC, F32) GEMM",6.399,6.4519,1.87525%,10.2378%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:10
Sigmoid (NC),5.136,5.18282,1.50639%,11.7441%,0,1,Delegate/Sigmoid (NC):11
Multiply (ND),6.563,6.50678,1.8912%,13.6353%,0,1,Delegate/Multiply (ND):12
"Convolution (NHWC, F32) DWConv",11.009,10.9835,3.19237%,16.8277%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:13
Sigmoid (NC),1.283,1.29684,0.376927%,17.2046%,0,1,Delegate/Sigmoid (NC):14
Multiply (ND),1.688,1.72372,0.501%,17.7056%,0,1,Delegate/Multiply (ND):15
"Fully Connected (NC, F32) GEMM",3.117,3.16682,0.920438%,18.6261%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:16
"Fully Connected (NC, F32) GEMM",6.232,6.3257,1.83857%,20.4646%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:17
Sigmoid (NC),2.588,2.64912,0.769968%,21.2346%,0,1,Delegate/Sigmoid (NC):18
Multiply (ND),3.228,3.32702,0.967%,22.2016%,0,1,Delegate/Multiply (ND):19
"Convolution (NHWC, F32) DWConv",11.259,10.7973,3.13824%,25.3399%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:20
Sigmoid (NC),2.583,2.57548,0.748565%,26.0884%,0,1,Delegate/Sigmoid (NC):21
Multiply (ND),3.284,3.2577,0.946852%,27.0353%,0,1,Delegate/Multiply (ND):22
"Fully Connected (NC, F32) GEMM",7.43,7.43728,2.16165%,29.1969%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:23
Add (ND),0.918,0.85358,0.248094%,29.445%,0,1,Delegate/Add (ND):24
"Fully Connected (NC, F32) GEMM",6.232,6.25614,1.81835%,31.2634%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:25
Sigmoid (NC),2.611,2.57452,0.748286%,32.0117%,0,1,Delegate/Sigmoid (NC):26
Multiply (ND),3.38,3.27418,0.951642%,32.9633%,0,1,Delegate/Multiply (ND):27
"Convolution (NHWC, F32) DWConv",10.865,10.8883,3.1647%,36.128%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:28
Sigmoid (NC),2.599,2.61238,0.75929%,36.8873%,0,1,Delegate/Sigmoid (NC):29
Multiply (ND),3.325,3.2685,0.949991%,37.8373%,0,1,Delegate/Multiply (ND):30
"Fully Connected (NC, F32) GEMM",7.494,7.4869,2.17607%,40.0133%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:31
Add (ND),0.7,0.73382,0.213285%,40.2266%,0,1,Delegate/Add (ND):32
"Fully Connected (NC, F32) GEMM",6.248,6.2626,1.82023%,42.0469%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:33
Sigmoid (NC),2.54,2.5827,0.750663%,42.7975%,0,1,Delegate/Sigmoid (NC):34
Multiply (ND),3.275,3.28596,0.955066%,43.7526%,0,1,Delegate/Multiply (ND):35
"Convolution (NHWC, F32) DWConv",5.924,5.93694,1.72558%,45.4782%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:36
