Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,133.988,133.988,51.8588%,51.8588%,41836,1,ModifyGraphWithDelegate/0
AllocateTensors,124.383,124.383,48.1412%,100%,22320,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,133.988,133.988,51.8588%,51.8588%,41836,1,ModifyGraphWithDelegate/0
AllocateTensors,124.383,124.383,48.1412%,100%,22320,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,133.988,51.8588%,51.8588%,41836,1
AllocateTensors,1,124.383,48.1412%,100%,22320,1

Timings (microseconds): count=1 curr=258371
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",2.103,1.96066,0.562204%,0.562204%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
Sigmoid (NC),0.728,0.72338,0.207423%,0.769627%,0,1,Delegate/Sigmoid (NC):1
Multiply (ND),0.743,0.70206,0.20131%,0.970937%,0,1,Delegate/Multiply (ND):2
"Fully Connected (NC, F32) GEMM",3.228,2.46806,0.707697%,1.67863%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:3
Sigmoid (NC),2.94,2.6958,0.772999%,2.45163%,0,1,Delegate/Sigmoid (NC):4
Multiply (ND),3.436,3.34514,0.959192%,3.41083%,0,1,Delegate/Multiply (ND):5
"Convolution (NHWC, F32) DWConv",8.014,8.16138,2.34021%,5.75104%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:6
Sigmoid (NC),2.655,2.5982,0.745013%,6.49605%,0,1,Delegate/Sigmoid (NC):7
Multiply (ND),3.327,3.29398,0.944523%,7.44057%,0,1,Delegate/Multiply (ND):8
"Fully Connected (NC, F32) GEMM",3.028,3.12156,0.895082%,8.33565%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:9
"Fully Connected (NC, F32) GEMM",6.437,6.43984,1.84657%,10.1822%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:10
Sigmoid (NC),5.175,5.21774,1.49615%,11.6784%,0,1,Delegate/Sigmoid (NC):11
Multiply (ND),6.489,6.56348,1.88203%,13.5604%,0,1,Delegate/Multiply (ND):12
"Convolution (NHWC, F32) DWConv",11.294,11.2691,3.23133%,16.7917%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:13
Sigmoid (NC),1.333,1.31362,0.37667%,17.1684%,0,1,Delegate/Sigmoid (NC):14
Multiply (ND),1.745,1.65006,0.473142%,17.6415%,0,1,Delegate/Multiply (ND):15
"Fully Connected (NC, F32) GEMM",3.178,3.21642,0.922283%,18.5638%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:16
"Fully Connected (NC, F32) GEMM",6.284,6.28876,1.80325%,20.3671%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:17
Sigmoid (NC),2.587,2.61284,0.749211%,21.1163%,0,1,Delegate/Sigmoid (NC):18
Multiply (ND),4.301,3.3391,0.95746%,22.0737%,0,1,Delegate/Multiply (ND):19
"Convolution (NHWC, F32) DWConv",11.448,11.4421,3.28094%,25.3547%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:20
Sigmoid (NC),2.59,2.58638,0.741624%,26.0963%,0,1,Delegate/Sigmoid (NC):21
Multiply (ND),3.256,3.27728,0.939734%,27.036%,0,1,Delegate/Multiply (ND):22
"Fully Connected (NC, F32) GEMM",7.416,7.48644,2.14668%,29.1827%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:23
Add (ND),0.809,0.84548,0.242435%,29.4252%,0,1,Delegate/Add (ND):24
"Fully Connected (NC, F32) GEMM",6.256,6.26924,1.79765%,31.2228%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:25
Sigmoid (NC),2.607,2.64622,0.758783%,31.9816%,0,1,Delegate/Sigmoid (NC):26
Multiply (ND),3.307,3.30032,0.94634%,32.9279%,0,1,Delegate/Multiply (ND):27
"Convolution (NHWC, F32) DWConv",11.737,11.5661,3.31648%,36.2444%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:28
Sigmoid (NC),2.603,2.7157,0.778705%,37.0231%,0,1,Delegate/Sigmoid (NC):29
Multiply (ND),3.747,3.27796,0.939929%,37.9631%,0,1,Delegate/Multiply (ND):30
"Fully Connected (NC, F32) GEMM",7.945,7.52008,2.15632%,40.1194%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:31
Add (ND),0.977,0.7749,0.222196%,40.3416%,0,1,Delegate/Add (ND):32
"Fully Connected (NC, F32) GEMM",6.301,6.27818,1.80022%,42.1418%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:33
Sigmoid (NC),2.669,2.60554,0.747118%,42.8889%,0,1,Delegate/Sigmoid (NC):34
Multiply (ND),3.403,3.37824,0.968683%,43.8576%,0,1,Delegate/Multiply (ND):35
"Convolution (NHWC, F32) DWConv",6.256,6.1414,1.761%,45.6186%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:36
Sigmoid (NC),0.736,0.67902,0.194704%,45.8133%,0,1,Delegate/Sigmoid (NC):37
Multiply (ND),0.744,0.71534,0.205118%,46.0184%,0,1,Delegate/Multiply (ND):38
"Fully Connected (NC, F32) GEMM",2.715,2.68014,0.768509%,46.7869%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:39
"Convolution (NHWC, F32) IGEMM",6.614,6.57728,1.88598%,48.6729%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:40
Sigmoid (NC),0.258,0.26472,0.0759064%,48.7488%,0,1,Delegate/Sigmoid (NC):41
Multiply (ND),0.135,0.13308,0.0381596%,48.787%,0,1,Delegate/Multiply (ND):42
"Fully Connected (NC, F32) GEMM",1.181,1.15042,0.329874%,49.1168%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:43
"Transpose (ND, X32) Transpose",0.545,0.54994,0.157691%,49.2745%,0,1,Delegate/Transpose (ND	 X32) Transpose:44
Static Reshape (NC),0.002,0.00236,0.000676711%,49.2752%,0,1,Delegate/Static Reshape (NC):45
