Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,92.431,92.431,37.5863%,37.5863%,45200,1,ModifyGraphWithDelegate/0
AllocateTensors,153.486,153.486,62.4137%,100%,7976,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
AllocateTensors,153.486,153.486,62.4137%,62.4137%,7976,1,AllocateTensors/0
ModifyGraphWithDelegate,92.431,92.431,37.5863%,100%,45200,1,ModifyGraphWithDelegate/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
AllocateTensors,1,153.486,62.4137%,62.4137%,7976,1
ModifyGraphWithDelegate,1,92.431,37.5863%,100%,45200,1

Timings (microseconds): count=1 curr=245917
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",1.878,1.89078,1.52058%,1.52058%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
"Convolution (NHWC, F32) IGEMM",3.188,3.1698,2.54918%,4.06977%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:1
"Convolution (NHWC, F32) DWConv",0.661,0.72648,0.584242%,4.65401%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:2
"Fully Connected (NC, F32) GEMM",2.671,2.6458,2.12778%,6.78179%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:3
GELU (NC),1.642,1.69928,1.36658%,8.14837%,0,1,Delegate/GELU (NC):4
"Fully Connected (NC, F32) GEMM",3.636,3.6348,2.92314%,11.0715%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:5
Add (ND),0.396,0.4085,0.32852%,11.4%,0,1,Delegate/Add (ND):6
"Convolution (NHWC, F32) DWConv",0.634,0.62678,0.504063%,11.9041%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:7
"Fully Connected (NC, F32) GEMM",2.726,2.72178,2.18888%,14.093%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:8
GELU (NC),1.65,1.71054,1.37563%,15.4686%,0,1,Delegate/GELU (NC):9
"Fully Connected (NC, F32) GEMM",3.613,3.63582,2.92396%,18.3926%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:10
Add (ND),0.428,0.43966,0.353579%,18.7461%,0,1,Delegate/Add (ND):11
"Convolution (NHWC, F32) DWConv",0.638,0.64106,0.515547%,19.2617%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:12
"Fully Connected (NC, F32) GEMM",0.694,0.66782,0.537067%,19.7988%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:13
GELU (NC),0.432,0.42984,0.345681%,20.1444%,0,1,Delegate/GELU (NC):14
"Fully Connected (NC, F32) GEMM",0.602,0.61154,0.491806%,20.6362%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:15
Add (ND),0.406,0.43146,0.346984%,20.9832%,0,1,Delegate/Add (ND):16
"Transpose (ND, X32) Transpose",0.497,0.5015,0.403311%,21.3865%,0,1,Delegate/Transpose (ND	 X32) Transpose:17
Static Reshape (NC),0.28,0.28368,0.228138%,21.6147%,0,1,Delegate/Static Reshape (NC):18
