Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,54.77,54.77,31.8227%,31.8227%,25564,1,ModifyGraphWithDelegate/0
AllocateTensors,117.34,117.34,68.1773%,100%,7976,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
AllocateTensors,117.34,117.34,68.1773%,68.1773%,7976,1,AllocateTensors/0
ModifyGraphWithDelegate,54.77,54.77,31.8227%,100%,25564,1,ModifyGraphWithDelegate/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
AllocateTensors,1,117.34,68.1773%,68.1773%,7976,1
ModifyGraphWithDelegate,1,54.77,31.8227%,100%,25564,1

Timings (microseconds): count=1 curr=172110
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",2.661,1.90026,2.24267%,2.24267%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
"Convolution (NHWC, F32) IGEMM",4.58,3.22416,3.80513%,6.0478%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:1
"Convolution (NHWC, F32) DWConv",0.696,0.69782,0.823562%,6.87136%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:2
"Fully Connected (NC, F32) GEMM",2.671,2.65126,3.129%,10.0004%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:3
GELU (NC),1.715,1.7061,2.01353%,12.0139%,0,1,Delegate/GELU (NC):4
"Fully Connected (NC, F32) GEMM",3.604,3.68578,4.34993%,16.3638%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:5
Add (ND),0.408,0.40956,0.48336%,16.8472%,0,1,Delegate/Add (ND):6
"Convolution (NHWC, F32) DWConv",0.636,0.63464,0.748997%,17.5962%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:7
"Fully Connected (NC, F32) GEMM",2.741,2.7095,3.19773%,20.7939%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:8
GELU (NC),1.649,1.68344,1.98678%,22.7807%,0,1,Delegate/GELU (NC):9
"Fully Connected (NC, F32) GEMM",3.603,3.61654,4.26821%,27.0489%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:10
Add (ND),0.437,0.43802,0.516948%,27.5659%,0,1,Delegate/Add (ND):11
"Convolution (NHWC, F32) DWConv",0.641,0.62496,0.737573%,28.3034%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:12
"Fully Connected (NC, F32) GEMM",0.675,0.69842,0.82427%,29.1277%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:13
GELU (NC),0.395,0.45616,0.538357%,29.6661%,0,1,Delegate/GELU (NC):14
"Fully Connected (NC, F32) GEMM",0.585,0.63888,0.754001%,30.4201%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:15
Add (ND),0.447,0.41918,0.494713%,30.9148%,0,1,Delegate/Add (ND):16
"Transpose (ND, X32) Transpose",0.519,0.5002,0.590332%,31.5051%,0,1,Delegate/Transpose (ND	 X32) Transpose:17
Static Reshape (NC),0.273,0.26424,0.311854%,31.817%,0,1,Delegate/Static Reshape (NC):18
"Transpose (ND, X32) Transpose",0.753,0.79542,0.938749%,32.7557%,0,1,Delegate/Transpose (ND	 X32) Transpose:19
"Fully Connected (NC, F32) GEMM",0.646,0.61868,0.730161%,33.4859%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:20
Abs (NC),0.19,0.19342,0.228273%,33.7141%,0,1,Delegate/Abs (NC):21
Multiply (ND),0.176,0.18348,0.216542%,33.9307%,0,1,Delegate/Multiply (ND):22
Sum (ND) Reduce,0.143,0.14456,0.170609%,34.1013%,0,1,Delegate/Sum (ND) Reduce:23
Square Root (NC),0.071,0.00956,0.0112826%,34.1126%,0,1,Delegate/Square Root (NC):24
Maximum (ND),0.015,0.03194,0.0376953%,34.1503%,0,1,Delegate/Maximum (ND):25
Static Reshape (NC),0.001,0.00072,0.000849739%,34.1511%,0,1,Delegate/Static Reshape (NC):26
Divide (ND),0.225,0.22812,0.269226%,34.4203%,0,1,Delegate/Divide (ND):27
"Fully Connected (NC, F32) GEMM",0.639,0.65422,0.772106%,35.1924%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:28
Abs (NC),0.207,0.19646,0.231861%,35.4243%,0,1,Delegate/Abs (NC):29
Multiply (ND),0.113,0.10422,0.123%,35.5473%,0,1,Delegate/Multiply (ND):30
Sum (ND) Reduce,0.129,0.13606,0.160577%,35.7079%,0,1,Delegate/Sum (ND) Reduce:31
Square Root (NC),0.008,0.00728,0.0085918%,35.7165%,0,1,Delegate/Square Root (NC):32
Maximum (ND),0.048,0.01406,0.0165935%,35.7331%,0,1,Delegate/Maximum (ND):33
Static Reshape (NC),0.001,0.0003,0.000354058%,35.7334%,0,1,Delegate/Static Reshape (NC):34
Divide (ND),0.206,0.1925,0.227187%,35.9606%,0,1,Delegate/Divide (ND):35
"Fully Connected (NC, F32) GEMM",0.195,0.19876,0.234575%,36.1952%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:36
Abs (NC),0.009,0.01418,0.0167351%,36.2119%,0,1,Delegate/Abs (NC):37
Multiply (ND),0.005,0.02084,0.0245952%,36.2365%,0,1,Delegate/Multiply (ND):38
Sum (ND) Reduce,0.023,0.02352,0.0277581%,36.2643%,0,1,Delegate/Sum (ND) Reduce:39
Square Root (NC),0.004,0.00322,0.00380022%,36.2681%,0,1,Delegate/Square Root (NC):40
Static Reshape (NC),0.001,0.00082,0.000967758%,36.269%,0,1,Delegate/Static Reshape (NC):41
Maximum (ND),0.002,0.0025,0.00295048%,36.272%,0,1,Delegate/Maximum (ND):42
Divide (ND),0.061,0.04918,0.0580419%,36.33%,0,1,Delegate/Divide (ND):43
Multiply (ND),0.247,0.24778,0.292428%,36.6225%,0,1,Delegate/Multiply (ND):44
Sum (ND) Reduce,0.374,0.3851,0.454492%,37.077%,0,1,Delegate/Sum (ND) Reduce:45
Multiply (ND),0.212,0.2157,0.254568%,37.3315%,0,1,Delegate/Multiply (ND):46
Static Reshape (NC),0.001,0.0013,0.00153425%,37.3331%,0,1,Delegate/Static Reshape (NC):47
"Fully Connected (NC, F32) GEMM",0.647,0.62354,0.735897%,38.069%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:48
Add (ND),0.279,0.29114,0.343601%,38.4126%,0,1,Delegate/Add (ND):49
"Fully Connected (NC, F32) GEMM",0.592,0.60268,0.711278%,39.1238%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:50
"Transpose (ND, X32) Transpose",0.297,0.3394,0.400557%,39.5244%,0,1,Delegate/Transpose (ND	 X32) Transpose:51
Static Reshape (NC),0.003,0.00156,0.0018411%,39.5262%,0,1,Delegate/Static Reshape (NC):52
Multiply (ND),0.161,0.13166,0.155384%,39.6816%,0,1,Delegate/Multiply (ND):53
Add (ND),0.391,0.39484,0.465987%,40.1476%,0,1,Delegate/Add (ND):54
Subtract (ND),0.257,0.24194,0.285536%,40.4331%,0,1,Delegate/Subtract (ND):55
Multiply (ND),0.147,0.15428,0.18208%,40.6152%,0,1,Delegate/Multiply (ND):56
Multiply (ND),0.082,0.07486,0.0883492%,40.7036%,0,1,Delegate/Multiply (ND):57
Add (ND),0.062,0.05548,0.0654771%,40.769%,0,1,Delegate/Add (ND):58
"Transpose (ND, X32) Transpose",0.479,0.48488,0.572252%,41.3413%,0,1,Delegate/Transpose (ND	 X32) Transpose:59
"Fully Connected (NC, F32) GEMM",2.701,2.7811,3.28223%,44.6235%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:60
GELU (NC),1.653,1.70212,2.00883%,46.6324%,0,1,Delegate/GELU (NC):61
"Fully Connected (NC, F32) GEMM",4.299,3.61782,4.26972%,50.9021%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:62
"Transpose (ND, X32) Transpose",0.56,0.56426,0.665935%,51.568%,0,1,Delegate/Transpose (ND	 X32) Transpose:63
Add (ND),0.351,0.35008,0.413162%,51.9812%,0,1,Delegate/Add (ND):64
"Transpose (ND, X32) Transpose",0.644,0.6307,0.744347%,52.7255%,0,1,Delegate/Transpose (ND	 X32) Transpose:65
"Convolution (NHWC, F32) IGEMM",1.646,1.65604,1.95445%,54.68%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:66
"Convolution (NHWC, F32) DWConv",0.207,0.19878,0.234599%,54.9146%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:67
"Fully Connected (NC, F32) GEMM",0.826,0.79554,0.93889%,55.8535%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:68
GELU (NC),0.466,0.48754,0.575391%,56.4289%,0,1,Delegate/GELU (NC):69
"Fully Connected (NC, F32) GEMM",0.8,0.80322,0.947954%,57.3768%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:70
Add (ND),0.099,0.10352,0.122174%,57.499%,0,1,Delegate/Add (ND):71
"Convolution (NHWC, F32) DWConv",0.23,0.22288,0.263041%,57.762%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:72
"Fully Connected (NC, F32) GEMM",0.786,0.8712,1.02818%,58.7902%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:73
GELU (NC),0.462,0.48252,0.569466%,59.3597%,0,1,Delegate/GELU (NC):74
"Fully Connected (NC, F32) GEMM",0.79,0.81164,0.957891%,60.3176%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:75
Add (ND),0.152,0.116,0.136902%,60.4545%,0,1,Delegate/Add (ND):76
"Convolution (NHWC, F32) DWConv",0.239,0.22148,0.261389%,60.7159%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:77
"Fully Connected (NC, F32) GEMM",0.223,0.22352,0.263797%,60.9797%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:78
GELU (NC),0.125,0.12808,0.151159%,61.1308%,0,1,Delegate/GELU (NC):79
"Fully Connected (NC, F32) GEMM",0.195,0.20386,0.240594%,61.3714%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:80
Add (ND),0.031,0.0339,0.0400085%,61.4114%,0,1,Delegate/Add (ND):81
"Transpose (ND, X32) Transpose",0.055,0.08494,0.100246%,61.5117%,0,1,Delegate/Transpose (ND	 X32) Transpose:82
Static Reshape (NC),0.043,0.04328,0.0510787%,61.5627%,0,1,Delegate/Static Reshape (NC):83
"Transpose (ND, X32) Transpose",0.154,0.14702,0.173512%,61.7362%,0,1,Delegate/Transpose (ND	 X32) Transpose:84
"Fully Connected (NC, F32) GEMM",0.21,0.21504,0.253789%,61.99%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:85
Abs (NC),0.042,0.04494,0.0530379%,62.0431%,0,1,Delegate/Abs (NC):86
Multiply (ND),0.032,0.03408,0.040221%,62.0833%,0,1,Delegate/Multiply (ND):87
Sum (ND) Reduce,0.037,0.03894,0.0459567%,62.1293%,0,1,Delegate/Sum (ND) Reduce:88
Square Root (NC),0.004,0.00426,0.00502762%,62.1343%,0,1,Delegate/Square Root (NC):89
Maximum (ND),0.016,0.03154,0.0372233%,62.1715%,0,1,Delegate/Maximum (ND):90
Static Reshape (NC),0.001,0.00098,0.00115659%,62.1727%,0,1,Delegate/Static Reshape (NC):91
Divide (ND),0.043,0.04752,0.0560827%,62.2287%,0,1,Delegate/Divide (ND):92
"Fully Connected (NC, F32) GEMM",0.197,0.19996,0.235991%,62.4647%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:93
Abs (NC),0.025,0.02736,0.0322901%,62.497%,0,1,Delegate/Abs (NC):94
Multiply (ND),0.021,0.02114,0.0249493%,62.522%,0,1,Delegate/Multiply (ND):95
Sum (ND) Reduce,0.032,0.03192,0.0376717%,62.5596%,0,1,Delegate/Sum (ND) Reduce:96
Square Root (NC),0.003,0.00394,0.00464996%,62.5643%,0,1,Delegate/Square Root (NC):97
Maximum (ND),0.028,0.01802,0.0212671%,62.5856%,0,1,Delegate/Maximum (ND):98
Static Reshape (NC),0.001,0.00096,0.00113298%,62.5867%,0,1,Delegate/Static Reshape (NC):99
Divide (ND),0.048,0.04506,0.0531795%,62.6399%,0,1,Delegate/Divide (ND):100
"Fully Connected (NC, F32) GEMM",0.034,0.03548,0.0418732%,62.6817%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:101
Abs (NC),0.002,0.00212,0.00250201%,62.6842%,0,1,Delegate/Abs (NC):102
Multiply (ND),0.022,0.02102,0.0248076%,62.7091%,0,1,Delegate/Multiply (ND):103
Sum (ND) Reduce,0.01,0.01008,0.0118963%,62.721%,0,1,Delegate/Sum (ND) Reduce:104
Square Root (NC),0.001,0.001,0.00118019%,62.7221%,0,1,Delegate/Square Root (NC):105
Static Reshape (NC),0,0.00062,0.000731719%,62.7229%,0,1,Delegate/Static Reshape (NC):106
Maximum (ND),0.002,0.002,0.00236038%,62.7252%,0,1,Delegate/Maximum (ND):107
Divide (ND),0.014,0.0138,0.0162867%,62.7415%,0,1,Delegate/Divide (ND):108
Multiply (ND),0.027,0.02704,0.0319124%,62.7734%,0,1,Delegate/Multiply (ND):109
Sum (ND) Reduce,0.084,0.08486,0.100151%,62.8736%,0,1,Delegate/Sum (ND) Reduce:110
Multiply (ND),0.033,0.03408,0.040221%,62.9138%,0,1,Delegate/Multiply (ND):111
Static Reshape (NC),0,0.00042,0.000495681%,62.9143%,0,1,Delegate/Static Reshape (NC):112
"Fully Connected (NC, F32) GEMM",0.194,0.19732,0.232876%,63.1472%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:113
Add (ND),0.033,0.03464,0.0408819%,63.188%,0,1,Delegate/Add (ND):114
"Fully Connected (NC, F32) GEMM",0.194,0.19856,0.234339%,63.4224%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:115
"Transpose (ND, X32) Transpose",0.054,0.056,0.0660908%,63.4885%,0,1,Delegate/Transpose (ND	 X32) Transpose:116
Static Reshape (NC),0,0,0%,63.4885%,0,1,Delegate/Static Reshape (NC):117
Multiply (ND),0.023,0.02126,0.0250909%,63.5136%,0,1,Delegate/Multiply (ND):118
Add (ND),0.065,0.0671,0.0791909%,63.5928%,0,1,Delegate/Add (ND):119
Subtract (ND),0.054,0.0543,0.0640845%,63.6568%,0,1,Delegate/Subtract (ND):120
Multiply (ND),0.027,0.02826,0.0333522%,63.6902%,0,1,Delegate/Multiply (ND):121
Multiply (ND),0.019,0.01996,0.0235566%,63.7138%,0,1,Delegate/Multiply (ND):122
Add (ND),0.018,0.01874,0.0221168%,63.7359%,0,1,Delegate/Add (ND):123
"Transpose (ND, X32) Transpose",0.082,0.081,0.0955956%,63.8315%,0,1,Delegate/Transpose (ND	 X32) Transpose:124
"Fully Connected (NC, F32) GEMM",0.799,0.81542,0.962353%,64.7938%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:125
GELU (NC),0.531,0.50314,0.593802%,65.3876%,0,1,Delegate/GELU (NC):126
"Fully Connected (NC, F32) GEMM",0.865,0.84612,0.998584%,66.3862%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:127
"Transpose (ND, X32) Transpose",0.128,0.12334,0.145565%,66.5318%,0,1,Delegate/Transpose (ND	 X32) Transpose:128
Add (ND),0.103,0.11566,0.136501%,66.6683%,0,1,Delegate/Add (ND):129
"Transpose (ND, X32) Transpose",0.09,0.10316,0.121749%,66.79%,0,1,Delegate/Transpose (ND	 X32) Transpose:130
"Convolution (NHWC, F32) IGEMM",1.022,1.02892,1.21432%,68.0043%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:131
"Convolution (NHWC, F32) DWConv",0.095,0.09632,0.113676%,68.118%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:132
"Fully Connected (NC, F32) GEMM",0.775,0.78542,0.926947%,69.045%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:133
GELU (NC),0.272,0.24326,0.287094%,69.3321%,0,1,Delegate/GELU (NC):134
"Fully Connected (NC, F32) GEMM",0.912,0.8931,1.05403%,70.3861%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:135
Add (ND),0.046,0.04554,0.053746%,70.4398%,0,1,Delegate/Add (ND):136
"Convolution (NHWC, F32) DWConv",0.09,0.09402,0.110962%,70.5508%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:137
