Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,266.169,266.169,78.282%,78.282%,170628,1,ModifyGraphWithDelegate/0
AllocateTensors,73.844,73.844,21.718%,100%,2984,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,266.169,266.169,78.282%,78.282%,170628,1,ModifyGraphWithDelegate/0
AllocateTensors,73.844,73.844,21.718%,100%,2984,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,266.169,78.282%,78.282%,170628,1
AllocateTensors,1,73.844,21.718%,100%,2984,1

Timings (microseconds): count=1 curr=340013
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",13.344,13.3642,2.72105%,2.72105%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
"Transpose (ND, X32) Transpose",0.386,0.38354,0.0780915%,2.79915%,0,1,Delegate/Transpose (ND	 X32) Transpose:1
Static Reshape (NC),0.001,0.00136,0.000276906%,2.79942%,0,1,Delegate/Static Reshape (NC):2
"Transpose (ND, X32) Transpose",0.239,0.25158,0.0512235%,2.85065%,0,1,Delegate/Transpose (ND	 X32) Transpose:3
"Copy (NC, X32)",0.062,0.0642,0.0130716%,2.86372%,0,1,Delegate/Copy (NC	 X32):4
Add (ND),0.157,0.15704,0.0319745%,2.89569%,0,1,Delegate/Add (ND):5
Mean (ND) Reduce,0.065,0.07074,0.0144032%,2.9101%,0,1,Delegate/Mean (ND) Reduce:6
Static Reshape (NC),0.002,0.00264,0.000537523%,2.91063%,0,1,Delegate/Static Reshape (NC):7
Squared Difference (ND),0.086,0.0888,0.0180803%,2.92871%,0,1,Delegate/Squared Difference (ND):8
Mean (ND) Reduce,0.069,0.07196,0.0146516%,2.94336%,0,1,Delegate/Mean (ND) Reduce:9
Add (ND),0.003,0.00636,0.00129494%,2.94466%,0,1,Delegate/Add (ND):10
Reciprocal Square Root (NC),0.005,0.00544,0.00110762%,2.94577%,0,1,Delegate/Reciprocal Square Root (NC):11
