Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,532.969,266.652,88.5054%,88.5054%,0,2,ModifyGraphWithDelegate/0
AllocateTensors,69.263,69.263,11.4946%,100%,13640,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,532.969,266.652,88.5054%,88.5054%,0,2,ModifyGraphWithDelegate/0
AllocateTensors,69.263,69.263,11.4946%,100%,13640,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,533.305,88.5054%,88.5054%,0,2
AllocateTensors,1,69.263,11.4946%,100%,13640,1

Timings (microseconds): count=1 curr=602568
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",4.408,4.45926,0.459404%,0.459404%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
Static Reshape (NC),0.307,0.32456,0.033437%,0.492841%,0,1,Delegate/Static Reshape (NC):1
Mean (ND) Reduce,0.173,0.1882,0.0193888%,0.51223%,0,1,Delegate/Mean (ND) Reduce:2
Static Reshape (NC),0.05,0.02688,0.00276925%,0.514999%,0,1,Delegate/Static Reshape (NC):3
Squared Difference (ND),0.228,0.23,0.0236952%,0.538695%,0,1,Delegate/Squared Difference (ND):4
Mean (ND) Reduce,0.228,0.27714,0.0285517%,0.567246%,0,1,Delegate/Mean (ND) Reduce:5
Add (ND),0.006,0.0362,0.00372942%,0.570976%,0,1,Delegate/Add (ND):6
Reciprocal Square Root (NC),0.02,0.02386,0.00245812%,0.573434%,0,1,Delegate/Reciprocal Square Root (NC):7
Multiply (ND),0.056,0.04262,0.00439082%,0.577825%,0,1,Delegate/Multiply (ND):8
Subtract (ND),0.018,0.0241,0.00248284%,0.580308%,0,1,Delegate/Subtract (ND):9
Static Reshape (NC),0.005,0.00828,0.000853027%,0.581161%,0,1,Delegate/Static Reshape (NC):10
Multiply (ND),0.255,0.2692,0.0277337%,0.608894%,0,1,Delegate/Multiply (ND):11
Static Reshape (NC),0.001,0.00102,0.000105083%,0.608999%,0,1,Delegate/Static Reshape (NC):12
Add (ND),0.123,0.13696,0.01411%,0.623109%,0,1,Delegate/Add (ND):13
Multiply (ND),0.211,0.20912,0.0215441%,0.644653%,0,1,Delegate/Multiply (ND):14
Static Reshape (NC),0.522,0.246,0.0506871%,0.69534%,0,2,Delegate/Static Reshape (NC):15
Mean (ND) Reduce,0.232,0.25546,0.0263181%,0.721659%,0,1,Delegate/Mean (ND) Reduce:16
Static Reshape (NC),0.07,0.01984,0.00204397%,0.723703%,0,1,Delegate/Static Reshape (NC):17
Squared Difference (ND),0.292,0.28864,0.0297364%,0.753439%,0,1,Delegate/Squared Difference (ND):18
Mean (ND) Reduce,0.183,0.11788,0.0242886%,0.777728%,0,2,Delegate/Mean (ND) Reduce:19
Add (ND),0.006,0.03814,0.00392928%,0.781657%,0,1,Delegate/Add (ND):20
Reciprocal Square Root (NC),0.02,0.0264,0.0027198%,0.784377%,0,1,Delegate/Reciprocal Square Root (NC):21
Multiply (ND),0.048,0.04522,0.00465868%,0.789035%,0,1,Delegate/Multiply (ND):22
Subtract (ND),0.043,0.0253,0.00260647%,0.791642%,0,1,Delegate/Subtract (ND):23
Static Reshape (NC),0.02,0.01026,0.00105701%,0.792699%,0,1,Delegate/Static Reshape (NC):24
Multiply (ND),0.323,0.15391,0.0317124%,0.824411%,0,2,Delegate/Multiply (ND):25
Static Reshape (NC),0.001,0.00114,0.000117446%,0.824529%,0,1,Delegate/Static Reshape (NC):26
Add (ND),0.185,0.18956,0.019529%,0.844058%,0,1,Delegate/Add (ND):27
Multiply (ND),0.125,0.08056,0.016599%,0.860657%,0,2,Delegate/Multiply (ND):28
Static Reshape (NC),0,0.00058,0.000119506%,0.860776%,0,2,Delegate/Static Reshape (NC):29
"Fully Connected (NC, F32) GEMM",2.251,2.44834,0.252234%,1.11301%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:30
Multiply (ND),0.844,0.43242,0.089098%,1.20211%,0,2,Delegate/Multiply (ND):31
Multiply (ND),0.938,0.88706,0.0913872%,1.2935%,0,1,Delegate/Multiply (ND):32
Add (ND),0.821,0.84378,0.0869284%,1.38042%,0,1,Delegate/Add (ND):33
"Convolution (NHWC, F32) IGEMM",85.685,86.4878,8.9102%,10.2906%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:34
"Fully Connected (NC, F32) GEMM",2.445,2.43142,0.250491%,10.5411%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:35
Add (ND),0.595,0.62036,0.0639111%,10.605%,0,1,Delegate/Add (ND):36
Static Reshape (NC),0.333,0.31574,0.0325283%,10.6376%,0,1,Delegate/Static Reshape (NC):37
Mean (ND) Reduce,0.202,0.21284,0.0219273%,10.6595%,0,1,Delegate/Mean (ND) Reduce:38
Static Reshape (NC),0.009,0.02338,0.00240867%,10.6619%,0,1,Delegate/Static Reshape (NC):39
Squared Difference (ND),0.266,0.27418,0.0282467%,10.6901%,0,1,Delegate/Squared Difference (ND):40
Mean (ND) Reduce,0.235,0.23492,0.0242021%,10.7143%,0,1,Delegate/Mean (ND) Reduce:41
Add (ND),0.009,0.01162,0.00119712%,10.7155%,0,1,Delegate/Add (ND):42
Reciprocal Square Root (NC),0.023,0.0235,0.00242103%,10.718%,0,1,Delegate/Reciprocal Square Root (NC):43
Multiply (ND),0.019,0.0359,0.00369851%,10.7217%,0,1,Delegate/Multiply (ND):44
Subtract (ND),0.042,0.02184,0.00225001%,10.7239%,0,1,Delegate/Subtract (ND):45
Static Reshape (NC),0.018,0.00858,0.000883934%,10.7248%,0,1,Delegate/Static Reshape (NC):46
Multiply (ND),0.315,0.3477,0.0358209%,10.7606%,0,1,Delegate/Multiply (ND):47
Static Reshape (NC),0.001,0.00112,0.000115385%,10.7607%,0,1,Delegate/Static Reshape (NC):48
Add (ND),0.167,0.17254,0.0177755%,10.7785%,0,1,Delegate/Add (ND):49
Multiply (ND),0.174,0.14174,0.0146024%,10.7931%,0,1,Delegate/Multiply (ND):50
Static Reshape (NC),0.001,0.00072,7.41762e-05%,10.7932%,0,1,Delegate/Static Reshape (NC):51
"Fully Connected (NC, F32) GEMM",4.724,4.74464,0.488805%,11.282%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:52
Multiply (ND),1.563,1.56,0.160715%,11.4427%,0,1,Delegate/Multiply (ND):53
"Fully Connected (NC, F32) GEMM",5.948,5.90452,0.608299%,12.051%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:54
Add (ND),0.609,0.61506,0.0633651%,12.1144%,0,1,Delegate/Add (ND):55
Static Reshape (NC),0.273,0.2928,0.030165%,12.1445%,0,1,Delegate/Static Reshape (NC):56
Mean (ND) Reduce,0.203,0.1945,0.0200379%,12.1646%,0,1,Delegate/Mean (ND) Reduce:57
Static Reshape (NC),0.01,0.02388,0.00246018%,12.167%,0,1,Delegate/Static Reshape (NC):58
Squared Difference (ND),0.232,0.2577,0.0265489%,12.1936%,0,1,Delegate/Squared Difference (ND):59
Mean (ND) Reduce,0.207,0.23524,0.024235%,12.2178%,0,1,Delegate/Mean (ND) Reduce:60
Add (ND),0.006,0.01082,0.0011147%,12.2189%,0,1,Delegate/Add (ND):61
Reciprocal Square Root (NC),0.02,0.02146,0.00221086%,12.2211%,0,1,Delegate/Reciprocal Square Root (NC):62
Multiply (ND),0.063,0.03932,0.00405085%,12.2252%,0,1,Delegate/Multiply (ND):63
Subtract (ND),0.023,0.02036,0.00209754%,12.2273%,0,1,Delegate/Subtract (ND):64
Static Reshape (NC),0.006,0.00796,0.00082006%,12.2281%,0,1,Delegate/Static Reshape (NC):65
Multiply (ND),0.328,0.33676,0.0346939%,12.2628%,0,1,Delegate/Multiply (ND):66
Static Reshape (NC),0.002,0.00168,0.000173078%,12.263%,0,1,Delegate/Static Reshape (NC):67
Add (ND),0.221,0.18648,0.0192116%,12.2822%,0,1,Delegate/Add (ND):68
Multiply (ND),0.157,0.14332,0.0147652%,12.2969%,0,1,Delegate/Multiply (ND):69
Static Reshape (NC),0.001,0.00078,8.03576e-05%,12.297%,0,1,Delegate/Static Reshape (NC):70
"Fully Connected (NC, F32) GEMM",2.305,2.32608,0.239639%,12.5367%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:71
Multiply (ND),0.803,0.85114,0.0876866%,12.6244%,0,1,Delegate/Multiply (ND):72
Multiply (ND),0.842,0.88214,0.0908803%,12.7152%,0,1,Delegate/Multiply (ND):73
Add (ND),0.852,0.84346,0.0868954%,12.8021%,0,1,Delegate/Add (ND):74
"Convolution (NHWC, F32) IGEMM",84.372,85.4992,8.80835%,21.6105%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:75
"Fully Connected (NC, F32) GEMM",2.352,2.54456,0.262147%,21.8726%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:76
Add (ND),0.584,0.65366,0.0673417%,21.94%,0,1,Delegate/Add (ND):77
Static Reshape (NC),0.29,0.30344,0.0312612%,21.9712%,0,1,Delegate/Static Reshape (NC):78
Mean (ND) Reduce,0.221,0.21282,0.0219253%,21.9932%,0,1,Delegate/Mean (ND) Reduce:79
Static Reshape (NC),0.009,0.0196,0.00201924%,21.9952%,0,1,Delegate/Static Reshape (NC):80
Squared Difference (ND),0.254,0.26962,0.0277769%,22.0229%,0,1,Delegate/Squared Difference (ND):81
Mean (ND) Reduce,0.237,0.31,0.031937%,22.0549%,0,1,Delegate/Mean (ND) Reduce:82
Add (ND),0.007,0.01272,0.00131045%,22.0562%,0,1,Delegate/Add (ND):83
Reciprocal Square Root (NC),0.02,0.02346,0.00241691%,22.0586%,0,1,Delegate/Reciprocal Square Root (NC):84
Multiply (ND),0.052,0.04392,0.00452475%,22.0631%,0,1,Delegate/Multiply (ND):85
Subtract (ND),0.02,0.02078,0.00214081%,22.0653%,0,1,Delegate/Subtract (ND):86
Static Reshape (NC),0.006,0.00822,0.000846845%,22.0661%,0,1,Delegate/Static Reshape (NC):87
Multiply (ND),0.338,0.3403,0.0350586%,22.1012%,0,1,Delegate/Multiply (ND):88
Static Reshape (NC),0.001,0.0012,0.000123627%,22.1013%,0,1,Delegate/Static Reshape (NC):89
Add (ND),0.172,0.17714,0.0182494%,22.1196%,0,1,Delegate/Add (ND):90
Multiply (ND),0.136,0.13464,0.013871%,22.1334%,0,1,Delegate/Multiply (ND):91
Static Reshape (NC),0.001,0.00096,9.89017e-05%,22.1335%,0,1,Delegate/Static Reshape (NC):92
"Fully Connected (NC, F32) GEMM",4.672,4.73078,0.487377%,22.6209%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:93
Multiply (ND),1.462,1.5176,0.156347%,22.7773%,0,1,Delegate/Multiply (ND):94
"Fully Connected (NC, F32) GEMM",5.886,5.91818,0.609706%,23.387%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:95
Add (ND),0.577,0.61462,0.0633197%,23.4503%,0,1,Delegate/Add (ND):96
Static Reshape (NC),0.261,0.28646,0.0295118%,23.4798%,0,1,Delegate/Static Reshape (NC):97
Mean (ND) Reduce,0.204,0.19596,0.0201883%,23.5%,0,1,Delegate/Mean (ND) Reduce:98
Static Reshape (NC),0.044,0.02768,0.00285166%,23.5028%,0,1,Delegate/Static Reshape (NC):99
Squared Difference (ND),0.264,0.26848,0.0276595%,23.5305%,0,1,Delegate/Squared Difference (ND):100
Mean (ND) Reduce,0.256,0.23304,0.0240084%,23.5545%,0,1,Delegate/Mean (ND) Reduce:101
Add (ND),0.009,0.01154,0.00118888%,23.5557%,0,1,Delegate/Add (ND):102
Reciprocal Square Root (NC),0.02,0.02184,0.00225001%,23.5579%,0,1,Delegate/Reciprocal Square Root (NC):103
Multiply (ND),0.014,0.0342,0.00352337%,23.5615%,0,1,Delegate/Multiply (ND):104
Subtract (ND),0.013,0.02058,0.0021202%,23.5636%,0,1,Delegate/Subtract (ND):105
Static Reshape (NC),0.033,0.0106,0.00109204%,23.5647%,0,1,Delegate/Static Reshape (NC):106
Multiply (ND),0.332,0.34006,0.0350339%,23.5997%,0,1,Delegate/Multiply (ND):107
Static Reshape (NC),0.001,0.00108,0.000111264%,23.5998%,0,1,Delegate/Static Reshape (NC):108
Add (ND),0.17,0.18246,0.0187975%,23.6186%,0,1,Delegate/Add (ND):109
Multiply (ND),0.174,0.13376,0.0137803%,23.6324%,0,1,Delegate/Multiply (ND):110
Static Reshape (NC),0.001,0.00106,0.000109204%,23.6325%,0,1,Delegate/Static Reshape (NC):111
"Fully Connected (NC, F32) GEMM",2.343,2.30634,0.237605%,23.8701%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:112
Multiply (ND),0.837,0.85082,0.0876537%,23.9578%,0,1,Delegate/Multiply (ND):113
Multiply (ND),0.846,0.91214,0.093971%,24.0517%,0,1,Delegate/Multiply (ND):114
Add (ND),0.759,0.82998,0.0855067%,24.1372%,0,1,Delegate/Add (ND):115
"Convolution (NHWC, F32) IGEMM",83.836,84.3308,8.68797%,32.8252%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:116
"Fully Connected (NC, F32) GEMM",2.401,2.4005,0.247306%,33.0725%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:117
Add (ND),0.611,0.6082,0.0626583%,33.1352%,0,1,Delegate/Add (ND):118
Static Reshape (NC),0.321,0.3305,0.034049%,33.1692%,0,1,Delegate/Static Reshape (NC):119
Mean (ND) Reduce,0.199,0.20466,0.0210846%,33.1903%,0,1,Delegate/Mean (ND) Reduce:120
Static Reshape (NC),0.031,0.0166,0.00171017%,33.192%,0,1,Delegate/Static Reshape (NC):121
Squared Difference (ND),0.282,0.2718,0.0280015%,33.22%,0,1,Delegate/Squared Difference (ND):122
Mean (ND) Reduce,0.226,0.22884,0.0235757%,33.2436%,0,1,Delegate/Mean (ND) Reduce:123
Add (ND),0.007,0.01096,0.00112913%,33.2447%,0,1,Delegate/Add (ND):124
Reciprocal Square Root (NC),0.022,0.02144,0.0022088%,33.2469%,0,1,Delegate/Reciprocal Square Root (NC):125
Multiply (ND),0.019,0.03688,0.00379947%,33.2507%,0,1,Delegate/Multiply (ND):126
Subtract (ND),0.015,0.02326,0.0023963%,33.2531%,0,1,Delegate/Subtract (ND):127
Static Reshape (NC),0.029,0.0101,0.00104053%,33.2542%,0,1,Delegate/Static Reshape (NC):128
Multiply (ND),0.35,0.33456,0.0344672%,33.2886%,0,1,Delegate/Multiply (ND):129
Static Reshape (NC),0.001,0.0011,0.000113325%,33.2888%,0,1,Delegate/Static Reshape (NC):130
Add (ND),0.165,0.1779,0.0183277%,33.3071%,0,1,Delegate/Add (ND):131
Multiply (ND),0.138,0.13982,0.0144046%,33.3215%,0,1,Delegate/Multiply (ND):132
Static Reshape (NC),0,0.00014,1.44232e-05%,33.3215%,0,1,Delegate/Static Reshape (NC):133
"Fully Connected (NC, F32) GEMM",4.681,4.71352,0.485599%,33.8071%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:134
Multiply (ND),1.476,1.54496,0.159166%,33.9663%,0,1,Delegate/Multiply (ND):135
"Fully Connected (NC, F32) GEMM",5.86,5.90076,0.607911%,34.5742%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:136
Add (ND),0.479,0.5298,0.0545814%,34.6288%,0,1,Delegate/Add (ND):137
Static Reshape (NC),0.293,0.30652,0.0315785%,34.6603%,0,1,Delegate/Static Reshape (NC):138
Mean (ND) Reduce,0.198,0.20728,0.0213545%,34.6817%,0,1,Delegate/Mean (ND) Reduce:139
Static Reshape (NC),0.009,0.02562,0.00263944%,34.6843%,0,1,Delegate/Static Reshape (NC):140
Squared Difference (ND),0.264,0.26094,0.0268827%,34.7112%,0,1,Delegate/Squared Difference (ND):141
Mean (ND) Reduce,0.208,0.21412,0.0220592%,34.7333%,0,1,Delegate/Mean (ND) Reduce:142
Add (ND),0.007,0.00978,0.00100756%,34.7343%,0,1,Delegate/Add (ND):143
Reciprocal Square Root (NC),0.02,0.02322,0.00239218%,34.7367%,0,1,Delegate/Reciprocal Square Root (NC):144
Multiply (ND),0.051,0.04326,0.00445676%,34.7411%,0,1,Delegate/Multiply (ND):145
Subtract (ND),0.019,0.02206,0.00227268%,34.7434%,0,1,Delegate/Subtract (ND):146
Static Reshape (NC),0.004,0.00758,0.000780911%,34.7442%,0,1,Delegate/Static Reshape (NC):147
Multiply (ND),0.248,0.2586,0.0266416%,34.7708%,0,1,Delegate/Multiply (ND):148
Static Reshape (NC),0.001,0.0009,9.27203e-05%,34.7709%,0,1,Delegate/Static Reshape (NC):149
Add (ND),0.108,0.12514,0.0128922%,34.7838%,0,1,Delegate/Add (ND):150
Multiply (ND),0.121,0.12844,0.0132322%,34.797%,0,1,Delegate/Multiply (ND):151
Static Reshape (NC),0.001,0.00108,0.000111264%,34.7971%,0,1,Delegate/Static Reshape (NC):152
"Convolution (NHWC, F32) IGEMM",4.68,4.7237,0.486648%,35.2838%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:153
Static Reshape (NC),0.176,0.17366,0.0178909%,35.3017%,0,1,Delegate/Static Reshape (NC):154
Mean (ND) Reduce,0.074,0.08124,0.00836955%,35.3101%,0,1,Delegate/Mean (ND) Reduce:155
Static Reshape (NC),0.003,0.00324,0.000333793%,35.3104%,0,1,Delegate/Static Reshape (NC):156
Squared Difference (ND),0.101,0.1002,0.0103229%,35.3207%,0,1,Delegate/Squared Difference (ND):157
Mean (ND) Reduce,0.078,0.07712,0.0079451%,35.3287%,0,1,Delegate/Mean (ND) Reduce:158
Add (ND),0.005,0.00436,0.000449178%,35.3291%,0,1,Delegate/Add (ND):159
Reciprocal Square Root (NC),0.015,0.01506,0.00155152%,35.3307%,0,1,Delegate/Reciprocal Square Root (NC):160
Multiply (ND),0.015,0.01694,0.0017452%,35.3324%,0,1,Delegate/Multiply (ND):161
Subtract (ND),0.004,0.00512,0.000527475%,35.3329%,0,1,Delegate/Subtract (ND):162
Static Reshape (NC),0.002,0.00208,0.000214287%,35.3331%,0,1,Delegate/Static Reshape (NC):163
Multiply (ND),0.095,0.0955,0.00983865%,35.343%,0,1,Delegate/Multiply (ND):164
Static Reshape (NC),0.001,0.00102,0.000105083%,35.3431%,0,1,Delegate/Static Reshape (NC):165
Add (ND),0.08,0.08884,0.00915252%,35.3522%,0,1,Delegate/Add (ND):166
