Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,745.384,372.87,93.1965%,93.1965%,0,2,ModifyGraphWithDelegate/0
AllocateTensors,54.44,54.44,6.80348%,100%,17748,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,745.384,372.87,93.1965%,93.1965%,0,2,ModifyGraphWithDelegate/0
AllocateTensors,54.44,54.44,6.80348%,100%,17748,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,745.739,93.1965%,93.1965%,0,2
AllocateTensors,1,54.44,6.80348%,100%,17748,1

Timings (microseconds): count=1 curr=800179
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",2.41,2.269,0.16973%,0.16973%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
Static Reshape (NC),0.536,0.5241,0.0392047%,0.208935%,0,1,Delegate/Static Reshape (NC):1
Mean (ND) Reduce,0.263,0.2611,0.0195313%,0.228466%,0,1,Delegate/Mean (ND) Reduce:2
Static Reshape (NC),0.02,0.0209,0.0015634%,0.230029%,0,1,Delegate/Static Reshape (NC):3
Squared Difference (ND),0.431,0.4055,0.0303329%,0.260362%,0,1,Delegate/Squared Difference (ND):4
Mean (ND) Reduce,0.407,0.3723,0.0278495%,0.288212%,0,1,Delegate/Mean (ND) Reduce:5
Add (ND),0.045,0.0194,0.00145119%,0.289663%,0,1,Delegate/Add (ND):6
Reciprocal Square Root (NC),0.04,0.027,0.0020197%,0.291683%,0,1,Delegate/Reciprocal Square Root (NC):7
Multiply (ND),0.019,0.0401,0.00299963%,0.294682%,0,1,Delegate/Multiply (ND):8
Subtract (ND),0.005,0.0154,0.00115198%,0.295834%,0,1,Delegate/Subtract (ND):9
Static Reshape (NC),0.004,0.0039,0.000291735%,0.296126%,0,1,Delegate/Static Reshape (NC):10
Multiply (ND),0.452,0.4416,0.0330334%,0.329159%,0,1,Delegate/Multiply (ND):11
Static Reshape (NC),0.001,0.0013,9.7245e-05%,0.329257%,0,1,Delegate/Static Reshape (NC):12
Add (ND),0.346,0.3015,0.0225534%,0.35181%,0,1,Delegate/Add (ND):13
Multiply (ND),0.357,0.3308,0.0247451%,0.376555%,0,1,Delegate/Multiply (ND):14
Add (ND),0.297,0.2724,0.0203766%,0.396932%,0,1,Delegate/Add (ND):15
Static Reshape (NC),0.539,0.4766,0.0356515%,0.432583%,0,1,Delegate/Static Reshape (NC):16
"Convolution (NHWC, F32) IGEMM",59.053,57.8558,4.32783%,4.76042%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:17
Static Reshape (NC),0.533,0.4869,0.036422%,4.79684%,0,1,Delegate/Static Reshape (NC):18
Mean (ND) Reduce,0.29,0.2712,0.0202868%,4.81713%,0,1,Delegate/Mean (ND) Reduce:19
Static Reshape (NC),0.063,0.0445,0.00332877%,4.82046%,0,1,Delegate/Static Reshape (NC):20
Squared Difference (ND),0.501,0.4144,0.0309987%,4.85145%,0,1,Delegate/Squared Difference (ND):21
Mean (ND) Reduce,0.341,0.3451,0.0258148%,4.87727%,0,1,Delegate/Mean (ND) Reduce:22
Add (ND),0.011,0.0219,0.0016382%,4.87891%,0,1,Delegate/Add (ND):23
Reciprocal Square Root (NC),0.021,0.0257,0.00192246%,4.88083%,0,1,Delegate/Reciprocal Square Root (NC):24
Multiply (ND),0.017,0.0314,0.00234884%,4.88318%,0,1,Delegate/Multiply (ND):25
Subtract (ND),0.051,0.0165,0.00123426%,4.88441%,0,1,Delegate/Subtract (ND):26
Static Reshape (NC),0.016,0.0077,0.000575989%,4.88499%,0,1,Delegate/Static Reshape (NC):27
Multiply (ND),0.455,0.4308,0.0322255%,4.91721%,0,1,Delegate/Multiply (ND):28
Static Reshape (NC),0.002,0.0016,0.000119686%,4.91733%,0,1,Delegate/Static Reshape (NC):29
Add (ND),0.275,0.278,0.0207955%,4.93813%,0,1,Delegate/Add (ND):30
"Fully Connected (NC, F32) GEMM",10.622,10.427,0.779979%,5.71811%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:31
Static Reshape (NC),0.004,0.0035,0.000261813%,5.71837%,0,1,Delegate/Static Reshape (NC):32
GELU (NC),5.857,5.75,0.430122%,6.14849%,0,1,Delegate/GELU (NC):33
"Fully Connected (NC, F32) GEMM",9.278,9.108,0.681313%,6.82981%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:34
Add (ND),0.86,0.8637,0.0646081%,6.89441%,0,1,Delegate/Add (ND):35
"Convolution (NHWC, F32) IGEMM",58.507,57.6776,4.3145%,11.2089%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:36
Static Reshape (NC),0.479,0.4665,0.034896%,11.2438%,0,1,Delegate/Static Reshape (NC):37
Mean (ND) Reduce,0.261,0.325,0.0243112%,11.2681%,0,1,Delegate/Mean (ND) Reduce:38
Static Reshape (NC),0.008,0.0244,0.00182521%,11.27%,0,1,Delegate/Static Reshape (NC):39
Squared Difference (ND),0.43,0.3866,0.0289192%,11.2989%,0,1,Delegate/Squared Difference (ND):40
Mean (ND) Reduce,0.355,0.3545,0.026518%,11.3254%,0,1,Delegate/Mean (ND) Reduce:41
Add (ND),0.008,0.0235,0.00175789%,11.3271%,0,1,Delegate/Add (ND):42
Reciprocal Square Root (NC),0.02,0.0299,0.00223663%,11.3294%,0,1,Delegate/Reciprocal Square Root (NC):43
Multiply (ND),0.017,0.0314,0.00234884%,11.3317%,0,1,Delegate/Multiply (ND):44
Subtract (ND),0.028,0.0199,0.0014886%,11.3332%,0,1,Delegate/Subtract (ND):45
Static Reshape (NC),0.014,0.009,0.000673234%,11.3339%,0,1,Delegate/Static Reshape (NC):46
Multiply (ND),0.422,0.432,0.0323153%,11.3662%,0,1,Delegate/Multiply (ND):47
Static Reshape (NC),0.001,0.001,7.48038e-05%,11.3663%,0,1,Delegate/Static Reshape (NC):48
Add (ND),0.26,0.2723,0.0203691%,11.3867%,0,1,Delegate/Add (ND):49
"Fully Connected (NC, F32) GEMM",10.48,10.409,0.778633%,12.1653%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:50
Static Reshape (NC),0.003,0.0031,0.000231892%,12.1655%,0,1,Delegate/Static Reshape (NC):51
GELU (NC),5.686,5.7625,0.431057%,12.5966%,0,1,Delegate/GELU (NC):52
"Fully Connected (NC, F32) GEMM",9.218,9.1963,0.687918%,13.2845%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:53
Add (ND),0.929,0.8715,0.0651915%,13.3497%,0,1,Delegate/Add (ND):54
"Convolution (NHWC, F32) IGEMM",57.59,57.5386,4.30411%,17.6538%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:55
Static Reshape (NC),0.457,0.449,0.0335869%,17.6874%,0,1,Delegate/Static Reshape (NC):56
Mean (ND) Reduce,0.25,0.2519,0.0188431%,17.7062%,0,1,Delegate/Mean (ND) Reduce:57
Static Reshape (NC),0.008,0.0186,0.00139135%,17.7076%,0,1,Delegate/Static Reshape (NC):58
