Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,481.336,240.778,91.5596%,91.5596%,0,2,ModifyGraphWithDelegate/0
AllocateTensors,44.392,44.392,8.44038%,100%,16160,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,481.336,240.778,91.5596%,91.5596%,0,2,ModifyGraphWithDelegate/0
AllocateTensors,44.392,44.392,8.44038%,100%,16160,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,481.556,91.5596%,91.5596%,0,2
AllocateTensors,1,44.392,8.44038%,100%,16160,1

Timings (microseconds): count=1 curr=525948
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",2.294,2.27182,0.290083%,0.290083%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
Static Reshape (NC),0.502,0.53094,0.0677944%,0.357877%,0,1,Delegate/Static Reshape (NC):1
Mean (ND) Reduce,0.263,0.2714,0.0346544%,0.392532%,0,1,Delegate/Mean (ND) Reduce:2
Static Reshape (NC),0.008,0.01866,0.00238265%,0.394914%,0,1,Delegate/Static Reshape (NC):3
Squared Difference (ND),0.386,0.4168,0.0532201%,0.448135%,0,1,Delegate/Squared Difference (ND):4
Mean (ND) Reduce,0.346,0.37046,0.0473031%,0.495438%,0,1,Delegate/Mean (ND) Reduce:5
Add (ND),0.007,0.0199,0.00254098%,0.497979%,0,1,Delegate/Add (ND):6
Reciprocal Square Root (NC),0.02,0.02638,0.0033684%,0.501347%,0,1,Delegate/Reciprocal Square Root (NC):7
Multiply (ND),0.061,0.03482,0.00444608%,0.505793%,0,1,Delegate/Multiply (ND):8
Subtract (ND),0.019,0.01726,0.00220389%,0.507997%,0,1,Delegate/Subtract (ND):9
