Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,49.14,49.14,66.4269%,66.4269%,17708,1,ModifyGraphWithDelegate/0
AllocateTensors,24.836,24.836,33.5731%,100%,7100,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,49.14,49.14,66.4269%,66.4269%,17708,1,ModifyGraphWithDelegate/0
AllocateTensors,24.836,24.836,33.5731%,100%,7100,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,49.14,66.4269%,66.4269%,17708,1
AllocateTensors,1,24.836,33.573%,100%,7100,1

Timings (microseconds): count=1 curr=73976
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",1.008,1.229,1.25973%,1.25973%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
Sum (ND) Reduce,0.14,0.15784,0.161787%,1.42152%,0,1,Delegate/Sum (ND) Reduce:1
Multiply (ND),0.007,0.01026,0.0105166%,1.43204%,0,1,Delegate/Multiply (ND):2
Static Reshape (NC),0.001,0.00104,0.00106601%,1.4331%,0,1,Delegate/Static Reshape (NC):3
Subtract (ND),0.101,0.10458,0.107195%,1.5403%,0,1,Delegate/Subtract (ND):4
Multiply (ND),0.077,0.08304,0.0851167%,1.62542%,0,1,Delegate/Multiply (ND):5
Sum (ND) Reduce,0.12,0.11816,0.121115%,1.74653%,0,1,Delegate/Sum (ND) Reduce:6
Multiply (ND),0.005,0.0081,0.00830256%,1.75483%,0,1,Delegate/Multiply (ND):7
Add (ND),0.005,0.00652,0.00668305%,1.76152%,0,1,Delegate/Add (ND):8
Static Reshape (NC),0.001,0.0006,0.000615005%,1.76213%,0,1,Delegate/Static Reshape (NC):9
Reciprocal Square Root (NC),0.02,0.02128,0.0218122%,1.78394%,0,1,Delegate/Reciprocal Square Root (NC):10
Multiply (ND),0.068,0.07866,0.0806271%,1.86457%,0,1,Delegate/Multiply (ND):11
Multiply (ND),0.095,0.1102,0.112956%,1.97753%,0,1,Delegate/Multiply (ND):12
