Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,307.521,307.521,92.0052%,92.0052%,170764,1,ModifyGraphWithDelegate/0
AllocateTensors,26.722,26.722,7.99478%,100%,2996,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,307.521,307.521,92.0052%,92.0052%,170764,1,ModifyGraphWithDelegate/0
AllocateTensors,26.722,26.722,7.99478%,100%,2996,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,307.521,92.0052%,92.0052%,170764,1
AllocateTensors,1,26.722,7.99478%,100%,2996,1

Timings (microseconds): count=1 curr=334243
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",13.104,12.8797,2.4326%,2.4326%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
"Transpose (ND, X32) Transpose",0.318,0.33498,0.0632681%,2.49587%,0,1,Delegate/Transpose (ND	 X32) Transpose:1
Static Reshape (NC),0.003,0.00198,0.000373965%,2.49624%,0,1,Delegate/Static Reshape (NC):2
Add (ND),0.136,0.13432,0.0253692%,2.52161%,0,1,Delegate/Add (ND):3
"Transpose (ND, X32) Transpose",0.215,0.21978,0.0415101%,2.56312%,0,1,Delegate/Transpose (ND	 X32) Transpose:4
"Copy (NC, X32)",0.1,0.09824,0.0185547%,2.58168%,0,1,Delegate/Copy (NC	 X32):5
Mean (ND) Reduce,0.064,0.06512,0.0122993%,2.59398%,0,1,Delegate/Mean (ND) Reduce:6
Static Reshape (NC),0.002,0.0024,0.000453291%,2.59443%,0,1,Delegate/Static Reshape (NC):7
Squared Difference (ND),0.076,0.08032,0.0151701%,2.6096%,0,1,Delegate/Squared Difference (ND):8
Mean (ND) Reduce,0.066,0.06972,0.0131681%,2.62277%,0,1,Delegate/Mean (ND) Reduce:9
Add (ND),0.004,0.0066,0.00124655%,2.62402%,0,1,Delegate/Add (ND):10
Reciprocal Square Root (NC),0.005,0.00574,0.00108412%,2.6251%,0,1,Delegate/Reciprocal Square Root (NC):11
Multiply (ND),0.044,0.03328,0.00628564%,2.63139%,0,1,Delegate/Multiply (ND):12
Subtract (ND),0.014,0.01264,0.00238733%,2.63377%,0,1,Delegate/Subtract (ND):13
Static Reshape (NC),0.002,0.00196,0.000370188%,2.63414%,0,1,Delegate/Static Reshape (NC):14
Multiply (ND),0.094,0.09758,0.0184301%,2.65257%,0,1,Delegate/Multiply (ND):15
Static Reshape (NC),0.001,0.00108,0.000203981%,2.65278%,0,1,Delegate/Static Reshape (NC):16
Add (ND),0.071,0.08358,0.0157859%,2.66856%,0,1,Delegate/Add (ND):17
"Fully Connected (NC, F32) GEMM",8.255,8.1246,1.5345%,4.20307%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:18
Static Reshape (NC),0.003,0.0031,0.000585501%,4.20365%,0,1,Delegate/Static Reshape (NC):19
"Transpose (ND, X32) Transpose",0.557,0.60866,0.114958%,4.31861%,0,1,Delegate/Transpose (ND	 X32) Transpose:20
"Slice (ND, X32)",0.169,0.18112,0.0342084%,4.35282%,0,1,Delegate/Slice (ND	 X32):21
"Slice (ND, X32)",0.176,0.18068,0.0341253%,4.38694%,0,1,Delegate/Slice (ND	 X32):22
"Slice (ND, X32)",0.175,0.18424,0.0347977%,4.42174%,0,1,Delegate/Slice (ND	 X32):23
Static Reshape (NC),0.002,0.0011,0.000207758%,4.42195%,0,1,Delegate/Static Reshape (NC):24
Static Reshape (NC),0.001,0.001,0.000188871%,4.42214%,0,1,Delegate/Static Reshape (NC):25
Multiply (ND),0.129,0.12304,0.0232387%,4.44538%,0,1,Delegate/Multiply (ND):26
Multiply (ND),0.101,0.10148,0.0191667%,4.46454%,0,1,Delegate/Multiply (ND):27
"Transpose (ND, X32) Transpose",0.142,0.18434,0.0348165%,4.49936%,0,1,Delegate/Transpose (ND	 X32) Transpose:28
Static Reshape (NC),0.001,0.0014,0.00026442%,4.49962%,0,1,Delegate/Static Reshape (NC):29
