Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,311.214,311.214,92.4114%,92.4114%,173688,1,ModifyGraphWithDelegate/0
AllocateTensors,25.556,25.556,7.58856%,100%,2992,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,311.214,311.214,92.4114%,92.4114%,173688,1,ModifyGraphWithDelegate/0
AllocateTensors,25.556,25.556,7.58856%,100%,2992,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,311.214,92.4114%,92.4114%,173688,1
AllocateTensors,1,25.556,7.58856%,100%,2992,1

Timings (microseconds): count=1 curr=336770
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",13.869,13.552,2.59356%,2.59356%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
"Transpose (ND, X32) Transpose",0.344,0.32502,0.0622018%,2.65576%,0,1,Delegate/Transpose (ND	 X32) Transpose:1
Static Reshape (NC),0.002,0.00162,0.000310033%,2.65607%,0,1,Delegate/Static Reshape (NC):2
"Transpose (ND, X32) Transpose",0.26,0.26254,0.0502445%,2.70632%,0,1,Delegate/Transpose (ND	 X32) Transpose:3
"Copy (NC, X32)",0.088,0.09566,0.0183072%,2.72463%,0,1,Delegate/Copy (NC	 X32):4
Add (ND),0.193,0.19272,0.0368824%,2.76151%,0,1,Delegate/Add (ND):5
Mean (ND) Reduce,0.062,0.06012,0.0115057%,2.77301%,0,1,Delegate/Mean (ND) Reduce:6
Static Reshape (NC),0.002,0.00266,0.000509066%,2.77352%,0,1,Delegate/Static Reshape (NC):7
Squared Difference (ND),0.08,0.07934,0.015184%,2.78871%,0,1,Delegate/Squared Difference (ND):8
Mean (ND) Reduce,0.057,0.06482,0.0124051%,2.80111%,0,1,Delegate/Mean (ND) Reduce:9
Add (ND),0.003,0.00566,0.0010832%,2.8022%,0,1,Delegate/Add (ND):10
Reciprocal Square Root (NC),0.005,0.00562,0.00107555%,2.80327%,0,1,Delegate/Reciprocal Square Root (NC):11
Multiply (ND),0.052,0.0384,0.00734893%,2.81062%,0,1,Delegate/Multiply (ND):12
Subtract (ND),0.026,0.0147,0.00281326%,2.81343%,0,1,Delegate/Subtract (ND):13
Static Reshape (NC),0.002,0.00192,0.000367446%,2.8138%,0,1,Delegate/Static Reshape (NC):14
Multiply (ND),0.081,0.07786,0.0149007%,2.8287%,0,1,Delegate/Multiply (ND):15
Static Reshape (NC),0.001,0.00108,0.000206689%,2.82891%,0,1,Delegate/Static Reshape (NC):16
Add (ND),0.07,0.08286,0.0158576%,2.84477%,0,1,Delegate/Add (ND):17
"Fully Connected (NC, F32) GEMM",9.346,9.30866,1.78148%,4.62624%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:18
Static Reshape (NC),0.002,0.00284,0.000543514%,4.62678%,0,1,Delegate/Static Reshape (NC):19
"Transpose (ND, X32) Transpose",0.605,0.61156,0.117039%,4.74382%,0,1,Delegate/Transpose (ND	 X32) Transpose:20
"Slice (ND, X32)",0.19,0.19364,0.0370585%,4.78088%,0,1,Delegate/Slice (ND	 X32):21
"Slice (ND, X32)",0.155,0.15752,0.0301459%,4.81103%,0,1,Delegate/Slice (ND	 X32):22
"Slice (ND, X32)",0.163,0.16424,0.031432%,4.84246%,0,1,Delegate/Slice (ND	 X32):23
Static Reshape (NC),0.002,0.00114,0.000218171%,4.84268%,0,1,Delegate/Static Reshape (NC):24
