Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,99.544,99.544,57.4214%,57.4214%,45008,1,ModifyGraphWithDelegate/0
AllocateTensors,73.813,73.813,42.5786%,100%,1388,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,99.544,99.544,57.4214%,57.4214%,45008,1,ModifyGraphWithDelegate/0
AllocateTensors,73.813,73.813,42.5786%,100%,1388,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,99.544,57.4214%,57.4214%,45008,1
AllocateTensors,1,73.813,42.5786%,100%,1388,1

Timings (microseconds): count=1 curr=173357
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",6.61,6.5367,4.42598%,4.42598%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
"Transpose (ND, X32) Transpose",0.164,0.15058,0.101957%,4.52794%,0,1,Delegate/Transpose (ND	 X32) Transpose:1
Static Reshape (NC),0.002,0.00146,0.000988562%,4.52893%,0,1,Delegate/Static Reshape (NC):2
"Transpose (ND, X32) Transpose",0.113,0.11654,0.0789089%,4.60784%,0,1,Delegate/Transpose (ND	 X32) Transpose:3
"Copy (NC, X32)",0.043,0.04282,0.0289933%,4.63683%,0,1,Delegate/Copy (NC	 X32):4
Add (ND),0.066,0.06584,0.0445801%,4.68141%,0,1,Delegate/Add (ND):5
Mean (ND) Reduce,0.028,0.02862,0.0193785%,4.70079%,0,1,Delegate/Mean (ND) Reduce:6
Static Reshape (NC),0.002,0.0019,0.00128649%,4.70208%,0,1,Delegate/Static Reshape (NC):7
Squared Difference (ND),0.043,0.04194,0.0283975%,4.73047%,0,1,Delegate/Squared Difference (ND):8
Mean (ND) Reduce,0.025,0.02682,0.0181598%,4.74863%,0,1,Delegate/Mean (ND) Reduce:9
Add (ND),0.004,0.00354,0.00239692%,4.75103%,0,1,Delegate/Add (ND):10
Reciprocal Square Root (NC),0.005,0.00578,0.00391362%,4.75494%,0,1,Delegate/Reciprocal Square Root (NC):11
Multiply (ND),0.039,0.03816,0.025838%,4.78078%,0,1,Delegate/Multiply (ND):12
Subtract (ND),0.014,0.01282,0.00868039%,4.78946%,0,1,Delegate/Subtract (ND):13
Static Reshape (NC),0.002,0.002,0.00135419%,4.79082%,0,1,Delegate/Static Reshape (NC):14
Multiply (ND),0.039,0.0399,0.0270162%,4.81783%,0,1,Delegate/Multiply (ND):15
Static Reshape (NC),0.001,0.00102,0.000690639%,4.81852%,0,1,Delegate/Static Reshape (NC):16
Add (ND),0.023,0.02564,0.0173608%,4.83588%,0,1,Delegate/Add (ND):17
"Fully Connected (NC, F32) GEMM",1.854,1.8255,1.23604%,6.07193%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:18
Static Reshape (NC),0.004,0.0023,0.00155732%,6.07348%,0,1,Delegate/Static Reshape (NC):19
"Transpose (ND, X32) Transpose",0.245,0.2281,0.154446%,6.22793%,0,1,Delegate/Transpose (ND	 X32) Transpose:20
"Slice (ND, X32)",0.052,0.05384,0.0364549%,6.26438%,0,1,Delegate/Slice (ND	 X32):21
"Slice (ND, X32)",0.073,0.06748,0.0456905%,6.31007%,0,1,Delegate/Slice (ND	 X32):22
"Slice (ND, X32)",0.063,0.0675,0.0457041%,6.35578%,0,1,Delegate/Slice (ND	 X32):23
Static Reshape (NC),0.001,0.00108,0.000731265%,6.35651%,0,1,Delegate/Static Reshape (NC):24
Static Reshape (NC),0.001,0.001,0.000677097%,6.35719%,0,1,Delegate/Static Reshape (NC):25
Multiply (ND),0.062,0.06952,0.0470718%,6.40426%,0,1,Delegate/Multiply (ND):26
Multiply (ND),0.046,0.0634,0.042928%,6.44719%,0,1,Delegate/Multiply (ND):27
