Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,96.465,96.465,78.1207%,78.1207%,43304,1,ModifyGraphWithDelegate/0
AllocateTensors,27.017,27.017,21.8793%,100%,1612,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,96.465,96.465,78.1207%,78.1207%,43304,1,ModifyGraphWithDelegate/0
AllocateTensors,27.017,27.017,21.8793%,100%,1612,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,96.465,78.1207%,78.1207%,43304,1
AllocateTensors,1,27.017,21.8793%,100%,1612,1

Timings (microseconds): count=1 curr=123482
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",6.362,6.3079,4.25852%,4.25852%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
"Transpose (ND, X32) Transpose",0.147,0.1581,0.106735%,4.36525%,0,1,Delegate/Transpose (ND	 X32) Transpose:1
Static Reshape (NC),0.001,0.001,0.000675109%,4.36593%,0,1,Delegate/Static Reshape (NC):2
"Transpose (ND, X32) Transpose",0.128,0.1113,0.0751396%,4.44107%,0,1,Delegate/Transpose (ND	 X32) Transpose:3
"Copy (NC, X32)",0.04,0.0393,0.0265318%,4.4676%,0,1,Delegate/Copy (NC	 X32):4
Add (ND),0.064,0.0639,0.0431394%,4.51074%,0,1,Delegate/Add (ND):5
Mean (ND) Reduce,0.032,0.0314,0.0211984%,4.53194%,0,1,Delegate/Mean (ND) Reduce:6
Static Reshape (NC),0.002,0.002,0.00135022%,4.53329%,0,1,Delegate/Static Reshape (NC):7
Squared Difference (ND),0.041,0.0376,0.0253841%,4.55867%,0,1,Delegate/Squared Difference (ND):8
Mean (ND) Reduce,0.026,0.0246,0.0166077%,4.57528%,0,1,Delegate/Mean (ND) Reduce:9
Add (ND),0.003,0.0032,0.00216035%,4.57744%,0,1,Delegate/Add (ND):10
Reciprocal Square Root (NC),0.005,0.0051,0.00344305%,4.58088%,0,1,Delegate/Reciprocal Square Root (NC):11
Multiply (ND),0.051,0.0426,0.0287596%,4.60964%,0,1,Delegate/Multiply (ND):12
Subtract (ND),0.015,0.014,0.00945152%,4.61909%,0,1,Delegate/Subtract (ND):13
Static Reshape (NC),0.002,0.0017,0.00114768%,4.62024%,0,1,Delegate/Static Reshape (NC):14
Multiply (ND),0.042,0.0405,0.0273419%,4.64758%,0,1,Delegate/Multiply (ND):15
Static Reshape (NC),0.001,0.001,0.000675109%,4.64826%,0,1,Delegate/Static Reshape (NC):16
Add (ND),0.028,0.0261,0.0176203%,4.66588%,0,1,Delegate/Add (ND):17
"Fully Connected (NC, F32) GEMM",1.818,1.8156,1.22573%,5.89161%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:18
Static Reshape (NC),0.002,0.002,0.00135022%,5.89296%,0,1,Delegate/Static Reshape (NC):19
"Transpose (ND, X32) Transpose",0.207,0.2269,0.153182%,6.04614%,0,1,Delegate/Transpose (ND	 X32) Transpose:20
"Slice (ND, X32)",0.048,0.0487,0.0328778%,6.07902%,0,1,Delegate/Slice (ND	 X32):21
"Slice (ND, X32)",0.058,0.0605,0.0408441%,6.11986%,0,1,Delegate/Slice (ND	 X32):22
"Slice (ND, X32)",0.054,0.056,0.0378061%,6.15767%,0,1,Delegate/Slice (ND	 X32):23
Static Reshape (NC),0.001,0.0012,0.00081013%,6.15848%,0,1,Delegate/Static Reshape (NC):24
Static Reshape (NC),0.001,0.001,0.000675109%,6.15915%,0,1,Delegate/Static Reshape (NC):25
Multiply (ND),0.069,0.0642,0.043342%,6.20249%,0,1,Delegate/Multiply (ND):26
Multiply (ND),0.054,0.0524,0.0353757%,6.23787%,0,1,Delegate/Multiply (ND):27
"Transpose (ND, X32) Transpose",0.059,0.0604,0.0407766%,6.27865%,0,1,Delegate/Transpose (ND	 X32) Transpose:28
Static Reshape (NC),0.001,0.001,0.000675109%,6.27932%,0,1,Delegate/Static Reshape (NC):29
Static Reshape (NC),0,0.0003,0.000202533%,6.27952%,0,1,Delegate/Static Reshape (NC):30
"Batch Matrix Multiply (NC, F32) GEMM",0.714,0.6983,0.471428%,6.75095%,0,1,Delegate/Batch Matrix Multiply (NC	 F32) GEMM:31
Static Reshape (NC),0.002,0.002,0.00135022%,6.7523%,0,1,Delegate/Static Reshape (NC):32
