Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,54.972,27.6025,77.6704%,77.6704%,0,2,ModifyGraphWithDelegate/0
AllocateTensors,15.871,15.871,22.3296%,100%,3756,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,54.972,27.6025,77.6704%,77.6704%,0,2,ModifyGraphWithDelegate/0
AllocateTensors,15.871,15.871,22.3296%,100%,3756,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,55.205,77.6704%,77.6704%,0,2
AllocateTensors,1,15.871,22.3296%,100%,3756,1

Timings (microseconds): count=1 curr=71076
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",0.896,0.88934,3.30609%,3.30609%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
HardSwish (NC),0.154,0.16082,0.597843%,3.90394%,0,1,Delegate/HardSwish (NC):1
"Convolution (NHWC, F32) DWConv",0.575,0.58384,2.17041%,6.07435%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:2
HardSwish (NC),0.103,0.10364,0.385279%,6.45962%,0,1,Delegate/HardSwish (NC):3
"Fully Connected (NC, F32) GEMM",0.227,0.23328,0.867211%,7.32683%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:4
Add (ND),0.194,0.21468,0.798066%,8.1249%,0,1,Delegate/Add (ND):5
"Fully Connected (NC, F32) GEMM",0.833,0.77808,2.89249%,11.0174%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:6
HardSwish (NC),0.743,0.72396,2.6913%,13.7087%,0,1,Delegate/HardSwish (NC):7
"Convolution (NHWC, F32) DWConv",1.269,1.30108,4.83673%,18.5454%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:8
