Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,108.584,54.657,60.9402%,60.9402%,0,2,ModifyGraphWithDelegate/0
AllocateTensors,70.065,70.065,39.0598%,100%,2228,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
AllocateTensors,70.065,70.065,39.0598%,39.0598%,2228,1,AllocateTensors/0
ModifyGraphWithDelegate,108.584,54.657,60.9402%,100%,0,2,ModifyGraphWithDelegate/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,109.314,60.9402%,60.9402%,0,2
AllocateTensors,1,70.065,39.0598%,100%,2228,1

Timings (microseconds): count=1 curr=179379
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",2.704,0.99424,6.07555%,6.07555%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
"Convolution (NHWC, F32) IGEMM",0.679,0.53918,3.29479%,9.37034%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:1
"Convolution (NHWC, F32) IGEMM",1.766,0.43564,2.66208%,12.0324%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:2
"Convolution (NHWC, F32) IGEMM",0.383,0.406,2.48096%,14.5134%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:3
"Convolution (NHWC, F32) DWConv",0.066,0.0638,0.389865%,14.9032%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:4
Add (ND),0.023,0.01467,0.537868%,15.4411%,0,6,Delegate/Add (ND):5
"Fully Connected (NC, F32) GEMM",0.143,0.1452,0.88728%,16.3284%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:6
"Fully Connected (NC, F32) GEMM",0.139,0.14286,0.872981%,17.2014%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:7
Add (ND),0.027,0.02292,0.140058%,17.3414%,0,1,Delegate/Add (ND):8
Static Reshape (NC),0.012,0.01252,0.0765065%,17.4179%,0,1,Delegate/Static Reshape (NC):9
"Transpose (ND, X32) Transpose",0.019,0.00934125,0.913312%,18.3313%,0,16,Delegate/Transpose (ND	 X32) Transpose:10
Static Reshape (NC),0.014,0.00163125,0.15949%,18.4907%,0,16,Delegate/Static Reshape (NC):11
"Slice (ND, X32)",0.008,0.01424,0.087017%,18.5778%,0,1,Delegate/Slice (ND	 X32):12
"Slice (ND, X32)",0.006,0.0083,0.0507192%,18.6285%,0,1,Delegate/Slice (ND	 X32):13
"Slice (ND, X32)",0.006,0.00774,0.0472972%,18.6758%,0,1,Delegate/Slice (ND	 X32):14
"Slice (ND, X32)",0.005,0.00698,0.042653%,18.7184%,0,1,Delegate/Slice (ND	 X32):15
"Fully Connected (NC, F32) GEMM",0.021,0.16131,1.97145%,20.6899%,0,2,Delegate/Fully Connected (NC	 F32) GEMM:16
"Slice (ND, X32)",0.005,0.00614,0.15008%,20.84%,0,4,Delegate/Slice (ND	 X32):17
"Slice (ND, X32)",0.005,0.00568,0.138836%,20.9788%,0,4,Delegate/Slice (ND	 X32):18
"Slice (ND, X32)",0.005,0.005975,0.146047%,21.1248%,0,4,Delegate/Slice (ND	 X32):19
"Transpose (ND, X32) Transpose",0.008,0.00888,0.0542634%,21.1791%,0,1,Delegate/Transpose (ND	 X32) Transpose:20
Static Reshape (NC),0.005,0.00676,0.0413086%,21.2204%,0,1,Delegate/Static Reshape (NC):21
"Convolution (NHWC, F32) DWConv",0.044,0.04496,0.274739%,21.4952%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:22
"Transpose (ND, X32) Transpose",0.005,0.00654,0.0399643%,21.5351%,0,1,Delegate/Transpose (ND	 X32) Transpose:23
Static Reshape (NC),0.001,0.0004,0.0048886%,21.54%,0,2,Delegate/Static Reshape (NC):24
Static Reshape (NC),0.001,0.001,0.00611074%,21.5461%,0,1,Delegate/Static Reshape (NC):25
"Transpose (ND, X32) Transpose",0.005,0.00704,0.0430196%,21.5891%,0,1,Delegate/Transpose (ND	 X32) Transpose:26
"Batch Matrix Multiply (NC, F32) GEMM",0.044,0.04186,0.255796%,21.8449%,0,1,Delegate/Batch Matrix Multiply (NC	 F32) GEMM:27
GATHER_ND,0.16,0.1606,0.981385%,22.8263%,0,1,[ai_edge_torch._convert.to_channel_last_io.ChannelLastIOWrapper/timm.models.efficientvit_msra.EfficientVitMsra_wrapped/torch.nn.modules.container.Sequential_stages/timm.models.efficientvit_msra.EfficientVitStage_0/torch.nn.modules.container.Sequential_blocks/timm.models.efficientvit_msra.EfficientVitBlock_0/timm.models.efficientvit_msra.ResidualDrop_mixer/timm.models.efficientvit_msra.LocalWindowAttention_m/timm.models.efficientvit_msra.CascadedGroupAttention_attn;4]:20
GATHER_ND,0.146,0.14782,0.90329%,23.7296%,0,1,[ai_edge_torch._convert.to_channel_last_io.ChannelLastIOWrapper/timm.models.efficientvit_msra.EfficientVitMsra_wrapped/torch.nn.modules.container.Sequential_stages/timm.models.efficientvit_msra.EfficientVitStage_1/torch.nn.modules.container.Sequential_blocks/timm.models.efficientvit_msra.EfficientVitBlock_0/timm.models.efficientvit_msra.ResidualDrop_mixer/timm.models.efficientvit_msra.LocalWindowAttention_m/timm.models.efficientvit_msra.CascadedGroupAttention_attn;4]:135
GATHER_ND,0.147,0.14624,0.893635%,24.6232%,0,1,[ai_edge_torch._convert.to_channel_last_io.ChannelLastIOWrapper/timm.models.efficientvit_msra.EfficientVitMsra_wrapped/torch.nn.modules.container.Sequential_stages/timm.models.efficientvit_msra.EfficientVitStage_1/torch.nn.modules.container.Sequential_blocks/timm.models.efficientvit_msra.EfficientVitBlock_1/timm.models.efficientvit_msra.ResidualDrop_mixer/timm.models.efficientvit_msra.LocalWindowAttention_m/timm.models.efficientvit_msra.CascadedGroupAttention_attn;4]:234
GATHER_ND,0.021,0.02034,0.124293%,24.7475%,0,1,[ai_edge_torch._convert.to_channel_last_io.ChannelLastIOWrapper/timm.models.efficientvit_msra.EfficientVitMsra_wrapped/torch.nn.modules.container.Sequential_stages/timm.models.efficientvit_msra.EfficientVitStage_2/torch.nn.modules.container.Sequential_blocks/timm.models.efficientvit_msra.EfficientVitBlock_0/timm.models.efficientvit_msra.ResidualDrop_mixer/timm.models.efficientvit_msra.LocalWindowAttention_m/timm.models.efficientvit_msra.CascadedGroupAttention_attn;4]:353
GATHER_ND,0.019,0.0192,0.117326%,24.8649%,0,1,[ai_edge_torch._convert.to_channel_last_io.ChannelLastIOWrapper/timm.models.efficientvit_msra.EfficientVitMsra_wrapped/torch.nn.modules.container.Sequential_stages/timm.models.efficientvit_msra.EfficientVitStage_2/torch.nn.modules.container.Sequential_blocks/timm.models.efficientvit_msra.EfficientVitBlock_1/timm.models.efficientvit_msra.ResidualDrop_mixer/timm.models.efficientvit_msra.LocalWindowAttention_m/timm.models.efficientvit_msra.CascadedGroupAttention_attn;4]:452
GATHER_ND,0.019,0.01868,0.114149%,24.979%,0,1,[ai_edge_torch._convert.to_channel_last_io.ChannelLastIOWrapper/timm.models.efficientvit_msra.EfficientVitMsra_wrapped/torch.nn.modules.container.Sequential_stages/timm.models.efficientvit_msra.EfficientVitStage_2/torch.nn.modules.container.Sequential_blocks/timm.models.efficientvit_msra.EfficientVitBlock_2/timm.models.efficientvit_msra.ResidualDrop_mixer/timm.models.efficientvit_msra.LocalWindowAttention_m/timm.models.efficientvit_msra.CascadedGroupAttention_attn;4]:551
"Transpose (ND, X32) Transpose",0.027,0.0288,0.175989%,25.155%,0,1,Delegate/Transpose (ND	 X32) Transpose:0
"Slice (ND, X32)",0.003,0.00368,0.0224875%,25.1775%,0,1,Delegate/Slice (ND	 X32):1
Add (ND),0.025,0.0084475,0.825928%,26.0034%,0,16,Delegate/Add (ND):2
"Softmax (NC, F32)",0.05,0.05412,0.330713%,26.3341%,0,1,Delegate/Softmax (NC	 F32):3
"Batch Matrix Multiply (NC, F32) GEMM",0.039,0.04372,0.267162%,26.6013%,0,1,Delegate/Batch Matrix Multiply (NC	 F32) GEMM:4
Static Reshape (NC),0,0.00024,0.00146658%,26.6028%,0,1,Delegate/Static Reshape (NC):5
"Transpose (ND, X32) Transpose",0.006,0.00784,0.0479082%,26.6507%,0,1,Delegate/Transpose (ND	 X32) Transpose:6
Add (ND),0.006,0.00940667,0.34489%,26.9956%,0,6,Delegate/Add (ND):7
"Fully Connected (NC, F32) GEMM",0.02,0.120003,4.39986%,31.3954%,0,6,Delegate/Fully Connected (NC	 F32) GEMM:8
"Slice (ND, X32)",0.006,0.00716,0.0437529%,31.4392%,0,1,Delegate/Slice (ND	 X32):9
"Slice (ND, X32)",0.005,0.00704,0.0430196%,31.4822%,0,1,Delegate/Slice (ND	 X32):10
"Slice (ND, X32)",0.005,0.00736,0.0449751%,31.5272%,0,1,Delegate/Slice (ND	 X32):11
