Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,76.044,76.044,81.4054%,81.4054%,43248,1,ModifyGraphWithDelegate/0
AllocateTensors,17.37,17.37,18.5946%,100%,5152,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,76.044,76.044,81.4054%,81.4054%,43248,1,ModifyGraphWithDelegate/0
AllocateTensors,17.37,17.37,18.5946%,100%,5152,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,76.044,81.4054%,81.4054%,43248,1
AllocateTensors,1,17.37,18.5946%,100%,5152,1

Timings (microseconds): count=1 curr=93414
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",2.138,1.49628,3.17853%,3.17853%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
HardSwish (NC),0.311,0.33978,0.721791%,3.90032%,0,1,Delegate/HardSwish (NC):1
"Convolution (NHWC, F32) DWConv",0.951,1.00062,2.12561%,6.02593%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:2
"Fully Connected (NC, F32) GEMM",0.576,0.58324,1.23897%,7.2649%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:3
Add (ND),0.564,0.58976,1.25282%,8.51772%,0,1,Delegate/Add (ND):4
"Fully Connected (NC, F32) GEMM",1.854,1.85592,3.94251%,12.4602%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:5
"Convolution (NHWC, F32) DWConv",3.63,3.57446,7.59319%,20.0534%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:6
"Fully Connected (NC, F32) GEMM",0.463,0.47722,1.01375%,21.0672%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:7
"Fully Connected (NC, F32) GEMM",0.526,0.54014,1.14741%,22.2146%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:8
"Convolution (NHWC, F32) DWConv",1.197,1.21754,2.58641%,24.801%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:9
"Fully Connected (NC, F32) GEMM",0.568,0.5751,1.22168%,26.0227%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:10
Add (ND),0.161,0.16876,0.358495%,26.3812%,0,1,Delegate/Add (ND):11
"Fully Connected (NC, F32) GEMM",0.534,0.51186,1.08734%,27.4685%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:12
"Convolution (NHWC, F32) DWConv",1.74,1.76318,3.7455%,31.214%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:13
Sum (ND) Reduce,0.372,0.38972,0.827878%,32.0419%,0,1,Delegate/Sum (ND) Reduce:14
Multiply (ND),0.037,0.03544,0.0752848%,32.1172%,0,1,Delegate/Multiply (ND):15
Static Reshape (NC),0.001,0.001,0.00212429%,32.1193%,0,1,Delegate/Static Reshape (NC):16
"Fully Connected (NC, F32) GEMM",0.015,0.01548,0.032884%,32.1522%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:17
"Fully Connected (NC, F32) GEMM",0.006,0.00556,0.011811%,32.164%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:18
Multiply (ND),0.003,0.00352,0.0074775%,32.1715%,0,1,Delegate/Multiply (ND):19
Multiply (ND),0.057,0.0584,0.124058%,32.2955%,0,1,Delegate/Multiply (ND):20
"Fully Connected (NC, F32) GEMM",0.197,0.20092,0.426812%,32.7223%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:21
"Fully Connected (NC, F32) GEMM",0.327,0.33388,0.709258%,33.4316%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:22
"Convolution (NHWC, F32) DWConv",1.286,1.31092,2.78477%,36.2164%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:23
Sum (ND) Reduce,0.813,0.83286,1.76924%,37.9856%,0,1,Delegate/Sum (ND) Reduce:24
Multiply (ND),0.04,0.0397,0.0843343%,38.0699%,0,1,Delegate/Multiply (ND):25
Static Reshape (NC),0.001,0.00114,0.00242169%,38.0724%,0,1,Delegate/Static Reshape (NC):26
"Fully Connected (NC, F32) GEMM",0.017,0.01734,0.0368352%,38.1092%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:27
"Fully Connected (NC, F32) GEMM",0.008,0.0086,0.0182689%,38.1275%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:28
Multiply (ND),0.003,0.00302,0.00641535%,38.1339%,0,1,Delegate/Multiply (ND):29
