Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,39.552,39.552,79.2228%,79.2228%,19996,1,ModifyGraphWithDelegate/0
AllocateTensors,10.373,10.373,20.7772%,100%,2432,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,39.552,39.552,79.2228%,79.2228%,19996,1,ModifyGraphWithDelegate/0
AllocateTensors,10.373,10.373,20.7772%,100%,2432,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,39.552,79.2228%,79.2228%,19996,1
AllocateTensors,1,10.373,20.7772%,100%,2432,1

Timings (microseconds): count=1 curr=49925
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",1.934,1.46762,9.55894%,9.55894%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
HardSwish (NC),0.282,0.32344,2.10664%,11.6656%,0,1,Delegate/HardSwish (NC):1
"Convolution (NHWC, F32) DWConv",0.529,0.5239,3.41228%,15.0779%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:2
Sum (ND) Reduce,0.113,0.10774,0.701735%,15.7796%,0,1,Delegate/Sum (ND) Reduce:3
Multiply (ND),0.043,0.03702,0.24112%,16.0207%,0,1,Delegate/Multiply (ND):4
Static Reshape (NC),0.001,0.00072,0.00468952%,16.0254%,0,1,Delegate/Static Reshape (NC):5
"Fully Connected (NC, F32) GEMM",0.003,0.0031,0.020191%,16.0456%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:6
"Fully Connected (NC, F32) GEMM",0.016,0.01528,0.0995221%,16.1451%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:7
Multiply (ND),0.003,0.0039,0.0254016%,16.1705%,0,1,Delegate/Multiply (ND):8
Multiply (ND),0.061,0.06234,0.406034%,16.5765%,0,1,Delegate/Multiply (ND):9
"Fully Connected (NC, F32) GEMM",0.116,0.11304,0.736255%,17.3128%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:10
"Fully Connected (NC, F32) GEMM",0.424,0.4326,2.81762%,20.1304%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:11
"Convolution (NHWC, F32) DWConv",0.838,0.87304,5.6863%,25.8167%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:12
"Fully Connected (NC, F32) GEMM",0.156,0.16968,1.10516%,26.9219%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:13
"Fully Connected (NC, F32) GEMM",0.149,0.17748,1.15597%,28.0779%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:14
"Convolution (NHWC, F32) DWConv",0.286,0.28302,1.84337%,29.9212%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:15
"Fully Connected (NC, F32) GEMM",0.161,0.16252,1.05853%,30.9798%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:16
Add (ND),0.028,0.0271,0.176508%,31.1563%,0,1,Delegate/Add (ND):17
"Fully Connected (NC, F32) GEMM",0.161,0.16366,1.06595%,32.2222%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:18
HardSwish (NC),0.062,0.053,0.345201%,32.5674%,0,1,Delegate/HardSwish (NC):19
"Convolution (NHWC, F32) DWConv",0.317,0.31402,2.04528%,34.6127%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:20
HardSwish (NC),0.037,0.0495,0.322405%,34.9351%,0,1,Delegate/HardSwish (NC):21
