Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,40.207,40.207,35.9097%,35.9097%,20064,1,ModifyGraphWithDelegate/0
AllocateTensors,71.76,71.76,64.0903%,100%,2492,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
AllocateTensors,71.76,71.76,64.0903%,64.0903%,2492,1,AllocateTensors/0
ModifyGraphWithDelegate,40.207,40.207,35.9097%,100%,20064,1,ModifyGraphWithDelegate/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
AllocateTensors,1,71.76,64.0903%,64.0903%,2492,1
ModifyGraphWithDelegate,1,40.207,35.9097%,100%,20064,1

Timings (microseconds): count=1 curr=111967
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",2.125,1.48766,10.4611%,10.4611%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
HardSwish (NC),0.253,0.25244,1.77513%,12.2362%,0,1,Delegate/HardSwish (NC):1
"Convolution (NHWC, F32) DWConv",0.384,0.40946,2.87928%,15.1155%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:2
Sum (ND) Reduce,0.077,0.08628,0.606711%,15.7222%,0,1,Delegate/Sum (ND) Reduce:3
Multiply (ND),0.032,0.0378,0.265805%,15.988%,0,1,Delegate/Multiply (ND):4
Static Reshape (NC),0.001,0.001,0.00703188%,15.995%,0,1,Delegate/Static Reshape (NC):5
"Fully Connected (NC, F32) GEMM",0.004,0.00512,0.0360032%,16.031%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:6
"Fully Connected (NC, F32) GEMM",0.013,0.01774,0.124746%,16.1558%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:7
Multiply (ND),0.003,0.0038,0.0267212%,16.1825%,0,1,Delegate/Multiply (ND):8
Multiply (ND),0.053,0.05792,0.407287%,16.5898%,0,1,Delegate/Multiply (ND):9
"Fully Connected (NC, F32) GEMM",0.113,0.1222,0.859296%,17.4491%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:10
"Fully Connected (NC, F32) GEMM",0.426,0.412,2.89714%,20.3462%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:11
"Convolution (NHWC, F32) DWConv",0.752,0.73402,5.16154%,25.5077%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:12
"Fully Connected (NC, F32) GEMM",0.143,0.14744,1.03678%,26.5445%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:13
"Fully Connected (NC, F32) GEMM",0.146,0.15008,1.05535%,27.5999%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:14
"Convolution (NHWC, F32) DWConv",0.257,0.24836,1.74644%,29.3463%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:15
"Fully Connected (NC, F32) GEMM",0.163,0.14312,1.0064%,30.3527%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:16
Add (ND),0.021,0.01782,0.125308%,30.478%,0,1,Delegate/Add (ND):17
"Fully Connected (NC, F32) GEMM",0.16,0.15788,1.11019%,31.5882%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:18
HardSwish (NC),0.049,0.04976,0.349907%,31.9381%,0,1,Delegate/HardSwish (NC):19
"Convolution (NHWC, F32) DWConv",0.273,0.28302,1.99016%,33.9283%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:20
HardSwish (NC),0.022,0.0265,0.186345%,34.1146%,0,1,Delegate/HardSwish (NC):21
Sum (ND) Reduce,0.037,0.03732,0.26243%,34.3771%,0,1,Delegate/Sum (ND) Reduce:22
Multiply (ND),0.015,0.0222,0.156108%,34.5332%,0,1,Delegate/Multiply (ND):23
Static Reshape (NC),0.001,0.001,0.00703188%,34.5402%,0,1,Delegate/Static Reshape (NC):24
"Fully Connected (NC, F32) GEMM",0.01,0.01308,0.091977%,34.6322%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:25
"Fully Connected (NC, F32) GEMM",0.006,0.0078,0.0548487%,34.687%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:26
Multiply (ND),0.002,0.0032,0.022502%,34.7095%,0,1,Delegate/Multiply (ND):27
Multiply (ND),0.016,0.01602,0.112651%,34.8222%,0,1,Delegate/Multiply (ND):28
"Fully Connected (NC, F32) GEMM",0.066,0.06978,0.490685%,35.3129%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:29
"Fully Connected (NC, F32) GEMM",0.159,0.16316,1.14732%,36.4602%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:30
HardSwish (NC),0.035,0.03272,0.230083%,36.6903%,0,1,Delegate/HardSwish (NC):31
"Convolution (NHWC, F32) DWConv",0.649,0.6503,4.57283%,41.2631%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:32
HardSwish (NC),0.043,0.0431,0.303074%,41.5662%,0,1,Delegate/HardSwish (NC):33
Sum (ND) Reduce,0.086,0.09158,0.64398%,42.2101%,0,1,Delegate/Sum (ND) Reduce:34
Multiply (ND),0.013,0.0147,0.103369%,42.3135%,0,1,Delegate/Multiply (ND):35
Static Reshape (NC),0.001,0.00066,0.00464104%,42.3182%,0,1,Delegate/Static Reshape (NC):36
