Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,135.774,135.774,90.2627%,90.2627%,72848,1,ModifyGraphWithDelegate/0
AllocateTensors,14.647,14.647,9.73734%,100%,5072,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,135.774,135.774,90.2627%,90.2627%,72848,1,ModifyGraphWithDelegate/0
AllocateTensors,14.647,14.647,9.73734%,100%,5072,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,135.774,90.2627%,90.2627%,72848,1
AllocateTensors,1,14.647,9.73734%,100%,5072,1

Timings (microseconds): count=1 curr=150421
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",2.796,2.3318,2.15492%,2.15492%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
"Convolution (NHWC, F32) IGEMM",9.477,9.50146,8.78072%,10.9356%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:1
"Fully Connected (NC, F32) GEMM",1.596,1.60896,1.48691%,12.4226%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:2
"Convolution (NHWC, F32) DWConv",0.685,0.66424,0.613854%,13.0364%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:3
"Fully Connected (NC, F32) GEMM",2.703,2.70488,2.4997%,15.5361%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:4
"Convolution (NHWC, F32) DWConv",7.088,7.13388,6.59274%,22.1288%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:5
"Fully Connected (NC, F32) GEMM",1.061,1.08508,1.00277%,23.1316%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:6
"Convolution (NHWC, F32) DWConv",0.285,0.28824,0.266375%,23.398%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:7
"Fully Connected (NC, F32) GEMM",0.849,0.82128,0.758981%,24.157%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:8
"Convolution (NHWC, F32) DWConv",0.673,0.66616,0.615628%,24.7726%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:9
"Fully Connected (NC, F32) GEMM",0.911,0.90196,0.833541%,25.6061%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:10
Add (ND),0.159,0.14552,0.134481%,25.7406%,0,1,Delegate/Add (ND):11
"Convolution (NHWC, F32) DWConv",0.263,0.28738,0.265581%,26.0062%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:12
"Fully Connected (NC, F32) GEMM",2.427,2.45106,2.26513%,28.2713%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:13
"Convolution (NHWC, F32) DWConv",4.566,4.60036,4.2514%,32.5227%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:14
"Fully Connected (NC, F32) GEMM",1.227,1.26166,1.16596%,33.6887%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:15
"Convolution (NHWC, F32) DWConv",0.162,0.16688,0.154221%,33.8429%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:16
"Fully Connected (NC, F32) GEMM",1.599,1.64314,1.5185%,35.3614%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:17
"Convolution (NHWC, F32) DWConv",1.267,1.2275,1.13439%,36.4958%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:18
"Fully Connected (NC, F32) GEMM",1.667,1.72724,1.59622%,38.092%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:19
Add (ND),0.085,0.08322,0.0769073%,38.1689%,0,1,Delegate/Add (ND):20
"Convolution (NHWC, F32) DWConv",0.164,0.15306,0.14145%,38.3104%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:21
"Fully Connected (NC, F32) GEMM",1.598,1.61,1.48787%,39.7982%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:22
"Convolution (NHWC, F32) DWConv",1.213,1.20972,1.11796%,40.9162%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:23
"Fully Connected (NC, F32) GEMM",1.719,1.73728,1.6055%,42.5217%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:24
Add (ND),0.083,0.08668,0.0801048%,42.6018%,0,1,Delegate/Add (ND):25
"Convolution (NHWC, F32) DWConv",0.143,0.14878,0.137494%,42.7393%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:26
"Fully Connected (NC, F32) GEMM",1.631,1.64032,1.51589%,44.2552%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:27
"Convolution (NHWC, F32) DWConv",2.879,2.92798,2.70588%,46.9611%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:28
"Fully Connected (NC, F32) GEMM",1.675,1.6734,1.54646%,48.5075%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:29
Add (ND),0.092,0.08564,0.0791437%,48.5867%,0,1,Delegate/Add (ND):30
"Convolution (NHWC, F32) DWConv",0.147,0.1556,0.143797%,48.7305%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:31
"Fully Connected (NC, F32) GEMM",1.591,1.61224,1.48994%,50.2204%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:32
"Convolution (NHWC, F32) DWConv",1.248,1.28338,1.18603%,51.4064%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:33
"Fully Connected (NC, F32) GEMM",1.674,1.70024,1.57127%,52.9777%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:34
Add (ND),0.08,0.0832,0.0768888%,53.0546%,0,1,Delegate/Add (ND):35
"Convolution (NHWC, F32) DWConv",0.168,0.15404,0.142355%,53.1969%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:36
"Fully Connected (NC, F32) GEMM",1.594,1.6173,1.49462%,54.6916%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:37
"Fully Connected (NC, F32) GEMM",2.66,1.7117,1.58186%,56.2734%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:38
Add (ND),0.1,0.09062,0.083746%,56.3572%,0,1,Delegate/Add (ND):39
"Fully Connected (NC, F32) GEMM",0.791,0.79778,0.737264%,57.0944%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:40
"Fully Connected (NC, F32) GEMM",0.946,0.9143,0.844945%,57.9394%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:41
Add (ND),0.092,0.09444,0.0872762%,58.0267%,0,1,Delegate/Add (ND):42
"Convolution (NHWC, F32) DWConv",0.159,0.14854,0.137272%,58.1639%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:43
"Fully Connected (NC, F32) GEMM",1.621,1.65118,1.52593%,59.6899%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:44
"Fully Connected (NC, F32) GEMM",1.705,1.71126,1.58145%,61.2713%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:45
Add (ND),0.076,0.07886,0.072878%,61.3442%,0,1,Delegate/Add (ND):46
"Convolution (NHWC, F32) DWConv",0.502,0.4808,0.444329%,61.7885%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:47
"Fully Connected (NC, F32) GEMM",2.377,2.41106,2.22817%,64.0167%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:48
"Convolution (NHWC, F32) DWConv",2.021,1.99766,1.84613%,65.8628%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:49
"Fully Connected (NC, F32) GEMM",1.495,1.50614,1.39189%,67.2547%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:50
"Convolution (NHWC, F32) DWConv",0.201,0.2183,0.201741%,67.4564%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:51
"Fully Connected (NC, F32) GEMM",1.193,1.25742,1.16204%,68.6185%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:52
"Convolution (NHWC, F32) DWConv",1.19,1.19388,1.10332%,69.7218%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:53
"Fully Connected (NC, F32) GEMM",1.823,1.778,1.64313%,71.3649%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:54
Add (ND),0.052,0.04752,0.0439153%,71.4088%,0,1,Delegate/Add (ND):55
"Convolution (NHWC, F32) DWConv",0.08,0.07608,0.0703089%,71.4791%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:56
"Fully Connected (NC, F32) GEMM",1.249,1.19924,1.10827%,72.5874%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:57
"Convolution (NHWC, F32) DWConv",1.22,1.21468,1.12254%,73.71%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:58
"Fully Connected (NC, F32) GEMM",1.687,1.69504,1.56646%,75.2764%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:59
Add (ND),0.043,0.04698,0.0434163%,75.3198%,0,1,Delegate/Add (ND):60
"Convolution (NHWC, F32) DWConv",0.071,0.07208,0.0666123%,75.3865%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:61
"Fully Connected (NC, F32) GEMM",1.211,1.26662,1.17054%,76.557%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:62
"Convolution (NHWC, F32) DWConv",1.194,1.21188,1.11995%,77.6769%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:63
"Fully Connected (NC, F32) GEMM",1.56,1.61966,1.4968%,79.1737%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:64
Add (ND),0.043,0.05056,0.0467247%,79.2205%,0,1,Delegate/Add (ND):65
"Fully Connected (NC, F32) GEMM",1.234,1.20484,1.11345%,80.3339%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:66
"Fully Connected (NC, F32) GEMM",1.601,1.64206,1.5175%,81.8514%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:67
Add (ND),0.055,0.04984,0.0460594%,81.8975%,0,1,Delegate/Add (ND):68
"Convolution (NHWC, F32) DWConv",0.072,0.07992,0.0738576%,81.9713%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:69
"Fully Connected (NC, F32) GEMM",1.182,1.20252,1.1113%,83.0826%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:70
"Fully Connected (NC, F32) GEMM",1.721,1.68296,1.5553%,84.6379%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:71
Add (ND),0.047,0.05002,0.0462257%,84.6842%,0,1,Delegate/Add (ND):72
"Convolution (NHWC, F32) DWConv",0.066,0.07106,0.0656697%,84.7498%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:73
"Fully Connected (NC, F32) GEMM",0.589,0.65356,0.603984%,85.3538%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:74
"Convolution (NHWC, F32) DWConv",0.508,0.52368,0.483956%,85.8378%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:75
"Fully Connected (NC, F32) GEMM",0.663,0.68026,0.628658%,86.4664%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:76
Add (ND),0.037,0.03984,0.0368179%,86.5032%,0,1,Delegate/Add (ND):77
"Convolution (NHWC, F32) DWConv",0.197,0.1973,0.182334%,86.6856%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:78
"Fully Connected (NC, F32) GEMM",1.213,1.19288,1.10239%,87.788%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:79
"Convolution (NHWC, F32) DWConv",1.204,1.20376,1.11245%,88.9004%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:80
"Fully Connected (NC, F32) GEMM",1.682,1.66424,1.538%,90.4384%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:81
Add (ND),0.051,0.06256,0.0578145%,90.4962%,0,1,Delegate/Add (ND):82
"Fully Connected (NC, F32) GEMM",1.226,1.20382,1.1125%,91.6087%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:83
"Fully Connected (NC, F32) GEMM",1.561,1.5697,1.45063%,93.0594%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:84
Add (ND),0.046,0.04794,0.0443035%,93.1037%,0,1,Delegate/Add (ND):85
"Fully Connected (NC, F32) GEMM",1.192,1.26268,1.1669%,94.2706%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:86
"Fully Connected (NC, F32) GEMM",1.614,1.57664,1.45704%,95.7276%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:87
Add (ND),0.06,0.0591,0.0546169%,95.7822%,0,1,Delegate/Add (ND):88
"Convolution (NHWC, F32) DWConv",0.201,0.2014,0.186123%,95.9683%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:89
"Fully Connected (NC, F32) GEMM",0.594,0.60368,0.557887%,96.5262%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:90
"Fully Connected (NC, F32) GEMM",0.686,0.68612,0.634074%,97.1603%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:91
Add (ND),0.029,0.03118,0.0288148%,97.1891%,0,1,Delegate/Add (ND):92
"Fully Connected (NC, F32) GEMM",1.094,1.11176,1.02743%,98.2166%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:93
Sum (ND) Reduce,0.098,0.10962,0.101305%,98.3179%,0,1,Delegate/Sum (ND) Reduce:94
Multiply (ND),0.058,0.05214,0.0481849%,98.366%,0,1,Delegate/Multiply (ND):95
Static Reshape (NC),0.001,0.00126,0.00116442%,98.3672%,0,1,Delegate/Static Reshape (NC):96
"Fully Connected (NC, F32) GEMM",0.91,0.88044,0.813654%,99.1809%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:97
Static Reshape (NC),0.002,0.0027,0.00249519%,99.1833%,0,1,Delegate/Static Reshape (NC):98
"Fully Connected (NC, F32) GEMM",0.861,0.88368,0.816648%,100%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:99

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",9.477,9.50146,8.78072%,8.78072%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:1
"Convolution (NHWC, F32) DWConv",7.088,7.13388,6.59274%,15.3735%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:5
"Convolution (NHWC, F32) DWConv",4.566,4.60036,4.2514%,19.6249%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:14
