Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,53.16,53.16,82.1346%,82.1346%,28936,1,ModifyGraphWithDelegate/0
AllocateTensors,11.563,11.563,17.8654%,100%,4404,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,53.16,53.16,82.1346%,82.1346%,28936,1,ModifyGraphWithDelegate/0
AllocateTensors,11.563,11.563,17.8654%,100%,4404,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,53.16,82.1346%,82.1346%,28936,1
AllocateTensors,1,11.563,17.8654%,100%,4404,1

Timings (microseconds): count=1 curr=64723
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",2.802,2.2686,9.52043%,9.52043%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
"Convolution (NHWC, F32) IGEMM",2.804,2.8041,11.7677%,21.2881%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:1
"Fully Connected (NC, F32) GEMM",0.345,0.33976,1.42584%,22.714%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:2
"Convolution (NHWC, F32) IGEMM",1.85,1.86386,7.82189%,30.5359%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:3
"Fully Connected (NC, F32) GEMM",0.436,0.40492,1.69929%,32.2352%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:4
"Convolution (NHWC, F32) DWConv",0.654,0.64228,2.6954%,34.9306%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:5
"Fully Connected (NC, F32) GEMM",0.797,0.81022,3.40018%,38.3307%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:6
"Convolution (NHWC, F32) DWConv",0.873,0.8936,3.75009%,42.0808%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:7
"Fully Connected (NC, F32) GEMM",0.329,0.3336,1.39999%,43.4808%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:8
"Fully Connected (NC, F32) GEMM",0.286,0.28534,1.19746%,44.6783%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:9
"Convolution (NHWC, F32) DWConv",0.172,0.1741,0.73063%,45.4089%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:10
"Fully Connected (NC, F32) GEMM",0.311,0.31994,1.34266%,46.7516%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:11
Add (ND),0.026,0.02662,0.111714%,46.8633%,0,1,Delegate/Add (ND):12
"Fully Connected (NC, F32) GEMM",0.287,0.28604,1.2004%,48.0637%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:13
"Convolution (NHWC, F32) DWConv",0.178,0.15092,0.633352%,48.697%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:14
"Fully Connected (NC, F32) GEMM",0.309,0.3083,1.29381%,49.9909%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:15
Add (ND),0.022,0.02316,0.0971935%,50.088%,0,1,Delegate/Add (ND):16
"Fully Connected (NC, F32) GEMM",0.282,0.2857,1.19897%,51.287%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:17
"Convolution (NHWC, F32) DWConv",0.146,0.15462,0.64888%,51.9359%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:18
"Fully Connected (NC, F32) GEMM",0.303,0.30792,1.29222%,53.2281%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:19
Add (ND),0.022,0.02266,0.0950952%,53.3232%,0,1,Delegate/Add (ND):20
"Fully Connected (NC, F32) GEMM",0.28,0.28468,1.19469%,54.5179%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:21
"Convolution (NHWC, F32) DWConv",0.154,0.16902,0.709311%,55.2272%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:22
"Fully Connected (NC, F32) GEMM",0.302,0.30524,1.28097%,56.5082%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:23
Add (ND),0.021,0.02228,0.0935005%,56.6017%,0,1,Delegate/Add (ND):24
"Convolution (NHWC, F32) DWConv",0.071,0.07256,0.304506%,56.9062%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:25
"Fully Connected (NC, F32) GEMM",0.56,0.5606,2.35262%,59.2588%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:26
"Fully Connected (NC, F32) GEMM",0.646,0.65978,2.76884%,62.0276%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:27
Add (ND),0.032,0.03204,0.134459%,62.1621%,0,1,Delegate/Add (ND):28
"Convolution (NHWC, F32) DWConv",0.071,0.07552,0.316928%,62.479%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:29
