Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,167.215,83.8475,90.4148%,90.4148%,0,2,ModifyGraphWithDelegate/0
AllocateTensors,17.778,17.778,9.58522%,100%,5452,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,167.215,83.8475,90.4148%,90.4148%,0,2,ModifyGraphWithDelegate/0
AllocateTensors,17.778,17.778,9.58522%,100%,5452,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,167.695,90.4148%,90.4148%,0,2
AllocateTensors,1,17.778,9.58522%,100%,5452,1

Timings (microseconds): count=1 curr=185473
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",2.834,2.26642,1.68043%,1.68043%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
"Convolution (NHWC, F32) IGEMM",9.475,9.50716,7.04906%,8.72949%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:1
"Fully Connected (NC, F32) GEMM",1.663,0.642062,4.2845%,13.014%,0,9,Delegate/Fully Connected (NC	 F32) GEMM:2
"Convolution (NHWC, F32) DWConv",0.653,0.69836,0.517797%,13.5318%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:3
"Fully Connected (NC, F32) GEMM",2.66,2.65882,1.97138%,15.5032%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:4
"Convolution (NHWC, F32) DWConv",6.627,6.71506,4.97887%,20.482%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:5
"Fully Connected (NC, F32) GEMM",1.116,1.58356,7.04478%,27.5268%,0,6,Delegate/Fully Connected (NC	 F32) GEMM:6
"Convolution (NHWC, F32) DWConv",0.305,0.2893,0.214501%,27.7413%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:7
"Fully Connected (NC, F32) GEMM",0.81,0.97667,1.4483%,29.1896%,0,2,Delegate/Fully Connected (NC	 F32) GEMM:8
"Convolution (NHWC, F32) DWConv",0.587,0.59674,0.442451%,29.6321%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:9
"Fully Connected (NC, F32) GEMM",0.862,0.87602,0.649523%,30.2816%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:10
Add (ND),0.176,0.051385,0.152397%,30.434%,0,4,Delegate/Add (ND):11
"Convolution (NHWC, F32) DWConv",0.227,0.25679,0.380793%,30.8148%,0,2,Delegate/Convolution (NHWC	 F32) DWConv:12
"Fully Connected (NC, F32) GEMM",2.467,1.2529,2.78688%,33.6016%,0,3,Delegate/Fully Connected (NC	 F32) GEMM:13
"Convolution (NHWC, F32) DWConv",4.254,1.39332,4.1323%,37.7339%,0,4,Delegate/Convolution (NHWC	 F32) DWConv:14
"Fully Connected (NC, F32) GEMM",1.214,0.629768,2.3347%,40.0686%,0,5,Delegate/Fully Connected (NC	 F32) GEMM:15
"Fully Connected (NC, F32) GEMM",0.82,0.46854,1.04219%,41.1108%,0,3,Delegate/Fully Connected (NC	 F32) GEMM:16
"Fully Connected (NC, F32) GEMM",0.911,0.4311,0.958914%,42.0698%,0,3,Delegate/Fully Connected (NC	 F32) GEMM:17
Add (ND),0.064,0.06432,0.0476899%,42.1174%,0,1,Delegate/Add (ND):18
"Convolution (NHWC, F32) DWConv",0.141,0.67822,1.00573%,43.1232%,0,2,Delegate/Convolution (NHWC	 F32) DWConv:19
"Fully Connected (NC, F32) GEMM",1.567,1.1341,3.36349%,46.4867%,0,4,Delegate/Fully Connected (NC	 F32) GEMM:20
"Convolution (NHWC, F32) DWConv",0.763,0.80836,0.599357%,47.086%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:21
"Fully Connected (NC, F32) GEMM",1.719,1.71288,1.27001%,48.356%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:22
Add (ND),0.094,0.0923,0.0684356%,48.4245%,0,1,Delegate/Add (ND):23
"Convolution (NHWC, F32) DWConv",0.147,0.67404,0.999531%,49.424%,0,2,Delegate/Convolution (NHWC	 F32) DWConv:24
"Fully Connected (NC, F32) GEMM",1.581,1.66937,2.4755%,51.8995%,0,2,Delegate/Fully Connected (NC	 F32) GEMM:25
"Convolution (NHWC, F32) DWConv",2.186,2.19884,1.63032%,53.5298%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:26
