Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,197.659,197.659,86.7256%,86.7256%,113608,1,ModifyGraphWithDelegate/0
AllocateTensors,30.254,30.254,13.2744%,100%,21968,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,197.659,197.659,86.7256%,86.7256%,113608,1,ModifyGraphWithDelegate/0
AllocateTensors,30.254,30.254,13.2744%,100%,21968,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,197.659,86.7256%,86.7256%,113608,1
AllocateTensors,1,30.254,13.2744%,100%,21968,1

Timings (microseconds): count=1 curr=227913
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",4.698,3.89762,1.05936%,1.05936%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
"Convolution (NHWC, F32) DWConv",3.635,3.48376,0.946877%,2.00624%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:1
"Fully Connected (NC, F32) GEMM",3.24,3.238,0.88008%,2.88632%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:2
"Convolution (NHWC, F32) DWConv",3.463,3.57986,0.972997%,3.85932%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:3
"Fully Connected (NC, F32) GEMM",14.7,14.0634,3.8224%,7.68171%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:4
"Convolution (NHWC, F32) DWConv",2.881,2.9676,0.806586%,8.4883%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:5
"Fully Connected (NC, F32) GEMM",5.923,6.04648,1.64342%,10.1317%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:6
"Convolution (NHWC, F32) DWConv",3.421,3.44924,0.937494%,11.0692%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:7
"Fully Connected (NC, F32) GEMM",14.57,14.555,3.95602%,15.0252%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:8
"Convolution (NHWC, F32) DWConv",3.517,3.53874,0.96182%,15.987%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:9
"Fully Connected (NC, F32) GEMM",13.781,13.9328,3.78689%,19.7739%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:10
"Convolution (NHWC, F32) DWConv",4.243,3.41024,0.926894%,20.7008%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:11
"Fully Connected (NC, F32) GEMM",12.134,12.1817,3.31096%,24.0118%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:12
"Convolution (NHWC, F32) DWConv",3.366,3.39352,0.92235%,24.9341%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:13
"Fully Connected (NC, F32) GEMM",12.649,12.6629,3.44175%,28.3759%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:14
"Convolution (NHWC, F32) DWConv",3.384,3.4173,0.928813%,29.3047%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:15
"Fully Connected (NC, F32) GEMM",13.164,12.5947,3.4232%,32.7279%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:16
"Convolution (NHWC, F32) DWConv",3.579,3.44094,0.935239%,33.6631%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:17
"Fully Connected (NC, F32) GEMM",12.488,12.4641,3.3877%,37.0508%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:18
"Convolution (NHWC, F32) DWConv",3.522,3.59416,0.976883%,38.0277%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:19
"Fully Connected (NC, F32) GEMM",14.628,14.7769,4.01631%,42.044%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:20
"Convolution (NHWC, F32) DWConv",1.996,2.01942,0.548873%,42.5929%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:21
"Fully Connected (NC, F32) GEMM",6.852,6.89892,1.87511%,44.468%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:22
"Convolution (NHWC, F32) DWConv",1.554,1.5309,0.416095%,44.8841%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:23
"Fully Connected (NC, F32) GEMM",16.586,16.775,4.55941%,49.4435%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:24
"Convolution (NHWC, F32) DWConv",1.6,1.61818,0.439817%,49.8834%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:25
"Fully Connected (NC, F32) GEMM",16.981,17.043,4.63223%,54.5156%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:26
"Convolution (NHWC, F32) DWConv",1.566,1.57922,0.429228%,54.9448%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:27
"Fully Connected (NC, F32) GEMM",15.168,15.1514,4.11812%,59.0629%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:28
"Convolution (NHWC, F32) DWConv",1.535,1.55354,0.422248%,59.4852%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:29
"Fully Connected (NC, F32) GEMM",15.69,15.9015,4.32198%,63.8072%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:30
"Convolution (NHWC, F32) DWConv",1.482,1.50914,0.41018%,64.2173%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:31
Sum (ND) Reduce,2.1,2.08086,0.565572%,64.7829%,0,1,Delegate/Sum (ND) Reduce:32
Multiply (ND),0.038,0.05576,0.0151554%,64.7981%,0,1,Delegate/Multiply (ND):33
Static Reshape (NC),0.001,0.00144,0.000391388%,64.7985%,0,1,Delegate/Static Reshape (NC):34
