Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,162.989,162.989,79.147%,79.147%,41524,1,ModifyGraphWithDelegate/0
AllocateTensors,42.943,42.943,20.853%,100%,22308,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,162.989,162.989,79.147%,79.147%,41524,1,ModifyGraphWithDelegate/0
AllocateTensors,42.943,42.943,20.853%,100%,22308,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,162.989,79.147%,79.147%,41524,1
AllocateTensors,1,42.943,20.853%,100%,22308,1

Timings (microseconds): count=1 curr=205932
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",3.254,1.97126,0.525459%,0.525459%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
Sigmoid (NC),1.073,1.11782,0.297966%,0.823424%,0,1,Delegate/Sigmoid (NC):1
Multiply (ND),0.786,0.71562,0.190755%,1.01418%,0,1,Delegate/Multiply (ND):2
"Fully Connected (NC, F32) GEMM",2.431,2.3731,0.632573%,1.64675%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:3
Sigmoid (NC),4.27,4.31262,1.14957%,2.79632%,0,1,Delegate/Sigmoid (NC):4
Multiply (ND),3.248,3.27926,0.874119%,3.67044%,0,1,Delegate/Multiply (ND):5
"Convolution (NHWC, F32) DWConv",8.343,8.2689,2.20416%,5.8746%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:6
Sigmoid (NC),4.301,4.27808,1.14036%,7.01496%,0,1,Delegate/Sigmoid (NC):7
Multiply (ND),3.256,3.29026,0.877051%,7.89201%,0,1,Delegate/Multiply (ND):8
"Fully Connected (NC, F32) GEMM",3.114,3.12262,0.832365%,8.72438%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:9
"Fully Connected (NC, F32) GEMM",6.382,6.41898,1.71104%,10.4354%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:10
Sigmoid (NC),8.552,8.48682,2.26224%,12.6977%,0,1,Delegate/Sigmoid (NC):11
Multiply (ND),6.64,6.52576,1.73951%,14.4372%,0,1,Delegate/Multiply (ND):12
"Convolution (NHWC, F32) DWConv",11.379,11.3713,3.03114%,17.4683%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:13
Sigmoid (NC),2.184,2.1634,0.576675%,18.045%,0,1,Delegate/Sigmoid (NC):14
Multiply (ND),1.53,1.58424,0.422295%,18.4673%,0,1,Delegate/Multiply (ND):15
"Fully Connected (NC, F32) GEMM",3.124,3.11968,0.831581%,19.2989%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:16
"Fully Connected (NC, F32) GEMM",6.278,6.27414,1.67243%,20.9713%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:17
Sigmoid (NC),4.235,4.27962,1.14077%,22.1121%,0,1,Delegate/Sigmoid (NC):18
Multiply (ND),3.278,3.26032,0.86907%,22.9811%,0,1,Delegate/Multiply (ND):19
"Convolution (NHWC, F32) DWConv",13.175,13.1779,3.51271%,26.4938%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:20
Sigmoid (NC),4.285,4.2934,1.14445%,27.6383%,0,1,Delegate/Sigmoid (NC):21
Multiply (ND),3.322,3.2534,0.867226%,28.5055%,0,1,Delegate/Multiply (ND):22
"Fully Connected (NC, F32) GEMM",7.545,7.47858,1.99349%,30.499%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:23
Add (ND),0.819,0.83374,0.222242%,30.7212%,0,1,Delegate/Add (ND):24
"Fully Connected (NC, F32) GEMM",6.359,6.28794,1.67611%,32.3974%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:25
Sigmoid (NC),4.272,4.26058,1.1357%,33.5331%,0,1,Delegate/Sigmoid (NC):26
Multiply (ND),3.248,3.29608,0.878602%,34.4117%,0,1,Delegate/Multiply (ND):27
"Convolution (NHWC, F32) DWConv",13.302,13.2866,3.54167%,37.9533%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:28
Sigmoid (NC),4.242,4.27896,1.1406%,39.0939%,0,1,Delegate/Sigmoid (NC):29
Multiply (ND),3.292,3.27134,0.872008%,39.9659%,0,1,Delegate/Multiply (ND):30
"Fully Connected (NC, F32) GEMM",7.838,7.42792,1.97998%,41.9459%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:31
Add (ND),0.745,0.81814,0.218083%,42.164%,0,1,Delegate/Add (ND):32
"Fully Connected (NC, F32) GEMM",6.31,6.2799,1.67397%,43.838%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:33
Sigmoid (NC),4.218,4.2464,1.13192%,44.9699%,0,1,Delegate/Sigmoid (NC):34
Multiply (ND),3.257,3.29946,0.879503%,45.8494%,0,1,Delegate/Multiply (ND):35
"Convolution (NHWC, F32) DWConv",6.46,6.42868,1.71363%,47.563%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:36
Sigmoid (NC),1.171,1.12084,0.298771%,47.8618%,0,1,Delegate/Sigmoid (NC):37
Multiply (ND),0.713,0.7239,0.192963%,48.0548%,0,1,Delegate/Multiply (ND):38
"Fully Connected (NC, F32) GEMM",2.576,2.62016,0.698429%,48.7532%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:39
"Convolution (NHWC, F32) IGEMM",6.557,6.49768,1.73202%,50.4852%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:40
Sigmoid (NC),0.424,0.45088,0.120186%,50.6054%,0,1,Delegate/Sigmoid (NC):41
Multiply (ND),0.156,0.16866,0.044958%,50.6504%,0,1,Delegate/Multiply (ND):42
"Fully Connected (NC, F32) GEMM",1.186,1.16866,0.311518%,50.9619%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:43
"Transpose (ND, X32) Transpose",0.652,0.69396,0.184982%,51.1469%,0,1,Delegate/Transpose (ND	 X32) Transpose:44
Static Reshape (NC),0.004,0.00254,0.000677062%,51.1475%,0,1,Delegate/Static Reshape (NC):45
"Transpose (ND, X32) Transpose",0.535,0.5553,0.148021%,51.2955%,0,1,Delegate/Transpose (ND	 X32) Transpose:46
Static Reshape (NC),0.001,0.00142,0.000378515%,51.2959%,0,1,Delegate/Static Reshape (NC):47
"Transpose (ND, X32) Transpose",0.991,1.00124,0.26689%,51.5628%,0,1,Delegate/Transpose (ND	 X32) Transpose:48
Static Reshape (NC),0.25,0.26308,0.0701265%,51.6329%,0,1,Delegate/Static Reshape (NC):49
Static Reshape (NC),0.207,0.18602,0.0495854%,51.6825%,0,1,Delegate/Static Reshape (NC):50
Mean (ND) Reduce,0.167,0.17318,0.0461628%,51.7287%,0,1,Delegate/Mean (ND) Reduce:51
Static Reshape (NC),0.004,0.00426,0.00113554%,51.7298%,0,1,Delegate/Static Reshape (NC):52
Squared Difference (ND),0.199,0.18914,0.0504171%,51.7802%,0,1,Delegate/Squared Difference (ND):53
Mean (ND) Reduce,0.16,0.15034,0.0400746%,51.8203%,0,1,Delegate/Mean (ND) Reduce:54
Add (ND),0.006,0.00778,0.00207383%,51.8224%,0,1,Delegate/Add (ND):55
Reciprocal Square Root (NC),0.019,0.0193,0.0051446%,51.8275%,0,1,Delegate/Reciprocal Square Root (NC):56
Multiply (ND),0.015,0.0212,0.00565107%,51.8332%,0,1,Delegate/Multiply (ND):57
Subtract (ND),0.005,0.00554,0.00147674%,51.8347%,0,1,Delegate/Subtract (ND):58
Static Reshape (NC),0.002,0.00216,0.000575769%,51.8352%,0,1,Delegate/Static Reshape (NC):59
Multiply (ND),0.158,0.16448,0.0438437%,51.8791%,0,1,Delegate/Multiply (ND):60
Static Reshape (NC),0.001,0.00116,0.000309209%,51.8794%,0,1,Delegate/Static Reshape (NC):61
Add (ND),0.139,0.11378,0.0303292%,51.9097%,0,1,Delegate/Add (ND):62
