Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,118.915,118.915,79.4584%,79.4584%,45324,1,ModifyGraphWithDelegate/0
AllocateTensors,30.742,30.742,20.5416%,100%,7976,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,118.915,118.915,79.4584%,79.4584%,45324,1,ModifyGraphWithDelegate/0
AllocateTensors,30.742,30.742,20.5416%,100%,7976,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,118.915,79.4584%,79.4584%,45324,1
AllocateTensors,1,30.742,20.5416%,100%,7976,1

Timings (microseconds): count=1 curr=149657
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",2.552,1.89962,1.4277%,1.4277%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
"Convolution (NHWC, F32) IGEMM",3.138,3.17266,2.38448%,3.81219%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:1
"Convolution (NHWC, F32) DWConv",0.696,0.67104,0.504335%,4.31652%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:2
"Fully Connected (NC, F32) GEMM",2.625,2.68598,2.01871%,6.33523%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:3
GELU (NC),3.017,2.9134,2.18963%,8.52486%,0,1,Delegate/GELU (NC):4
"Fully Connected (NC, F32) GEMM",3.483,3.55088,2.66874%,11.1936%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:5
Add (ND),0.424,0.45148,0.33932%,11.5329%,0,1,Delegate/Add (ND):6
"Convolution (NHWC, F32) DWConv",0.657,0.67234,0.505312%,12.0382%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:7
"Fully Connected (NC, F32) GEMM",2.658,2.6652,2.00309%,14.0413%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:8
GELU (NC),2.88,2.9222,2.19624%,16.2376%,0,1,Delegate/GELU (NC):9
"Fully Connected (NC, F32) GEMM",3.504,3.52142,2.6466%,18.8842%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:10
Add (ND),0.485,0.4591,0.345047%,19.2292%,0,1,Delegate/Add (ND):11
"Convolution (NHWC, F32) DWConv",0.679,0.64806,0.487064%,19.7163%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:12
"Fully Connected (NC, F32) GEMM",0.652,0.6675,0.501675%,20.218%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:13
GELU (NC),0.746,0.74116,0.557035%,20.775%,0,1,Delegate/GELU (NC):14
"Fully Connected (NC, F32) GEMM",0.612,0.64176,0.482329%,21.2573%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:15
Add (ND),0.361,0.4071,0.305965%,21.5633%,0,1,Delegate/Add (ND):16
"Transpose (ND, X32) Transpose",0.436,0.47158,0.354426%,21.9177%,0,1,Delegate/Transpose (ND	 X32) Transpose:17
Static Reshape (NC),0.241,0.25696,0.193124%,22.1108%,0,1,Delegate/Static Reshape (NC):18
"Transpose (ND, X32) Transpose",0.813,0.77724,0.584152%,22.695%,0,1,Delegate/Transpose (ND	 X32) Transpose:19
"Fully Connected (NC, F32) GEMM",0.622,0.63842,0.479819%,23.1748%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:20
Abs (NC),0.228,0.2265,0.170231%,23.345%,0,1,Delegate/Abs (NC):21
Multiply (ND),0.183,0.17404,0.130804%,23.4758%,0,1,Delegate/Multiply (ND):22
Sum (ND) Reduce,0.156,0.15772,0.118538%,23.5944%,0,1,Delegate/Sum (ND) Reduce:23
Square Root (NC),0.008,0.00884,0.0066439%,23.601%,0,1,Delegate/Square Root (NC):24
Maximum (ND),0.038,0.03008,0.0226073%,23.6236%,0,1,Delegate/Maximum (ND):25
Static Reshape (NC),0.001,0.00128,0.000962013%,23.6246%,0,1,Delegate/Static Reshape (NC):26
Divide (ND),0.23,0.22346,0.167946%,23.7925%,0,1,Delegate/Divide (ND):27
"Fully Connected (NC, F32) GEMM",0.639,0.64492,0.484704%,24.2772%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:28
Abs (NC),0.195,0.2128,0.159935%,24.4372%,0,1,Delegate/Abs (NC):29
Multiply (ND),0.125,0.12476,0.0937662%,24.5309%,0,1,Delegate/Multiply (ND):30
Sum (ND) Reduce,0.151,0.1386,0.104168%,24.6351%,0,1,Delegate/Sum (ND) Reduce:31
Square Root (NC),0.007,0.00734,0.00551654%,24.6406%,0,1,Delegate/Square Root (NC):32
Maximum (ND),0.006,0.01818,0.0136636%,24.6543%,0,1,Delegate/Maximum (ND):33
Static Reshape (NC),0.001,0.00104,0.000781635%,24.6551%,0,1,Delegate/Static Reshape (NC):34
Divide (ND),0.19,0.19708,0.14812%,24.8032%,0,1,Delegate/Divide (ND):35
"Fully Connected (NC, F32) GEMM",0.195,0.20268,0.152329%,24.9555%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:36
Abs (NC),0.009,0.02924,0.021976%,24.9775%,0,1,Delegate/Abs (NC):37
Multiply (ND),0.006,0.0126,0.00946981%,24.987%,0,1,Delegate/Multiply (ND):38
Sum (ND) Reduce,0.038,0.03674,0.0276128%,25.0146%,0,1,Delegate/Sum (ND) Reduce:39
Square Root (NC),0.002,0.00184,0.00138289%,25.016%,0,1,Delegate/Square Root (NC):40
Static Reshape (NC),0.001,0.00034,0.000255535%,25.0162%,0,1,Delegate/Static Reshape (NC):41
Maximum (ND),0.002,0.00264,0.00198415%,25.0182%,0,1,Delegate/Maximum (ND):42
Divide (ND),0.029,0.03142,0.0236144%,25.0418%,0,1,Delegate/Divide (ND):43
Multiply (ND),0.283,0.2499,0.187818%,25.2296%,0,1,Delegate/Multiply (ND):44
Sum (ND) Reduce,0.388,0.4218,0.317013%,25.5466%,0,1,Delegate/Sum (ND) Reduce:45
Multiply (ND),0.223,0.24274,0.182437%,25.7291%,0,1,Delegate/Multiply (ND):46
Static Reshape (NC),0.001,0.00144,0.00108226%,25.7302%,0,1,Delegate/Static Reshape (NC):47
"Fully Connected (NC, F32) GEMM",0.629,0.64482,0.484629%,26.2148%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:48
Add (ND),0.38,0.34302,0.257804%,26.4726%,0,1,Delegate/Add (ND):49
"Fully Connected (NC, F32) GEMM",0.609,0.65146,0.489619%,26.9622%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:50
"Transpose (ND, X32) Transpose",0.381,0.37676,0.283162%,27.2454%,0,1,Delegate/Transpose (ND	 X32) Transpose:51
Static Reshape (NC),0.002,0.00196,0.00147308%,27.2469%,0,1,Delegate/Static Reshape (NC):52
Multiply (ND),0.158,0.1553,0.116719%,27.3636%,0,1,Delegate/Multiply (ND):53
Add (ND),0.486,0.50566,0.38004%,27.7436%,0,1,Delegate/Add (ND):54
Subtract (ND),0.256,0.25466,0.191395%,27.935%,0,1,Delegate/Subtract (ND):55
Multiply (ND),0.134,0.14472,0.108768%,28.0438%,0,1,Delegate/Multiply (ND):56
Multiply (ND),0.07,0.07878,0.0592089%,28.103%,0,1,Delegate/Multiply (ND):57
Add (ND),0.055,0.05704,0.0428697%,28.1459%,0,1,Delegate/Add (ND):58
"Transpose (ND, X32) Transpose",0.574,0.5062,0.380446%,28.5263%,0,1,Delegate/Transpose (ND	 X32) Transpose:59
"Fully Connected (NC, F32) GEMM",2.731,2.69276,2.0238%,30.5501%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:60
GELU (NC),2.828,2.9452,2.21353%,32.7636%,0,1,Delegate/GELU (NC):61
"Fully Connected (NC, F32) GEMM",3.519,3.52318,2.64792%,35.4116%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:62
"Transpose (ND, X32) Transpose",0.584,0.57166,0.429644%,35.8412%,0,1,Delegate/Transpose (ND	 X32) Transpose:63
Add (ND),0.376,0.36188,0.271979%,36.1132%,0,1,Delegate/Add (ND):64
"Transpose (ND, X32) Transpose",0.678,0.66546,0.500141%,36.6133%,0,1,Delegate/Transpose (ND	 X32) Transpose:65
"Convolution (NHWC, F32) IGEMM",1.912,1.93454,1.45395%,38.0673%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:66
"Convolution (NHWC, F32) DWConv",0.211,0.22044,0.165677%,38.2329%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:67
"Fully Connected (NC, F32) GEMM",1.115,1.14618,0.861437%,39.0944%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:68
GELU (NC),0.934,0.94958,0.713678%,39.8081%,0,1,Delegate/GELU (NC):69
"Fully Connected (NC, F32) GEMM",1.362,1.34376,1.00993%,40.818%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:70
Add (ND),0.143,0.12472,0.0937361%,40.9117%,0,1,Delegate/Add (ND):71
"Convolution (NHWC, F32) DWConv",0.207,0.2113,0.158807%,41.0705%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:72
"Fully Connected (NC, F32) GEMM",1.073,1.11418,0.837387%,41.9079%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:73
GELU (NC),0.946,0.9866,0.741501%,42.6494%,0,1,Delegate/GELU (NC):74
"Fully Connected (NC, F32) GEMM",1.355,1.3467,1.01214%,43.6616%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:75
Add (ND),0.144,0.1198,0.0900384%,43.7516%,0,1,Delegate/Add (ND):76
"Convolution (NHWC, F32) DWConv",0.203,0.21026,0.158026%,43.9096%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:77
