Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,72.022,72.022,65.7081%,65.7081%,25688,1,ModifyGraphWithDelegate/0
AllocateTensors,37.587,37.587,34.2919%,100%,7972,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,72.022,72.022,65.7081%,65.7081%,25688,1,ModifyGraphWithDelegate/0
AllocateTensors,37.587,37.587,34.2919%,100%,7972,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,72.022,65.7081%,65.7081%,25688,1
AllocateTensors,1,37.587,34.2919%,100%,7972,1

Timings (microseconds): count=1 curr=109609
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",2.335,1.9237,1.97861%,1.97861%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
"Convolution (NHWC, F32) IGEMM",3.986,3.28432,3.37807%,5.35668%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:1
"Convolution (NHWC, F32) DWConv",0.713,0.76748,0.789387%,6.14606%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:2
"Fully Connected (NC, F32) GEMM",2.645,2.85164,2.93304%,9.0791%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:3
GELU (NC),2.876,2.91452,2.99771%,12.0768%,0,1,Delegate/GELU (NC):4
"Fully Connected (NC, F32) GEMM",3.593,3.6591,3.76354%,15.8404%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:5
Add (ND),0.403,0.42602,0.43818%,16.2785%,0,1,Delegate/Add (ND):6
"Convolution (NHWC, F32) DWConv",0.675,0.79156,0.814154%,17.0927%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:7
"Fully Connected (NC, F32) GEMM",4.108,2.77156,2.85067%,19.9434%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:8
GELU (NC),2.825,2.95166,3.03591%,22.9793%,0,1,Delegate/GELU (NC):9
"Fully Connected (NC, F32) GEMM",3.587,3.72388,3.83017%,26.8094%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:10
Add (ND),0.423,0.46904,0.482428%,27.2919%,0,1,Delegate/Add (ND):11
"Convolution (NHWC, F32) DWConv",0.669,0.67974,0.699142%,27.991%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:12
"Fully Connected (NC, F32) GEMM",0.658,0.71524,0.735656%,28.7267%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:13
GELU (NC),0.736,0.7719,0.793933%,29.5206%,0,1,Delegate/GELU (NC):14
"Fully Connected (NC, F32) GEMM",0.599,0.62608,0.643951%,30.1646%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:15
Add (ND),0.418,0.44014,0.452703%,30.6173%,0,1,Delegate/Add (ND):16
"Transpose (ND, X32) Transpose",0.474,0.49018,0.504172%,31.1214%,0,1,Delegate/Transpose (ND	 X32) Transpose:17
Static Reshape (NC),0.255,0.25886,0.266249%,31.3877%,0,1,Delegate/Static Reshape (NC):18
"Transpose (ND, X32) Transpose",0.789,0.79496,0.817651%,32.2053%,0,1,Delegate/Transpose (ND	 X32) Transpose:19
"Fully Connected (NC, F32) GEMM",0.612,0.65712,0.675877%,32.8812%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:20
Abs (NC),0.192,0.20224,0.208013%,33.0892%,0,1,Delegate/Abs (NC):21
Multiply (ND),0.189,0.18494,0.190219%,33.2794%,0,1,Delegate/Multiply (ND):22
Sum (ND) Reduce,0.14,0.17328,0.178226%,33.4577%,0,1,Delegate/Sum (ND) Reduce:23
Square Root (NC),0.007,0.01336,0.0137413%,33.4714%,0,1,Delegate/Square Root (NC):24
Maximum (ND),0.005,0.01192,0.0122602%,33.4837%,0,1,Delegate/Maximum (ND):25
Static Reshape (NC),0.001,0.00108,0.00111083%,33.4848%,0,1,Delegate/Static Reshape (NC):26
Divide (ND),0.21,0.22786,0.234364%,33.7191%,0,1,Delegate/Divide (ND):27
