Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,3530.55,1765.43,99.2535%,99.2535%,0,2,ModifyGraphWithDelegate/0
AllocateTensors,26.555,26.555,0.746471%,100%,13428,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,3530.55,1765.43,99.2535%,99.2535%,0,2,ModifyGraphWithDelegate/0
AllocateTensors,26.555,26.555,0.746471%,100%,13428,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,3530.85,99.2535%,99.2535%,0,2
AllocateTensors,1,26.555,0.746471%,100%,13428,1

Timings (microseconds): count=1 curr=3557406
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",4.334,3.10402,0.538404%,0.538404%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
GELU (NC),2.835,2.88658,0.500688%,1.03909%,0,1,Delegate/GELU (NC):1
"Convolution (NHWC, F32) IGEMM",11.064,11.0894,1.92351%,2.9626%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:2
"Fully Connected (NC, F32) GEMM",10.417,10.4911,1.81972%,4.78232%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:3
GELU (NC),5.82,5.73108,0.994078%,5.77639%,0,1,Delegate/GELU (NC):4
"Convolution (NHWC, F32) DWConv",13.383,13.4124,2.32643%,8.10282%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:5
GELU (NC),5.761,5.69166,0.98724%,9.09006%,0,1,Delegate/GELU (NC):6
"Fully Connected (NC, F32) GEMM",9.417,9.16234,1.58924%,10.6793%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:7
Add (ND),0.873,0.87876,0.152424%,10.8317%,0,1,Delegate/Add (ND):8
GELU (NC),1.491,1.56136,0.270824%,11.1026%,0,1,Delegate/GELU (NC):9
"Fully Connected (NC, F32) GEMM",10.475,10.5351,1.82735%,12.9299%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:10
GELU (NC),5.616,5.74234,0.996031%,13.9259%,0,1,Delegate/GELU (NC):11
"Convolution (NHWC, F32) DWConv",12.062,6.37678,2.21215%,16.1381%,0,2,Delegate/Convolution (NHWC	 F32) DWConv:12
GELU (NC),5.641,5.71628,0.991511%,17.1296%,0,1,Delegate/GELU (NC):13
"Fully Connected (NC, F32) GEMM",9.126,9.16822,1.59026%,18.7199%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:14
Add (ND),0.892,0.8822,0.153021%,18.8729%,0,1,Delegate/Add (ND):15
GELU (NC),1.407,1.47546,0.255924%,19.1288%,0,1,Delegate/GELU (NC):16
"Fully Connected (NC, F32) GEMM",5.206,5.2737,0.914744%,20.0435%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:17
GELU (NC),2.813,2.86326,0.496643%,20.5402%,0,1,Delegate/GELU (NC):18
"Convolution (NHWC, F32) DWConv",3.068,3.1248,0.542009%,21.0822%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:19
GELU (NC),0.733,0.73034,0.12668%,21.2089%,0,1,Delegate/GELU (NC):20
"Fully Connected (NC, F32) GEMM",2.467,2.49636,0.433003%,21.6419%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:21
Static Reshape (NC),0.314,0.32212,0.055873%,21.6978%,0,1,Delegate/Static Reshape (NC):22
"Transpose (ND, X32) Transpose",0.248,0.24874,0.0431449%,21.7409%,0,1,Delegate/Transpose (ND	 X32) Transpose:23
Static Reshape (NC),0.201,0.09827,0.0340906%,21.775%,0,2,Delegate/Static Reshape (NC):24
Mean (ND) Reduce,0.158,0.1681,0.0291576%,21.8042%,0,1,Delegate/Mean (ND) Reduce:25
Static Reshape (NC),0.004,0.00226,0.000784011%,21.8049%,0,2,Delegate/Static Reshape (NC):26
Squared Difference (ND),0.2,0.20642,0.0358043%,21.8407%,0,1,Delegate/Squared Difference (ND):27
Mean (ND) Reduce,0.168,0.15838,0.0274716%,21.8682%,0,1,Delegate/Mean (ND) Reduce:28
Add (ND),0.006,0.01342,0.00232775%,21.8705%,0,1,Delegate/Add (ND):29
