Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,15148.3,15148.3,99.8938%,99.8938%,673816,1,ModifyGraphWithDelegate/0
AllocateTensors,16.101,16.101,0.106177%,100%,6068,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,15148.3,15148.3,99.8938%,99.8938%,673816,1,ModifyGraphWithDelegate/0
AllocateTensors,16.101,16.101,0.106177%,100%,6068,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,15148.3,99.8938%,99.8938%,673816,1
AllocateTensors,1,16.101,0.106177%,100%,6068,1

Timings (microseconds): count=1 curr=15164364
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",28.332,28.2726,1.45332%,1.45332%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
"Transpose (ND, X32) Transpose",0.76,0.77274,0.0397218%,1.49304%,0,1,Delegate/Transpose (ND	 X32) Transpose:1
Static Reshape (NC),0.001,0.00194,9.97234e-05%,1.49314%,0,1,Delegate/Static Reshape (NC):2
"Transpose (ND, X32) Transpose",0.708,0.71646,0.0368288%,1.52997%,0,1,Delegate/Transpose (ND	 X32) Transpose:3
"Copy (NC, X32)",0.232,0.23416,0.0120367%,1.54201%,0,1,Delegate/Copy (NC	 X32):4
Add (ND),0.437,0.43604,0.0224141%,1.56442%,0,1,Delegate/Add (ND):5
Mean (ND) Reduce,0.118,0.1124,0.00577779%,1.5702%,0,1,Delegate/Mean (ND) Reduce:6
Static Reshape (NC),0.003,0.0031,0.000159352%,1.57036%,0,1,Delegate/Static Reshape (NC):7
Squared Difference (ND),0.147,0.14948,0.00768384%,1.57804%,0,1,Delegate/Squared Difference (ND):8
Mean (ND) Reduce,0.132,0.13944,0.00716774%,1.58521%,0,1,Delegate/Mean (ND) Reduce:9
Add (ND),0.004,0.01168,0.000600396%,1.58581%,0,1,Delegate/Add (ND):10
Reciprocal Square Root (NC),0.005,0.0057,0.000293002%,1.5861%,0,1,Delegate/Reciprocal Square Root (NC):11
Multiply (ND),0.045,0.04482,0.00230392%,1.58841%,0,1,Delegate/Multiply (ND):12
Subtract (ND),0.016,0.0146,0.000750495%,1.58916%,0,1,Delegate/Subtract (ND):13
Static Reshape (NC),0.002,0.00198,0.00010178%,1.58926%,0,1,Delegate/Static Reshape (NC):14
Multiply (ND),0.167,0.16348,0.00840349%,1.59766%,0,1,Delegate/Multiply (ND):15
Static Reshape (NC),0.001,0.00112,5.75722e-05%,1.59772%,0,1,Delegate/Static Reshape (NC):16
Add (ND),0.152,0.1622,0.00833769%,1.60606%,0,1,Delegate/Add (ND):17
"Fully Connected (NC, F32) GEMM",30.365,30.3115,1.55813%,3.16419%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:18
Static Reshape (NC),0.003,0.0031,0.000159352%,3.16434%,0,1,Delegate/Static Reshape (NC):19
"Transpose (ND, X32) Transpose",1.085,1.1062,0.0568629%,3.22121%,0,1,Delegate/Transpose (ND	 X32) Transpose:20
"Slice (ND, X32)",0.416,0.41568,0.0213675%,3.24257%,0,1,Delegate/Slice (ND	 X32):21
"Slice (ND, X32)",0.435,0.44488,0.0228685%,3.26544%,0,1,Delegate/Slice (ND	 X32):22
"Slice (ND, X32)",0.534,0.49984,0.0256937%,3.29114%,0,1,Delegate/Slice (ND	 X32):23
Static Reshape (NC),0.002,0.00124,6.37407e-05%,3.2912%,0,1,Delegate/Static Reshape (NC):24
Static Reshape (NC),0.001,0.00112,5.75722e-05%,3.29126%,0,1,Delegate/Static Reshape (NC):25
Multiply (ND),0.234,0.23376,0.0120162%,3.30327%,0,1,Delegate/Multiply (ND):26
Multiply (ND),0.245,0.24056,0.0123657%,3.31564%,0,1,Delegate/Multiply (ND):27
"Transpose (ND, X32) Transpose",0.464,0.48288,0.0248219%,3.34046%,0,1,Delegate/Transpose (ND	 X32) Transpose:28
Static Reshape (NC),0.002,0.00202,0.000103836%,3.34057%,0,1,Delegate/Static Reshape (NC):29
Static Reshape (NC),0,0.0009,4.62634e-05%,3.34061%,0,1,Delegate/Static Reshape (NC):30
"Batch Matrix Multiply (NC, F32) GEMM",3.416,3.43488,0.176566%,3.51718%,0,1,Delegate/Batch Matrix Multiply (NC	 F32) GEMM:31
Static Reshape (NC),0.003,0.00288,0.000148043%,3.51733%,0,1,Delegate/Static Reshape (NC):32
"Softmax (NC, F32)",1.834,1.90344,0.097844%,3.61517%,0,1,Delegate/Softmax (NC	 F32):33
Static Reshape (NC),0.002,0.00206,0.000105892%,3.61528%,0,1,Delegate/Static Reshape (NC):34
Static Reshape (NC),0.001,0.00106,5.4488e-05%,3.61533%,0,1,Delegate/Static Reshape (NC):35
"Batch Matrix Multiply (NC, F32) GEMM",3.966,4.0463,0.207995%,3.82333%,0,1,Delegate/Batch Matrix Multiply (NC	 F32) GEMM:36
Static Reshape (NC),0.002,0.00216,0.000111032%,3.82344%,0,1,Delegate/Static Reshape (NC):37
"Transpose (ND, X32) Transpose",0.366,0.3809,0.0195797%,3.84302%,0,1,Delegate/Transpose (ND	 X32) Transpose:38
Static Reshape (NC),0.001,0.00164,8.43022e-05%,3.8431%,0,1,Delegate/Static Reshape (NC):39
"Fully Connected (NC, F32) GEMM",10.542,10.5856,0.544142%,4.38724%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:40
Add (ND),0.364,0.35764,0.0183841%,4.40563%,0,1,Delegate/Add (ND):41
Mean (ND) Reduce,0.099,0.09748,0.00501084%,4.41064%,0,1,Delegate/Mean (ND) Reduce:42
Static Reshape (NC),0.003,0.00324,0.000166548%,4.4108%,0,1,Delegate/Static Reshape (NC):43
Squared Difference (ND),0.13,0.13288,0.00683054%,4.41763%,0,1,Delegate/Squared Difference (ND):44
Mean (ND) Reduce,0.106,0.10608,0.00545291%,4.42309%,0,1,Delegate/Mean (ND) Reduce:45
Add (ND),0.045,0.01128,0.000579835%,4.42367%,0,1,Delegate/Add (ND):46
Reciprocal Square Root (NC),0.007,0.00602,0.000309451%,4.42398%,0,1,Delegate/Reciprocal Square Root (NC):47
Multiply (ND),0.027,0.04054,0.00208391%,4.42606%,0,1,Delegate/Multiply (ND):48
Subtract (ND),0.016,0.01344,0.000690867%,4.42675%,0,1,Delegate/Subtract (ND):49
Static Reshape (NC),0.002,0.00186,9.56111e-05%,4.42685%,0,1,Delegate/Static Reshape (NC):50
Multiply (ND),0.162,0.16858,0.00866565%,4.43551%,0,1,Delegate/Multiply (ND):51
Static Reshape (NC),0.001,0.00112,5.75722e-05%,4.43557%,0,1,Delegate/Static Reshape (NC):52
Add (ND),0.172,0.16738,0.00860397%,4.44417%,0,1,Delegate/Add (ND):53
"Fully Connected (NC, F32) GEMM",41.832,41.5198,2.13428%,6.57845%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:54
GELU (NC),2.835,2.84598,0.146294%,6.72474%,0,1,Delegate/GELU (NC):55
Static Reshape (NC),0.002,0.00364,0.00018711%,6.72493%,0,1,Delegate/Static Reshape (NC):56
"Fully Connected (NC, F32) GEMM",61.111,61.2302,3.14746%,9.8724%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:57
Add (ND),0.37,0.3649,0.0187572%,9.89115%,0,1,Delegate/Add (ND):58
Mean (ND) Reduce,0.11,0.1059,0.00544366%,9.8966%,0,1,Delegate/Mean (ND) Reduce:59
Static Reshape (NC),0.003,0.00388,0.000199447%,9.8968%,0,1,Delegate/Static Reshape (NC):60
Squared Difference (ND),0.135,0.13058,0.00671231%,9.90351%,0,1,Delegate/Squared Difference (ND):61
Mean (ND) Reduce,0.1,0.10796,0.00554955%,9.90906%,0,1,Delegate/Mean (ND) Reduce:62
Add (ND),0.004,0.0178,0.000914987%,9.90997%,0,1,Delegate/Add (ND):63
Reciprocal Square Root (NC),0.006,0.00624,0.00032076%,9.91029%,0,1,Delegate/Reciprocal Square Root (NC):64
Multiply (ND),0.05,0.03732,0.00191839%,9.91221%,0,1,Delegate/Multiply (ND):65
