Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,408.164,408.164,97.1031%,97.1031%,177396,1,ModifyGraphWithDelegate/0
AllocateTensors,12.177,12.177,2.89693%,100%,820,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,408.164,408.164,97.1031%,97.1031%,177396,1,ModifyGraphWithDelegate/0
AllocateTensors,12.177,12.177,2.89693%,100%,820,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,408.164,97.1031%,97.1031%,177396,1
AllocateTensors,1,12.177,2.89693%,100%,820,1

Timings (microseconds): count=1 curr=420341
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",23.23,22.8333,14.8988%,14.8988%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
"Transpose (ND, X32) Transpose",0.085,0.1143,0.0745814%,14.9734%,0,1,Delegate/Transpose (ND	 X32) Transpose:1
Static Reshape (NC),0.001,0.0011,0.000717756%,14.9741%,0,1,Delegate/Static Reshape (NC):2
"Transpose (ND, X32) Transpose",0.047,0.06566,0.0428435%,15.017%,0,1,Delegate/Transpose (ND	 X32) Transpose:3
"Copy (NC, X32)",0.027,0.03062,0.0199797%,15.037%,0,1,Delegate/Copy (NC	 X32):4
Add (ND),0.033,0.03312,0.021611%,15.0586%,0,1,Delegate/Add (ND):5
Mean (ND) Reduce,0.016,0.01844,0.0120322%,15.0706%,0,1,Delegate/Mean (ND) Reduce:6
Static Reshape (NC),0.002,0.00164,0.00107011%,15.0717%,0,1,Delegate/Static Reshape (NC):7
Squared Difference (ND),0.019,0.02094,0.0136635%,15.0853%,0,1,Delegate/Squared Difference (ND):8
Mean (ND) Reduce,0.011,0.01106,0.00721671%,15.0926%,0,1,Delegate/Mean (ND) Reduce:9
Add (ND),0.003,0.00306,0.00199667%,15.0946%,0,1,Delegate/Add (ND):10
Reciprocal Square Root (NC),0.003,0.00302,0.00197057%,15.0965%,0,1,Delegate/Reciprocal Square Root (NC):11
Multiply (ND),0.03,0.03736,0.0243776%,15.1209%,0,1,Delegate/Multiply (ND):12
Subtract (ND),0.023,0.01876,0.012241%,15.1331%,0,1,Delegate/Subtract (ND):13
Static Reshape (NC),0.002,0.00192,0.00125281%,15.1344%,0,1,Delegate/Static Reshape (NC):14
Multiply (ND),0.026,0.02272,0.0148249%,15.1492%,0,1,Delegate/Multiply (ND):15
Static Reshape (NC),0.001,0.001,0.000652505%,15.1499%,0,1,Delegate/Static Reshape (NC):16
Add (ND),0.011,0.01294,0.00844342%,15.1583%,0,1,Delegate/Add (ND):17
"Fully Connected (NC, F32) GEMM",2.385,2.39322,1.56159%,16.7199%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:18
Static Reshape (NC),0.003,0.0031,0.00202277%,16.7219%,0,1,Delegate/Static Reshape (NC):19
"Transpose (ND, X32) Transpose",0.179,0.17768,0.115937%,16.8379%,0,1,Delegate/Transpose (ND	 X32) Transpose:20
"Slice (ND, X32)",0.02,0.02136,0.0139375%,16.8518%,0,1,Delegate/Slice (ND	 X32):21
"Slice (ND, X32)",0.022,0.02216,0.0144595%,16.8663%,0,1,Delegate/Slice (ND	 X32):22
"Slice (ND, X32)",0.022,0.02208,0.0144073%,16.8807%,0,1,Delegate/Slice (ND	 X32):23
Static Reshape (NC),0.001,0.00104,0.000678606%,16.8813%,0,1,Delegate/Static Reshape (NC):24
Static Reshape (NC),0.001,0.00104,0.000678606%,16.882%,0,1,Delegate/Static Reshape (NC):25
