Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,14.701,14.701,64.8421%,64.8421%,41728,1,ModifyGraphWithDelegate/0
AllocateTensors,7.971,7.971,35.1579%,100%,22140,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,14.701,14.701,64.8421%,64.8421%,41728,1,ModifyGraphWithDelegate/0
AllocateTensors,7.971,7.971,35.1579%,100%,22140,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,14.701,64.8421%,64.8421%,41728,1
AllocateTensors,1,7.971,35.1579%,100%,22140,1

Timings (microseconds): count=1 curr=22672
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",0.179,0.18272,0.301107%,0.301107%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
Sigmoid (NC),0.088,0.06045,0.0996165%,0.400724%,0,1,Delegate/Sigmoid (NC):1
Multiply (ND),0.034,0.02396,0.0394841%,0.440208%,0,1,Delegate/Multiply (ND):2
"Fully Connected (NC, F32) GEMM",0.352,0.31853,0.524911%,0.965119%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:3
Sigmoid (NC),0.245,0.24689,0.406854%,1.37197%,0,1,Delegate/Sigmoid (NC):4
Multiply (ND),0.133,0.15434,0.254339%,1.62631%,0,1,Delegate/Multiply (ND):5
"Convolution (NHWC, F32) DWConv",0.344,0.34735,0.572404%,2.19872%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:6
Sigmoid (NC),0.287,0.28806,0.474699%,2.67341%,0,1,Delegate/Sigmoid (NC):7
Multiply (ND),0.135,0.15852,0.261228%,2.93464%,0,1,Delegate/Multiply (ND):8
"Fully Connected (NC, F32) GEMM",0.797,0.76408,1.25914%,4.19378%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:9
"Fully Connected (NC, F32) GEMM",1.394,1.33412,2.19852%,6.3923%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:10
Sigmoid (NC),0.621,0.47975,0.790588%,7.18289%,0,1,Delegate/Sigmoid (NC):11
Multiply (ND),0.411,0.30338,0.499945%,7.68283%,0,1,Delegate/Multiply (ND):12
"Convolution (NHWC, F32) DWConv",0.346,0.21019,0.346375%,8.02921%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:13
Sigmoid (NC),0.222,0.14379,0.236954%,8.26616%,0,1,Delegate/Sigmoid (NC):14
Multiply (ND),0.099,0.07506,0.123693%,8.38985%,0,1,Delegate/Multiply (ND):15
"Fully Connected (NC, F32) GEMM",1.257,0.84158,1.38685%,9.77671%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:16
"Fully Connected (NC, F32) GEMM",2.186,1.52043,2.50554%,12.2822%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:17
Sigmoid (NC),0.342,0.24172,0.398334%,12.6806%,0,1,Delegate/Sigmoid (NC):18
Multiply (ND),0.188,0.14875,0.245128%,12.9257%,0,1,Delegate/Multiply (ND):19
"Convolution (NHWC, F32) DWConv",0.299,0.31315,0.516045%,13.4418%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:20
Sigmoid (NC),0.296,0.24572,0.404926%,13.8467%,0,1,Delegate/Sigmoid (NC):21
Multiply (ND),0.183,0.14983,0.246907%,14.0936%,0,1,Delegate/Multiply (ND):22
"Fully Connected (NC, F32) GEMM",1.654,1.74388,2.87377%,16.9674%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:23
Add (ND),0.065,0.05065,0.083467%,17.0508%,0,1,Delegate/Add (ND):24
