Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,77.73,38.87,90.7383%,90.7383%,0,2,ModifyGraphWithDelegate/0
AllocateTensors,7.935,7.935,9.26174%,100%,24832,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,77.73,38.87,90.7383%,90.7383%,0,2,ModifyGraphWithDelegate/0
AllocateTensors,7.935,7.935,9.26174%,100%,24832,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,77.74,90.7383%,90.7383%,0,2
AllocateTensors,1,7.935,9.26175%,100%,24832,1

Timings (microseconds): count=1 curr=85675
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",1.563,1.56819,3.20663%,3.20663%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
PADV2,0.095,0.10461,0.213906%,3.42054%,0,1,[ai_edge_torch._convert.to_channel_last_io.ChannelLastIOWrapper/timm.models.resnet.ResNet_wrapped/torch.nn.modules.pooling.MaxPool2d_maxpool;]:2
"Max Pooling (NHWC, F32)",0.037,0.04196,0.0857998%,3.50634%,0,1,Delegate/Max Pooling (NHWC	 F32):0
"Fully Connected (NC, F32) GEMM",0.095,0.10252,0.209633%,3.71597%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:1
"Convolution (NHWC, F32) IGEMM",1.56,1.53484,3.13844%,6.85441%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:2
"Fully Connected (NC, F32) GEMM",0.393,0.40646,0.831129%,7.68554%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:3
"Fully Connected (NC, F32) GEMM",0.392,0.39768,0.813176%,8.49872%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:4
Add (ND),0.056,0.07219,0.147614%,8.64633%,0,1,Delegate/Add (ND):5
Clamp (NC),0.047,0.05485,0.112157%,8.75849%,0,1,Delegate/Clamp (NC):6
"Fully Connected (NC, F32) GEMM",0.403,0.3993,0.816488%,9.57497%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:7
"Convolution (NHWC, F32) IGEMM",1.613,1.54131,3.15167%,12.7266%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:8
"Fully Connected (NC, F32) GEMM",0.402,0.40373,0.825547%,13.5522%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:9
Add (ND),0.084,0.05901,0.120664%,13.6729%,0,1,Delegate/Add (ND):10
Clamp (NC),0.093,0.08122,0.166079%,13.8389%,0,1,Delegate/Clamp (NC):11
"Fully Connected (NC, F32) GEMM",0.411,0.40819,0.834666%,14.6736%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:12
"Convolution (NHWC, F32) IGEMM",1.664,1.54339,3.15592%,17.8295%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:13
"Fully Connected (NC, F32) GEMM",0.464,0.40189,0.821784%,18.6513%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:14
Add (ND),0.085,0.06127,0.125285%,18.7766%,0,1,Delegate/Add (ND):15
Clamp (NC),0.096,0.07816,0.159821%,18.9364%,0,1,Delegate/Clamp (NC):16
"Fully Connected (NC, F32) GEMM",0.93,0.80339,1.64277%,20.5792%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:17
"Convolution (NHWC, F32) IGEMM",1.553,1.56757,3.20537%,23.7845%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:18
"Fully Connected (NC, F32) GEMM",0.388,0.40515,0.82845%,24.613%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:19
"Convolution (NHWC, F32) IGEMM",1.34,1.35724,2.77528%,27.3883%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:20
Add (ND),0.029,0.02462,0.0503429%,27.4386%,0,1,Delegate/Add (ND):21
Clamp (NC),0.029,0.0164,0.0335347%,27.4722%,0,1,Delegate/Clamp (NC):22
"Fully Connected (NC, F32) GEMM",0.49,0.41231,0.843091%,28.3152%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:23
"Convolution (NHWC, F32) IGEMM",1.575,1.57444,3.21941%,31.5347%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:24
"Fully Connected (NC, F32) GEMM",0.454,0.41439,0.847344%,32.382%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:25
Add (ND),0.041,0.02468,0.0504656%,32.4325%,0,1,Delegate/Add (ND):26
Clamp (NC),0.035,0.03875,0.0792359%,32.5117%,0,1,Delegate/Clamp (NC):27
"Fully Connected (NC, F32) GEMM",0.479,0.40163,0.821252%,33.333%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:28
"Convolution (NHWC, F32) IGEMM",1.866,1.58714,3.24538%,36.5783%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:29
"Fully Connected (NC, F32) GEMM",0.396,0.41863,0.856014%,37.4344%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:30
Add (ND),0.031,0.02696,0.0551278%,37.4895%,0,1,Delegate/Add (ND):31
Clamp (NC),0.041,0.03886,0.0794609%,37.5689%,0,1,Delegate/Clamp (NC):32
"Fully Connected (NC, F32) GEMM",0.42,0.40334,0.824749%,38.3937%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:33
"Convolution (NHWC, F32) IGEMM",1.786,1.58184,3.23454%,41.6282%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:34
"Fully Connected (NC, F32) GEMM",0.46,0.41791,0.854542%,42.4828%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:35
Add (ND),0.035,0.0279,0.0570499%,42.5398%,0,1,Delegate/Add (ND):36
Clamp (NC),0.034,0.03929,0.0803401%,42.6202%,0,1,Delegate/Clamp (NC):37
"Fully Connected (NC, F32) GEMM",0.811,0.82089,1.67855%,44.2987%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:38
"Convolution (NHWC, F32) IGEMM",1.567,1.66895,3.41267%,47.7114%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:39
"Fully Connected (NC, F32) GEMM",0.475,0.46654,0.95398%,48.6654%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:40
"Convolution (NHWC, F32) IGEMM",1.394,1.43251,2.92919%,51.5946%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:41
