Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,42.582,42.582,93.5683%,93.5683%,18944,1,ModifyGraphWithDelegate/0
AllocateTensors,2.927,2.927,6.43169%,100%,2304,1,AllocateTensors/0

============================== Top by Computation Time ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
ModifyGraphWithDelegate,42.582,42.582,93.5683%,93.5683%,18944,1,ModifyGraphWithDelegate/0
AllocateTensors,2.927,2.927,6.43169%,100%,2304,1,AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type,count,avg_ms,avg %,cdf %,mem KB,times called
ModifyGraphWithDelegate,1,42.582,93.5683%,93.5683%,18944,1
AllocateTensors,1,2.927,6.43169%,100%,2304,1

Timings (microseconds): count=1 curr=45509
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type,first,avg_ms,%,cdf%,mem KB,times called,name
"Convolution (NHWC, F32) IGEMM",0.192,0.1981,9.45494%,9.45494%,0,1,Delegate/Convolution (NHWC	 F32) IGEMM:0
HardSwish (NC),0.016,0.0365,1.74208%,11.197%,0,1,Delegate/HardSwish (NC):1
"Convolution (NHWC, F32) DWConv",0.017,0.0257,1.22661%,12.4236%,0,1,Delegate/Convolution (NHWC	 F32) DWConv:2
Sum (ND) Reduce,0.012,0.0137,0.653876%,13.0775%,0,1,Delegate/Sum (ND) Reduce:3
Multiply (ND),0,0,0%,13.0775%,0,1,Delegate/Multiply (ND):4
Static Reshape (NC),0,0,0%,13.0775%,0,1,Delegate/Static Reshape (NC):5
"Fully Connected (NC, F32) GEMM",0,0,0%,13.0775%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:6
"Fully Connected (NC, F32) GEMM",0,0,0%,13.0775%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:7
Multiply (ND),0,0,0%,13.0775%,0,1,Delegate/Multiply (ND):8
Multiply (ND),0.008,0.029,1.38412%,14.4616%,0,1,Delegate/Multiply (ND):9
"Fully Connected (NC, F32) GEMM",0.01,0.0197,0.940244%,15.4019%,0,1,Delegate/Fully Connected (NC	 F32) GEMM:10
